Date,DB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3334521687462864,-0.8468211527035057,-0.05549613784907902,-0.8460685284214696,-0.8793424440483264,0.0
2018-09-25,1.0,-0.33446842209463473,-0.8454167491585824,-0.05741437339140765,-0.844783211245298,-0.8774896060186101,0.0
2018-09-26,1.0,-0.3343232755207096,-0.8453710303318287,-0.05702066999287242,-0.8450146511443732,-0.8780787202027402,0.0
2018-09-27,1.0,-0.3340597511688723,-0.8476899912829859,-0.05670021396307156,-0.8453522466122514,-0.8784768999128298,0.0
2018-09-28,1.0,-0.3317347707185605,-0.8503031984463558,-0.05750862034798463,-0.8452300741151759,-0.8785620863223813,0.0
2018-10-01,1.0,-0.34405286343612335,-0.8578293952743292,-0.05578694433319984,-0.8594713656387665,-0.8876651982378855,0.0
2018-10-02,1.0,-0.34436210694972963,-0.8596435009012617,-0.05591828559983977,-0.8587622671740436,-0.8869617464450229,0.0
2018-10-03,1.0,-0.3441979658845199,-0.856851125170177,-0.0558981340594218,-0.8591735404821015,-0.8880836069512292,0.0
2018-10-04,1.0,-0.34358460304731353,-0.8611467522052926,-0.05633520449077786,-0.8577786688051323,-0.8907377706495588,0.0
2018-10-05,1.0,-0.3289263460616712,-0.8535309154817062,-0.04177983703467007,-0.8673909570218884,-0.9027001118389518,0.0
2018-10-08,1.0,-0.32654200390734023,-0.8497667557114947,-0.0374386986164826,-0.871057772816076,-0.9022766237390855,0.0
2018-10-09,1.0,-0.32642239145169655,-0.8499262389856864,-0.03723934452374307,-0.8711773852717197,-0.9023164945576334,0.0
2018-10-10,1.0,-0.32783225703579677,-0.848321773100534,-0.03890616279996811,-0.87219963326158,-0.899067208801722,0.0
2018-10-11,1.0,-0.2462460126040613,-0.8473508130397572,-0.0,-0.8626390725900568,-0.9338675795534116,0.0
2018-10-12,1.0,-0.25521354367064253,-0.8402462485571373,-0.0,-0.841900731050404,-0.9102731819930743,0.0
2018-10-15,1.0,-0.22847491459061073,-0.8623469348585466,-0.0,-0.8367433111972669,-0.9110590764270085,0.0
2018-10-16,1.0,-0.21834162137157398,-0.8879380131837632,-0.0,-0.8373617054084269,-0.9112987163177981,0.0
2018-10-17,1.0,-0.1930370145631068,-0.8435224514563107,-0.0,-0.8330931432038834,-0.9228610436893203,0.0
2018-10-18,1.0,-0.1919805589307412,-0.8415476913730255,-0.0,-0.8386998784933172,-0.9248557108140949,0.0
2018-10-19,1.0,-0.17433925272405082,-0.8302228254722316,-0.0,-0.8401010443765787,-0.9256494363382723,0.0
2018-10-22,1.0,-0.17471264367816092,-0.8240437158469945,-0.0,-0.8423214622197098,-0.9275296777840589,0.0
2018-10-23,1.0,-0.17263880506940252,-0.8249471937235967,-0.0,-0.8449758599879299,-0.9293150271575135,0.0
2018-10-24,1.0,-0.16973808177878275,-0.8197098172225363,-0.0,-0.8463915583192012,-0.9327680422084041,0.0
2018-10-25,1.0,-0.14510483068646596,-0.7859169460923394,-0.0,-0.842551309922989,-0.9111979070710048,0.0
2018-10-26,1.0,-0.12261222104532674,-0.7730377296468097,-0.0,-0.8543043938785201,-0.9025165272654224,0.0
2018-10-29,1.0,-0.11189244334329229,-0.774284048677403,-0.0,-0.8524739488450048,-0.9049041754718357,0.0
2018-10-30,1.0,-0.10355126570752139,-0.7743216171917683,-0.0,-0.8527772718994718,-0.9116736477872883,0.0
2018-10-31,1.0,-0.10793995297522156,-0.7530837402785314,-0.0,-0.850135648399349,-0.9061674805570629,0.0
2018-11-01,1.0,-0.09478399075278139,-0.7625704377980062,-0.0,-0.8489380147377548,-0.9058662043057363,0.0
2018-11-02,1.0,-0.09443415749918309,-0.7764949351922449,-0.0,-0.8492538939113387,-0.9105035762262643,0.0
2018-11-05,1.0,-0.08467756684589779,-0.8205128205128204,-0.0,-0.8615530926515234,-0.8909982076886499,0.0
2018-11-06,1.0,-0.09053001207066827,-0.8250850433446724,-0.0,-0.8575295365594937,-0.8846702512893667,0.0
2018-11-07,1.0,-0.08974265243456644,-0.8254496271384705,-0.0,-0.8560096505337036,-0.88430326071063,0.0
2018-11-08,1.0,-0.06500616343992459,-0.8247407729678775,-0.0,-0.8471466898702052,-0.8886592705387572,0.0
2018-11-09,1.0,-0.06782988004362049,-0.8276626681206833,-0.0,-0.848091603053435,-0.891494002181025,0.0
