Date,IWF,IWM,LBAI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.13700738113246916,-0.7114055449779609,1.0,-0.049007589786390554,-0.34365300852872904,-0.3671004929448893,0.0
2018-09-25,-0.13605246655518394,-0.7140990802675585,1.0,-0.04637855351170568,-0.34607545986622074,-0.3702445652173913,0.0
2018-09-26,-0.1356840399393591,-0.7139160437032778,1.0,-0.04511474724240682,-0.34672486800146374,-0.3723927021799363,0.0
2018-09-27,-0.13808777429467084,-0.7081504702194358,1.0,-0.046786833855799376,-0.346969696969697,-0.37236154649947756,0.0
2018-09-28,-0.1369752070433942,-0.709015858087102,1.0,-0.04718238106434673,-0.3469185150351386,-0.37244298142487653,0.0
2018-10-01,-0.13734455010972935,-0.7085379872504964,1.0,-0.04723586581669976,-0.3470843348312258,-0.37240045981816283,0.0
2018-10-02,-0.13740258381714526,-0.7148647941837962,1.0,-0.045530623986610175,-0.34614781107798526,-0.37125372665934414,0.0
2018-10-03,-0.1374107679836833,-0.7136730905002223,1.0,-0.04555081975786419,-0.34644248620662604,-0.3718066051303507,0.0
2018-10-04,-0.1359299850193172,-0.7235669794212726,1.0,-0.04512602170884912,-0.34479224158322164,-0.3787484559383952,0.0
2018-10-05,-0.1260834271648904,-0.7210976982900835,1.0,-0.0369216266464165,-0.3493414333970515,-0.3851108958076933,0.0
2018-10-08,-0.1252190745245756,-0.7202647205001438,1.0,-0.03581051034554919,-0.349839127364043,-0.38470794423081955,0.0
2018-10-09,-0.12333464206255726,-0.7214238973956287,1.0,-0.030624263839811545,-0.3530427954456223,-0.38905902368799894,0.0
2018-10-10,-0.12438500994452005,-0.7204804773369622,1.0,-0.031953313095362715,-0.3536585365853659,-0.38652779231654977,0.0
2018-10-11,-0.08274274018165538,-0.7271075860304465,1.0,-0.0,-0.34570807215044136,-0.40296789049507487,0.0
2018-10-12,-0.07859540276647681,-0.7283614727420666,1.0,-0.0,-0.3390205451586656,-0.3967402359641985,0.0
2018-10-15,-0.04073533553524337,-0.7768133753232456,1.0,-0.0,-0.3380443966510485,-0.4047673912486879,0.0
2018-10-16,-0.03751504442907992,-0.7822078820004609,1.0,-0.0,-0.3371744641622494,-0.40385649535223167,0.0
2018-10-17,-0.02177321464697552,-0.7563979364758243,1.0,-0.0,-0.3366376694315193,-0.4139945377301234,0.0
2018-10-18,-0.020899223237102447,-0.7548263036712799,1.0,-0.0,-0.33962502846443837,-0.4148217493611315,0.0
