Date,IWF,IWM,MTUM,NLOK,SPY,VLUE,VXX
2018-09-24,-1.098873137041076,-1.7954925481643038,-0.555652490003635,1.0,-1.43395129043984,-1.3861868411486733,0.0
2018-09-25,-1.1181217901687455,-1.8082905355832721,-0.5729273661041819,1.0,-1.444974321349963,-1.3924431401320614,0.0
2018-09-26,-1.119394206734304,-1.811645346272607,-0.5705043375974121,1.0,-1.4497132774591972,-1.400602852521688,0.0
2018-09-27,-1.1209251101321587,-1.802055800293686,-0.572099853157122,1.0,-1.4482378854625553,-1.3987518355359767,0.0
2018-09-28,-1.1206871237703713,-1.8014975774482453,-0.5726765526354426,1.0,-1.4478050212890912,-1.3983996476288356,0.0
2018-10-01,-1.1208984805109008,-1.800704690596785,-0.572928136240182,1.0,-1.4477721500403729,-1.3982235924539383,0.0
2018-10-02,-1.1217199558985667,-1.8110988607129732,-0.5714810731348768,1.0,-1.4478500551267914,-1.3981624402793091,0.0
2018-10-03,-1.1201086557521476,-1.8019969165259526,-0.5700756185302107,1.0,-1.4486454739005947,-1.4008516261654798,0.0
2018-10-04,-1.121818848551522,-1.7947928126145947,-0.5706637330399706,1.0,-1.4503850385038504,-1.3964063072973965,0.0
2018-10-05,-1.0997666277712952,-1.7825262543757294,-0.5451429404900817,1.0,-1.458065927654609,-1.407380396732789,0.0
2018-10-08,-1.0940133682069164,-1.7739029351932576,-0.5382882882882882,1.0,-1.4567712874164485,-1.4024266201685556,0.0
2018-10-09,-1.0925440512596476,-1.7794524537643805,-0.5293432357652541,1.0,-1.4658511722731906,-1.4140090286879279,0.0
2018-10-10,-1.0925710123816461,-1.7809176984705024,-0.5281864530225783,1.0,-1.4665695557174072,-1.4150764748725417,0.0
2018-10-11,-0.9967978367608341,-1.8137764178467233,-0.3655447235465737,1.0,-1.4679427880167937,-1.4719277022699782,0.0
2018-10-12,-0.9954593084177435,-1.7922458959133776,-0.3452322738386308,1.0,-1.4273140062871115,-1.4254977296542088,0.0
2018-10-15,-0.9669404231625834,-1.8343541202672606,-0.3016425389755011,1.0,-1.4258073496659243,-1.4310968819599108,0.0
2018-10-16,-0.9641811846689897,-1.852473867595819,-0.29066202090592336,1.0,-1.4281533101045298,-1.433240418118467,0.0
2018-10-17,-0.9203623580313685,-1.7695375878853434,-0.25615197404002166,1.0,-1.3966333153055706,-1.417725797728502,0.0
2018-10-18,-0.9194998310239946,-1.7680973301791145,-0.25643798580601557,1.0,-1.39743156471781,-1.417573504562352,0.0
2018-10-19,-0.8950073421439059,-1.7458950740889068,-0.23000934454678945,1.0,-1.3933386730743558,-1.4104258443465492,0.0
2018-10-22,-0.8956388370232062,-1.7395305414777271,-0.2265270738863697,1.0,-1.3949719925313415,-1.411776473726327,0.0
2018-10-23,-0.8972598173211547,-1.7386492432828855,-0.2305487032468831,1.0,-1.3913594239615972,-1.4092939529301953,0.0
2018-10-24,-0.8967445576193328,-1.734904467079422,-0.22055788562678916,1.0,-1.3930497303774714,-1.4120897410292257,0.0
2018-10-25,-0.8216524216524217,-1.6280468502690724,-0.18638809749920862,1.0,-1.3631528964862298,-1.3318771763216206,0.0
2018-10-26,-0.7955040787097577,-1.599539199202939,-0.15773086742636525,1.0,-1.362413599850551,-1.3118500529298212,0.0
2018-10-29,-0.7710806132542037,-1.6111523244312564,-0.1326038575667656,1.0,-1.3500247279920872,-1.3171364985163205,0.0
2018-10-30,-0.7745668316831684,-1.6124999999999998,-0.13446782178217823,1.0,-1.3510519801980199,-1.3155321782178218,0.0
2018-10-31,-0.7872564181874422,-1.5854005567584288,-0.1326322301268172,1.0,-1.362078564800495,-1.3187751314568514,0.0
2018-11-01,-0.7773871206513694,-1.59159881569208,-0.12293362941031336,1.0,-1.3594867999013078,-1.31686405132001,0.0
2018-11-02,-0.7787210651682649,-1.5518841995968973,-0.1162890123984609,1.0,-1.357906309167532,-1.3028156110670006,0.0
2018-11-05,-0.7769686497161196,-1.6060232041471245,-0.11503332510491238,1.0,-1.378116514440879,-1.2951740311034314,0.0
