Date,DORM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.272794846382557,-0.8325693756194252,-0.0,-0.4732408325074331,-0.5185208126858276,0.0
2018-09-25,1.0,-0.27121061771272637,-0.8343773257256264,-0.0,-0.47469610518481764,-0.5207144629124287,0.0
2018-09-26,1.0,-0.27090892176016373,-0.8342481471144603,-0.0,-0.47474183644990237,-0.5211647595125127,0.0
2018-09-27,1.0,-0.2749139828275627,-0.827221722823223,-0.0,-0.47580670159015526,-0.5217445212485664,0.0
2018-09-28,1.0,-0.2727272727272727,-0.8301851679538477,-0.0,-0.47634998914425736,-0.5223783381408765,0.0
2018-10-01,1.0,-0.2757248966653199,-0.8293812350436647,-0.0,-0.47919321254312086,-0.5235105820927992,0.0
2018-10-02,1.0,-0.27382592360676267,-0.8609580463368817,-0.0,-0.4763619286161553,-0.5196931747025673,0.0
2018-10-03,1.0,-0.2736463223787167,-0.8584037558685446,-0.0,-0.4769327073552425,-0.5208763693270736,0.0
2018-10-04,1.0,-0.28164904464593854,-0.8510024158378564,-0.0,-0.4879992470115772,-0.516801054183792,0.0
2018-10-05,1.0,-0.2692379821216478,-0.846783771957242,-0.0,-0.4893104957179471,-0.5202850534475214,0.0
2018-10-08,1.0,-0.2684641339665084,-0.8465383654086478,-0.0,-0.4892526868282929,-0.5199325168707823,0.0
2018-10-09,1.0,-0.26503125,-0.8465624999999999,-0.0,-0.49071875,-0.5226875,0.0
2018-10-10,1.0,-0.2676043131739334,-0.8457571495546179,-0.0,-0.4924832005000781,-0.5196436943272386,0.0
2018-10-11,1.0,-0.2457420172483076,-0.8457234706809681,-0.0,-0.48251986028252597,-0.517109208370684,0.0
2018-10-12,1.0,-0.24622777216662073,-0.8432038686377131,-0.0,-0.468674440669666,-0.50252502065926,0.0
2018-10-15,1.0,-0.23833389359166335,-0.8494942395257158,-0.0,-0.46636922042600004,-0.501757173853253,0.0
2018-10-16,1.0,-0.2291621928398319,-0.8703561677454982,-0.0,-0.4665766788354757,-0.5016719329999694,0.0
2018-10-17,1.0,-0.21337974875132437,-0.8425306493113366,-0.0,-0.4629937944604208,-0.5081882851521115,0.0
2018-10-18,1.0,-0.2142229494288398,-0.8452261915583431,-0.0,-0.4619580038178348,-0.5086507287216313,0.0
2018-10-19,1.0,-0.2055265618872364,-0.8433738574315967,-0.0,-0.4606172131889348,-0.5071344535280099,0.0
2018-10-22,1.0,-0.205448834118642,-0.8319137368611816,-0.0,-0.468678265071886,-0.5143771898030688,0.0
2018-10-23,1.0,-0.21463621493911678,-0.8354334524747077,-0.0,-0.46519658326770463,-0.5137214515054219,0.0
2018-10-24,1.0,-0.21349949968161555,-0.8311652870008187,-0.0,-0.4682070408441735,-0.5193911276873161,0.0
2018-10-25,1.0,-0.18281476228466745,-0.7963537511449931,-0.0,-0.4799810891469432,-0.4956711875424756,0.0
2018-10-26,1.0,-0.1766537422159558,-0.7892139584067676,-0.0,-0.48049582892727055,-0.49101163200563974,0.0
2018-10-29,1.0,-0.127196261682243,-0.8946105919003114,-0.0,-0.5173208722741434,-0.5761370716510903,0.0
2018-10-30,1.0,-0.13555936963644874,-0.8959276018099548,-0.0,-0.5183647995007021,-0.5707598689343111,0.0
2018-10-31,1.0,-0.137016093953893,-0.8865655875225253,-0.0,-0.5159075374386379,-0.567451687068912,0.0
2018-11-01,1.0,-0.14914196567862714,-0.8811232449297971,-0.0,-0.5196879875195008,-0.5701404056162247,0.0
2018-11-02,1.0,-0.15102142346320077,-0.8699667298902397,-0.0,-0.5211280743757968,-0.567208731071795,0.0
