Date,EEFT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5730853391684901,-0.7798322392414296,-0.23052516411378557,-0.6345368344274253,-0.42899343544857765,0.0
2018-09-25,1.0,-0.5729968270177614,-0.7798971516101973,-0.23046062949049928,-0.6345964477187351,-0.4291549655348481,0.0
2018-09-26,1.0,-0.572669220945083,-0.7798212005108557,-0.22875387702973907,-0.635613939062215,-0.4320744389709907,0.0
2018-09-27,1.0,-0.5753664406038066,-0.7723692846204331,-0.2308758112739736,-0.6356741777875009,-0.4318894479690804,0.0
2018-09-28,1.0,-0.5723616990220405,-0.7762005546635528,-0.2315355422566049,-0.636184498613341,-0.432856517296745,0.0
2018-10-01,1.0,-0.5726171361844986,-0.7756531893154284,-0.23160852430302145,-0.636293971682966,-0.43289300831995325,0.0
2018-10-02,1.0,-0.7060321362718411,-0.8485380630432874,-0.29054350689261565,-0.8767670559311616,-0.6683203090701554,0.0
2018-10-03,1.0,-0.7053841765764184,-0.8390012725437711,-0.28926236342094874,-0.8800737197770854,-0.6743604370529642,0.0
2018-10-04,1.0,-0.7045946065233702,-0.8545703314648894,-0.28922628768151126,-0.8801253475747011,-0.6851304232687471,0.0
2018-10-05,1.0,-0.6925916161349855,-0.844713946744002,-0.2752878108796906,-0.8884348361015907,-0.6930310220581773,0.0
2018-10-08,1.0,-0.6902674265672951,-0.840157825515125,-0.2713722051731697,-0.8907935116177116,-0.6914511179307321,0.0
2018-10-09,1.0,-0.6962314761883822,-0.8438063409700541,-0.28037465370915965,-0.8895826920539994,-0.6873488412998549,0.0
2018-10-10,1.0,-0.6988036593947924,-0.8421885995777622,-0.282899366643209,-0.8913177339901478,-0.6831016889514426,0.0
2018-10-11,1.0,-0.6466178224569773,-0.8288038848185381,-0.21038507411824844,-0.8780030669620037,-0.695817004600443,0.0
2018-10-12,1.0,-0.663916831516478,-0.8191001304768719,-0.206868975967002,-0.8548339576581506,-0.6642114567111411,0.0
2018-10-15,1.0,-0.6518873073854811,-0.8375110215392367,-0.18835285720283831,-0.855019523869505,-0.6659109039761515,0.0
2018-10-16,1.0,-0.6505310886267266,-0.842352743608044,-0.18468449557076283,-0.855031697384441,-0.6657290398421427,0.0
2018-10-17,1.0,-0.632028029678483,-0.7969909315746083,-0.16875515251442702,-0.8504122011541632,-0.6738252267106348,0.0
2018-10-18,1.0,-0.631084367143387,-0.7953674318921815,-0.16947615711165145,-0.8517495775460577,-0.6738243415900754,0.0
2018-10-19,1.0,-0.6224848683134305,-0.7824308849991821,-0.15912808768198922,-0.8546131195812203,-0.6709880582365451,0.0
2018-10-22,1.0,-0.634426769966208,-0.7735514711942636,-0.13314926234237204,-0.8832110772273964,-0.6966537542240172,0.0
2018-10-23,1.0,-0.6334312063190108,-0.7792068152681858,-0.12555312021835327,-0.8931805963359662,-0.7041065299201853,0.0
2018-10-24,1.0,-0.6350452423253315,-0.7753997438334091,-0.11841507251167212,-0.8959633103334297,-0.7068545221666737,0.0
2018-10-25,1.0,-0.5963489654070464,-0.7141887033634258,-0.10945114644084046,-0.9078053846768395,-0.6668131341375728,0.0
2018-10-26,1.0,-0.5807498911192936,-0.7047155244090747,-0.08425387021419804,-0.9266737934038088,-0.6629053331749614,0.0
2018-10-29,1.0,-0.5615989256230991,-0.7244934233913971,-0.06276415057076273,-0.9229766560018959,-0.6780424220879251,0.0
