Date,IWF,IWM,MTUM,SPY,UMBF,VLUE,VXX
2018-09-24,-0.15891451532999396,-0.7237573622502339,-0.04576980238894699,-0.3955248527549953,1.0,-0.42824902295370726,0.0
2018-09-25,-0.15868733309473335,-0.7242518514439887,-0.04520551716543237,-0.396002532830438,1.0,-0.42892932852462623,0.0
2018-09-26,-0.15884377150722642,-0.7244872677219546,-0.04567102546455609,-0.39581555402615276,1.0,-0.428107364074329,0.0
2018-09-27,-0.15817775694233793,-0.7289799520172076,-0.04472878691779499,-0.3967129029589388,1.0,-0.4290323470203789,0.0
2018-09-28,-0.15505611765356334,-0.7348371758721733,-0.045364073644053746,-0.3983800519710289,1.0,-0.43080665671476753,0.0
2018-10-01,-0.15480338476854158,-0.7355511310215143,-0.045683313975996905,-0.39826337038880594,1.0,-0.4310325756318788,0.0
2018-10-02,-0.1549381520325428,-0.7400725018678916,-0.044580347012757,-0.3975426847829095,1.0,-0.4301408528654841,0.0
2018-10-03,-0.15505829571574953,-0.7303996233625965,-0.042814810712010855,-0.4028081641695976,1.0,-0.43831177822703477,0.0
2018-10-04,-0.1538096302089152,-0.7459781030052507,-0.042118199083901235,-0.40193833091274717,1.0,-0.4491397609205675,0.0
2018-10-05,-0.14434768092151026,-0.7435241089563451,-0.03408363707186778,-0.40569266297543194,1.0,-0.454689630227317,0.0
2018-10-08,-0.14280952248673576,-0.7414094835967667,-0.031445317925497936,-0.40790021945054034,1.0,-0.4543181755048752,0.0
2018-10-09,-0.14060457743541255,-0.7431241135737924,-0.02477821963903334,-0.4123029005255986,1.0,-0.4601351539253038,0.0
2018-10-10,-0.14142734020962494,-0.7421946676304595,-0.025911201312241096,-0.4127721093163557,1.0,-0.457866496149462,0.0
2018-10-11,-0.10553200739050103,-0.7430714052820346,-0.0,-0.40226605803716986,1.0,-0.4662264971198783,0.0
2018-10-12,-0.09829513010849172,-0.7488919705250564,-0.0,-0.4035130652309868,1.0,-0.46839057019332736,0.0
2018-10-15,-0.061921280489470376,-0.7931495998470406,-0.0,-0.4013820982764743,1.0,-0.4749392259157084,0.0
2018-10-16,-0.060030042332377444,-0.7961218080021849,-0.0,-0.4007100914925577,1.0,-0.47425918339478357,0.0
2018-10-17,-0.04274702172389628,-0.7674788421109374,-0.0,-0.39992453237022263,1.0,-0.4851220958438898,0.0
2018-10-18,-0.04182509505703422,-0.7658765472049187,-0.0,-0.4029878920259957,1.0,-0.485963918776798,0.0
2018-10-19,-0.02955361449011307,-0.7614275762284979,-0.0,-0.4027651251272708,1.0,-0.48563849740099674,0.0
2018-10-22,-0.029866338092304396,-0.7569174724774328,-0.0,-0.404628612755471,1.0,-0.4871829212760828,0.0
2018-10-23,-0.02193137601697913,-0.7700198634050774,-0.0,-0.4258387526870017,1.0,-0.5032244020570869,0.0
2018-10-24,-0.020671411819247865,-0.7758051760342524,-0.0,-0.42703646131609807,1.0,-0.5035861354277454,0.0
