Date,BCYC,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-21,1.0,-3.5933977455716586,-4.11808910359635,-7.552603327965646,-7.0622651637144385,-3.5118089103596346,0.0
2020-01-22,1.0,-3.601615074024226,-4.089905787348586,-7.63014804845222,-7.081561238223418,-3.514401076716016,0.0
2020-01-23,1.0,-3.609644396551724,-4.100484913793104,-7.631196120689656,-7.092672413793104,-3.505926724137931,0.0
2020-01-24,1.0,-3.6176311519740403,-4.120064899945917,-7.660627366143862,-7.124661979448351,-3.5183883180097353,0.0
2020-01-27,1.0,-3.556093623890234,-4.017487220877051,-7.7148237826203925,-7.054882970137208,-3.5603981705676624,0.0
2020-01-28,1.0,-3.4302388707926172,-4.273344191096634,-8.044788273615636,-7.03827361563518,-3.357763300760044,0.0
2020-01-29,1.0,-3.3429495820976007,-4.280938258290645,-8.030196818549474,-6.975465084928553,-3.3318953895928822,0.0
2020-01-30,1.0,-3.387694787748522,-4.26088124664159,-7.981998925308973,-6.980386888769478,-3.256313809779688,0.0
2020-01-31,1.0,-3.404889844169801,-4.272165502418055,-7.950832885545406,-6.973670069854917,-3.265717356260075,0.0
2020-02-03,1.0,-3.3656873032528853,-4.093913955928646,-7.785939139559287,-6.791448058761805,-3.1956977964323188,0.0
2020-02-04,1.0,-3.3236151603498545,-4.058043996819507,-7.868274582560297,-6.913596607474159,-3.340577789557382,0.0
2020-02-05,1.0,-3.085239085239085,-4.023648648648648,-7.854989604989604,-6.8160083160083165,-3.2076403326403327,0.0
2020-02-06,1.0,-3.172912897389506,-3.956577927112949,-7.960713362626001,-6.727061256138537,-3.0292065133109327,0.0
2020-02-07,1.0,-3.163942931258106,-3.955642023346303,-8.019455252918288,-6.775875486381323,-3.025421530479896,0.0
2020-02-10,1.0,-3.197197716658018,-3.8689673066943437,-8.054748313440582,-6.803061754021796,-3.0230928905033734,0.0
2020-02-11,1.0,-3.0935897435897433,-3.8217948717948715,-7.986153846153846,-6.756153846153846,-2.9833333333333334,0.0
2020-02-12,1.0,-3.1364457054423522,-3.818932164044364,-8.047201444415785,-6.8212535465566155,-2.9693061645602272,0.0
2020-02-13,1.0,-3.081323755772191,-3.794766546947152,-8.044638276038995,-6.801949717804002,-2.9317598768599282,0.0
2020-02-14,1.0,-3.076232032854209,-3.799281314168378,-8.058264887063656,-6.805954825462012,-2.927618069815195,0.0
2020-02-18,1.0,-3.0886929460580914,-3.815612033195021,-8.208506224066392,-6.917790456431535,-2.903008298755187,0.0
2020-02-19,1.0,-3.136781307429772,-3.876082961407193,-8.338934103439223,-7.016802310317669,-2.8847466526647416,0.0
2020-02-20,1.0,-3.1158088235294117,-3.8749999999999996,-8.365808823529411,-7.0178571428571415,-2.8862920168067223,0.0
2020-02-21,1.0,-3.0699135899450116,-3.911233307148468,-8.342498036135114,-6.984289080911234,-2.8771929824561404,0.0
2020-02-24,1.0,-2.850750129332644,-3.894205897568546,-8.327470253491981,-6.931712364200724,-2.8621314019658564,0.0
2020-02-25,1.0,-2.3709184871975575,-3.7820061075875033,-7.867747239840264,-6.0112755461592675,-2.45877378435518,0.0
2020-02-26,1.0,-2.391573162354019,-3.5266773528738264,-7.837416991069384,-5.962903595145409,-2.1804442408976414,0.0
2020-02-27,1.0,-2.568181818181818,-3.5149953139643855,-8.002577319587628,-6.190018744142455,-2.1541705716963446,0.0
2020-02-28,1.0,-2.0599691477053605,-3.349402236791361,-6.3752410335518706,-4.751639028152718,-1.7464327034323177,0.0
2020-03-02,1.0,-2.083890693674756,-3.251672081024269,-6.311675902923753,-4.741448499904452,-1.7208102426906173,0.0
2020-03-03,1.0,-1.8121418338108883,-3.5746776504297997,-5.5841690544412605,-4.353510028653295,-1.583810888252149,0.0
2020-03-04,1.0,-1.597859604571014,-3.924179212769817,-5.968075458008344,-4.282967531289679,-1.3660438962452386,0.0
2020-03-05,1.0,-1.3731884057971016,-3.736294896030246,-4.956994328922495,-3.585853812224323,-1.1008191556395717,0.0
2020-03-06,1.0,-1.2831389183457051,-3.6173307074685654,-4.8863808513861535,-3.3693379790940767,-0.9930313588850174,0.0
2020-03-09,1.0,-1.2586437156848198,-3.5233714200920017,-4.808725330167681,-3.296928327645051,-0.951476480189939,0.0
2020-03-10,1.0,-2.27930886762816,-2.2803084392403257,-4.955447665286306,-3.268170783949736,-0.49650149935741833,0.0
2020-03-11,1.0,-1.879101238350568,-2.341631558789736,-4.487169666794332,-2.762160091918805,-0.2963104812970765,0.0
2020-03-12,1.0,-1.977721273761957,-1.8551882794527184,-4.260564232957986,-2.762198813415668,-0.252209710618719,0.0
2020-03-13,1.0,-1.9788585607940445,-1.1154342431761786,-3.5226799007444165,-2.3085856079404463,-0.0,0.0
2020-03-16,1.0,-1.5992567964013298,-1.6194015255231762,-3.523469587326423,-2.0368668100919227,-0.0,0.0
2020-03-17,1.0,-1.5109311104120793,-1.1064800251651463,-2.288062283737024,-1.9586347908147217,-0.0,0.0
2020-03-18,1.0,-1.6343868520859672,-1.4034555415086387,-2.1946902654867255,-2.1956173619890436,-0.0,0.0
2020-03-19,1.0,-1.6966863517060367,-1.0925196850393701,-2.1414862204724407,-2.2071030183727034,-0.06422244094488189,0.0
2020-03-20,1.0,-1.6989900648657525,-1.1096149109122262,-2.1393382051071517,-2.210854749979473,-0.05197471056737006,0.0
2020-03-23,1.0,-1.6590401785714286,-1.2134088010204083,-1.942123724489796,-2.1363201530612246,-0.021125637755102043,0.0
2020-03-24,1.0,-1.6759237281430492,-1.2401297571010363,-1.8547353429859956,-2.091146451459767,-0.05008307619273676,0.0
2020-03-25,1.0,-1.6793308550185873,-1.2116728624535316,-1.4881040892193307,-2.0557620817843865,-0.0,0.0
2020-03-26,1.0,-1.67959577946203,-1.2119185614504384,-1.4860306137613315,-2.0530539456085597,-0.0,0.0
2020-03-27,1.0,-1.6178722186449166,-1.15997710524433,-1.408027473706804,-1.9687343492881162,-0.0,0.0
2020-03-30,1.0,-1.5948153409090908,-1.1343039772727272,-1.41171875,-1.9613636363636364,-0.0,0.0
2020-03-31,1.0,-1.562693280854653,-1.1426061287601912,-1.3917627213944337,-1.9313325836378972,-0.0,0.0
2020-04-01,1.0,-1.5661991584852735,-1.1678821879382888,-1.349438990182328,-1.929032258064516,-0.0,0.0
2020-04-02,1.0,-1.632117499651956,-1.004594180704441,-1.3406654601141583,-1.9835027147431432,-0.0,0.0
2020-04-03,1.0,-1.648460074705758,-1.0601169920360844,-1.3728944957361338,-1.9661709775177956,-0.0,0.0
2020-04-06,1.0,-1.672143919541044,-1.0267016077625895,-1.381117642892556,-2.0026914087399956,-0.0,0.0
