Date,IWF,IWM,MDP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5181798100287166,-1.1512701568367572,1.0,-0.0,-0.8906560636182903,-0.8578307930196599,0.0
2018-09-25,-0.5170110162367827,-1.1538291377250807,1.0,-0.0,-0.892669114719285,-0.8606379684112728,0.0
2018-09-26,-0.5162632207815196,-1.1536044607691287,1.0,-0.0,-0.8930831526308801,-0.8624153648714431,0.0
2018-09-27,-0.5193174785606931,-1.146052515250641,1.0,-0.0,-0.8930686941914949,-0.8620369551763769,0.0
2018-09-28,-0.5174197541780883,-1.1482889733840305,1.0,-0.0,-0.8931382085064993,-0.8623662569634805,0.0
2018-10-01,-0.5190640481245576,-1.147160297239915,1.0,-0.0,-0.8943294409058741,-0.8626592356687899,0.0
2018-10-02,-0.526434744072679,-1.1270108575227122,1.0,-0.0,-0.9049412807445159,-0.8732550409926878,0.0
2018-10-03,-0.5254695251594614,-1.1164068036853296,1.0,-0.0,-0.9082211197732105,-0.8794294826364281,0.0
2018-10-04,-0.5253634464055484,-1.1262615035788912,1.0,-0.0,-0.9078824523184992,-0.8863201885030899,0.0
2018-10-05,-0.5077644560456577,-1.117285316108481,1.0,-0.0,-0.9093040746803521,-0.8897933902579303,0.0
2018-10-08,-0.5032041366509038,-1.1125646351703717,1.0,-0.0,-0.9146594776152385,-0.8890705793962964,0.0
2018-10-09,-0.49685590293153836,-1.1145159861836862,1.0,-0.0,-0.9198919493401825,-0.8970861748295103,0.0
2018-10-10,-0.49980069976526864,-1.1134682669737368,1.0,-0.0,-0.9220514637495018,-0.8935736746534391,0.0
2018-10-11,-0.40159870052150126,-1.0909207489099768,1.0,-0.0,-0.8843720612122766,-0.8977088142258699,0.0
2018-10-12,-0.4094358714900076,-1.0817522556707986,1.0,-0.0,-0.8577873345138712,-0.8672316384180792,0.0
2018-10-15,-0.3893838782886442,-1.0956123392451877,1.0,-0.0,-0.8522316550390854,-0.8655543414306127,0.0
2018-10-16,-0.37894558686637897,-1.1281628162816282,1.0,-0.0,-0.8555894050943557,-0.8684945417618685,0.0
2018-10-17,-0.3546755131660792,-1.0816089570806553,1.0,-0.0,-0.842421729214182,-0.8680904001658718,0.0
2018-10-18,-0.3538997387734793,-1.0801923954057304,1.0,-0.0,-0.8440519135879255,-0.8683086619397107,0.0
2018-10-19,-0.3298769699214089,-1.0651359914413858,1.0,-0.0,-0.8492778669300086,-0.8704275192363083,0.0
2018-10-22,-0.33117151354923996,-1.0508922670191674,1.0,-0.0,-0.8643836748182419,-0.8843770654329148,0.0
2018-10-23,-0.3343245364060628,-1.0509230578614794,1.0,-0.0,-0.8618510717383223,-0.8829554371618552,0.0
2018-10-24,-0.3314634548754331,-1.0475994060386076,1.0,-0.0,-0.8617802342847716,-0.8838887972281803,0.0
2018-10-25,-0.2956383190599482,-0.992670782712607,1.0,-0.0,-0.8505476996614221,-0.8444134634534953,0.0
2018-10-26,-0.27120847945151505,-0.9760825879664289,1.0,-0.0,-0.8596477402576933,-0.8333267662240434,0.0
2018-10-29,-0.26480891093005865,-0.9778013933168024,1.0,-0.0,-0.8594481835714566,-0.8338253237296808,0.0
2018-10-30,-0.24313663616282738,-0.9818949195329757,1.0,-0.0,-0.8639555064689176,-0.8555143578415904,0.0
2018-10-31,-0.24404715127701374,-0.973123772102161,1.0,-0.0,-0.8605108055009824,-0.8515913555992142,0.0
2018-11-01,-0.20414142613928812,-1.0201528289187156,1.0,-0.0,-0.87124361563131,-0.863800134616146,0.0
2018-11-02,-0.2052694610778443,-1.0403992015968064,1.0,-0.0,-0.8740518962075848,-0.8722954091816367,0.0
2018-11-05,-0.19890474477355397,-1.0622376783787024,1.0,-0.0,-0.877643202622217,-0.8584962225686532,0.0
2018-11-06,-0.19784,-1.06116,1.0,-0.0,-0.87964,-0.86132,0.0
2018-11-07,-0.1978158252660213,-1.0612448995919674,1.0,-0.0,-0.8798303864309144,-0.861428914313145,0.0
2018-11-08,-0.19327529750019967,-1.0607778931395258,1.0,-0.0,-0.878204616244709,-0.8610334637808483,0.0
