Date,HIFS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3388999337309476,-0.7992047713717694,-0.0,-0.5979456593770709,-0.5774022531477799,0.0
2018-09-25,1.0,-0.3409504884914721,-0.798012916045703,-0.0,-0.5970856102003643,-0.5757575757575758,0.0
2018-09-26,1.0,-0.342088701931039,-0.7991454406942466,-0.0,-0.5971647179623066,-0.5738465105495014,0.0
2018-09-27,1.0,-0.34890428670888174,-0.7903060040446905,-0.0,-0.6001723966448961,-0.5759705599575639,0.0
2018-09-28,1.0,-0.3479976130486672,-0.7911086062856385,-0.0,-0.6000861954647925,-0.5760177695265879,0.0
2018-10-01,1.0,-0.3485727546994662,-0.7904717700493983,-0.0,-0.6003381626496038,-0.5759705599575639,0.0
2018-10-02,1.0,-0.35018230029830955,-0.7842558833278089,-0.0,-0.6021876035797149,-0.5779582366589326,0.0
2018-10-03,1.0,-0.34984263707139307,-0.7810170614543647,-0.0,-0.6027165810833195,-0.5793274805366904,0.0
2018-10-04,1.0,-0.35201615573064954,-0.7767330993842283,-0.0,-0.6051115672382971,-0.5767397205853142,0.0
2018-10-05,1.0,-0.3348926077217025,-0.7673606535775465,-0.0,-0.6089735142970089,-0.5830148899723284,0.0
2018-10-08,1.0,-0.3313492715972245,-0.7632608767141306,-0.0,-0.6120227564207964,-0.5818343253642013,0.0
2018-10-09,1.0,-0.32986978824148366,-0.7631527028804419,-0.0,-0.6124227278705774,-0.5827305011179797,0.0
2018-10-10,1.0,-0.3302327110176177,-0.7625230081514593,-0.0,-0.6126413357875361,-0.5814488561661846,0.0
2018-10-11,1.0,-0.25300092336103414,-0.7508517209539274,-0.0,-0.5873531378355143,-0.592797783933518,0.0
2018-10-12,1.0,-0.26057885484681065,-0.7431880964339528,-0.0,-0.5663611250627825,-0.5689979909593169,0.0
2018-10-15,1.0,-0.2269499088680787,-0.7799949720319276,-0.0,-0.5626610521023191,-0.5729055370498397,0.0
2018-10-16,1.0,-0.2283244262810437,-0.7784973278843131,-0.0,-0.5633134234517447,-0.57353033637221,0.0
2018-10-17,1.0,-0.20455880988463798,-0.7372653326322952,-0.0,-0.5623047660285158,-0.5886555531500325,0.0
2018-10-18,1.0,-0.20381023071689242,-0.7359126615946062,-0.0,-0.5640192985711635,-0.5889466196573266,0.0
2018-10-19,1.0,-0.18675289646294366,-0.7234414270826948,-0.0,-0.5659903144731195,-0.5888555140072336,0.0
2018-10-22,1.0,-0.18765909160609684,-0.7252430459717238,-0.0,-0.5654920722544239,-0.5884319317937866,0.0
2018-10-23,1.0,-0.18169119016576643,-0.7370397963618303,-0.0,-0.5833178121313715,-0.6021915937170175,0.0
2018-10-24,1.0,-0.18843033284354438,-0.7526672203411486,-0.0,-0.6148022743244107,-0.6384079729125407,0.0
2018-10-25,1.0,-0.16209037279550298,-0.7107205732464404,-0.0,-0.6072211755258362,-0.6086110510547611,0.0
2018-10-26,1.0,-0.1417038713228549,-0.6983364931808452,-0.0,-0.617271114916519,-0.6005748883860315,0.0
2018-10-29,1.0,-0.11546083722064697,-0.7135278514588859,-0.0,-0.6083417177352969,-0.6115125461142108,0.0
2018-10-30,1.0,-0.10097650289899299,-0.7152578577967653,-0.0,-0.6104363747329875,-0.624900823924321,0.0
2018-10-31,1.0,-0.10601519692428783,-0.6935488753670571,-0.0,-0.6081494263312446,-0.6195622559258923,0.0
2018-11-01,1.0,-0.08198957322987391,-0.7158705140640156,-0.0,-0.6103600872938895,-0.6228176527643065,0.0
2018-11-02,1.0,-0.08356487074172504,-0.7064810340661996,-0.0,-0.6103225416767334,-0.6196847064508335,0.0
