Date,BR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3540002315618849,-0.5897881208753039,-0.21998379066805604,-0.42789741808498316,-0.3028829454671761,0.0
2018-09-25,1.0,-0.3560700332802778,-0.5881059181015772,-0.2231804369845174,-0.4263348285342208,-0.3002459846621328,0.0
2018-09-26,1.0,-0.3564751844884966,-0.5885978874258427,-0.22413543626103313,-0.4260454348140645,-0.29871219794530457,0.0
2018-09-27,1.0,-0.35562063266548755,-0.5938705094377918,-0.22296964249470846,-0.42712169097393377,-0.2998927194177854,0.0
2018-09-28,1.0,-0.35251756780300825,-0.5984958476101979,-0.2234450316510831,-0.4280736395841802,-0.3012079679423892,0.0
2018-10-01,1.0,-0.35233642145616123,-0.5988150901751227,-0.22362268753811748,-0.4279905904219789,-0.3013969157494264,0.0
2018-10-02,1.0,-0.3522111518965216,-0.6161218901124512,-0.21869719745965158,-0.4265862611431568,-0.2996271048185049,0.0
2018-10-03,1.0,-0.351971576678898,-0.6131690838138505,-0.21838779195060865,-0.4273982177179801,-0.3012697303279166,0.0
2018-10-04,1.0,-0.35421518397764323,-0.6089310666045645,-0.21876455519329296,-0.43030973451327437,-0.2988181183046111,0.0
2018-10-05,1.0,-0.35094240989748204,-0.6080213748438997,-0.21522957627856995,-0.43147561931867684,-0.2985508088171231,0.0
2018-10-08,1.0,-0.34983326083804556,-0.606002609830361,-0.21333913295635784,-0.4328548644338119,-0.29775264607800495,0.0
2018-10-09,1.0,-0.3529753434205558,-0.6071791595271977,-0.21915023378735513,-0.43086573926175464,-0.2939912293439433,0.0
2018-10-10,1.0,-0.35394710100746163,-0.6061318700461632,-0.22039311325958832,-0.4312922799988386,-0.29158319542432426,0.0
2018-10-11,1.0,-0.34638753707489844,-0.6067325136061278,-0.2104990353327382,-0.4282546721571111,-0.2877012123131857,0.0
2018-10-12,1.0,-0.3477178423236515,-0.6051223350980112,-0.20932894548576336,-0.4219487766490199,-0.27752182000286163,0.0
2018-10-15,1.0,-0.3411324420066278,-0.6157010627356873,-0.20034853159638896,-0.42169466346703227,-0.27791109587475715,0.0
2018-10-16,1.0,-0.3432289432289432,-0.6102960102960102,-0.20506220506220504,-0.4224224224224224,-0.27899327899327897,0.0
2018-10-17,1.0,-0.3348226910242634,-0.5899553192692721,-0.19795260449069627,-0.4211865844692042,-0.2839771506136531,0.0
2018-10-18,1.0,-0.33419103093366515,-0.5889837697223322,-0.19846745461742918,-0.4220154951082961,-0.28391675620652607,0.0
2018-10-19,1.0,-0.32568729971327376,-0.5814077697194581,-0.1909540675774442,-0.4280373306347332,-0.2849271940181031,0.0
2018-10-22,1.0,-0.32495850097065526,-0.5846158174605407,-0.19427172720366878,-0.4259910530906226,-0.2836282812368117,0.0
