Date,IWF,IWM,MTUM,SMP,SPY,VLUE,VXX
2018-09-24,-0.33552042946614974,-0.8428273188189682,-0.0,1.0,-0.559167577956722,-0.5762666931769228,0.0
2018-09-25,-0.3324649298597194,-0.8534068136272546,-0.0,1.0,-0.5675016700066801,-0.5866065464261857,0.0
2018-09-26,-0.3315064830904959,-0.8530610880898275,-0.0,1.0,-0.5680390322149445,-0.5891926213073119,0.0
2018-09-27,-0.331762897620957,-0.8524458700882118,-0.0,1.0,-0.5679965249933173,-0.5891138732959101,0.0
2018-09-28,-0.32909486364396856,-0.8572862640120461,-0.0,1.0,-0.5692487870168981,-0.59049690480174,0.0
2018-10-01,-0.32918381688585485,-0.8573436401967673,-0.0,1.0,-0.5692534216778771,-0.5905698892346819,0.0
2018-10-02,-0.3278319327731093,-0.8789915966386556,-0.0,1.0,-0.5668907563025211,-0.5876302521008404,0.0
2018-10-03,-0.32723058317656545,-0.873152378392905,-0.0,1.0,-0.5683619994625101,-0.5906006449879064,0.0
2018-10-04,-0.33144104803493446,-0.8669801813906617,-0.0,1.0,-0.573698354047699,-0.5869667450453476,0.0
2018-10-05,-0.314838968596368,-0.8594695829570917,-0.0,1.0,-0.5769706698772616,-0.5930570883916926,0.0
2018-10-08,-0.31316167384697596,-0.8575627024680227,-0.0,1.0,-0.5769628961693886,-0.5919914504224694,0.0
2018-10-09,-0.3100177038447406,-0.8576009620202425,-0.0,1.0,-0.5782810568861275,-0.5944483415171861,0.0
2018-10-10,-0.30941164678761146,-0.8582406200928803,-0.0,1.0,-0.5782299288363235,-0.5951020680899402,0.0
2018-10-11,-0.2640359738016879,-0.8464596435204796,-0.0,1.0,-0.5561601876894001,-0.5918407246896282,0.0
2018-10-12,-0.2645979527457671,-0.8404686795853988,-0.0,1.0,-0.5395609347840082,-0.5743256293053499,0.0
2018-10-15,-0.24660480945195362,-0.855395383182971,-0.0,1.0,-0.534947185924808,-0.5736346999711047,0.0
2018-10-16,-0.24467128916281455,-0.8582755521314843,-0.0,1.0,-0.5342193117616847,-0.5729006163328196,0.0
2018-10-17,-0.2262803702884585,-0.8249028466715111,-0.0,1.0,-0.5290512148115383,-0.5792234052636567,0.0
2018-10-18,-0.2261468469606976,-0.8249399721976494,-0.0,1.0,-0.5290660937697459,-0.5792366991027423,0.0
2018-10-19,-0.2153556288271314,-0.8196577170670434,-0.0,1.0,-0.5277123567279007,-0.5775160935782697,0.0
2018-10-22,-0.21529762839641903,-0.8101774776189727,-0.0,1.0,-0.5332495680854406,-0.5824407099104758,0.0
2018-10-23,-0.218651840683503,-0.8104661389621813,-0.0,1.0,-0.530782761653474,-0.5811973866063577,0.0
2018-10-24,-0.21875394919752303,-0.8080058132187539,-0.0,1.0,-0.539302413749526,-0.5932958422848477,0.0
2018-10-25,-0.19622455578480583,-0.7766144181319866,-0.0,1.0,-0.5361685092230468,-0.5704739321898192,0.0
2018-10-26,-0.18583071334818838,-0.7661243551784133,-0.0,1.0,-0.537254662556088,-0.5632001465156741,0.0
2018-10-29,-0.15123608227967542,-1.0739762219286657,-0.0,1.0,-0.7305906774863181,-0.8184940554821664,0.0
2018-10-30,-0.09774049305528076,-1.136836690277393,-0.0,1.0,-0.7935182620394919,-0.9290095366230067,0.0
2018-10-31,-0.10476489767058175,-1.1078681698550497,-0.0,1.0,-0.7923557371253486,-0.9232038339160152,0.0
2018-11-01,-0.08079459798994976,-1.1279444095477387,-0.0,1.0,-0.792438756281407,-0.9246623743718593,0.0
2018-11-02,-0.08786496706038281,-1.0902428565859743,-0.0,1.0,-0.802518223989397,-0.9175924843098273,0.0
