Date,IWF,IWM,MTUM,PLUS,SPY,VLUE,VXX
2018-09-24,-0.3742358215506161,-0.7819544157757784,-0.1165313352352886,1.0,-0.45490171489481773,-0.4074677869392106,0.0
2018-09-25,-0.3753290710793532,-0.7806819606368309,-0.1184655885671305,1.0,-0.45380468847937827,-0.4057289707910242,0.0
2018-09-26,-0.3752977309765576,-0.7806819606368309,-0.11830888805315282,1.0,-0.45383602858217376,-0.40588567130500186,0.0
2018-09-27,-0.3745133743563983,-0.7857905312068316,-0.11729247770940598,1.0,-0.45488509355770435,-0.4070388044706768,0.0
2018-09-28,-0.3733400307663329,-0.7864879289234924,-0.11769692022729415,1.0,-0.45477663014472736,-0.407088814240417,0.0
2018-10-01,-0.37343421341788846,-0.7862053809688255,-0.1178538913132201,1.0,-0.4548080243619126,-0.4071202084576021,0.0
2018-10-02,-0.37498414711477485,-0.8268230818008878,-0.10757767913760305,1.0,-0.45519974635383637,-0.40602409638554215,0.0
2018-10-03,-0.3769125552692687,-0.8376435410503548,-0.10904348379298279,1.0,-0.45449629417565296,-0.4028692305245412,0.0
2018-10-04,-0.3765713012761353,-0.8386532157973459,-0.10931483308404671,1.0,-0.4539986633994208,-0.4038443178563473,0.0
2018-10-05,-0.3692239383463893,-0.8366686752719547,-0.10082141384669056,1.0,-0.4572008499571851,-0.40756715613206057,0.0
2018-10-08,-0.36780444557026154,-0.834367677791147,-0.09796719650433791,1.0,-0.45934393008675833,-0.40687733519093155,0.0
2018-10-09,-0.3736494216346765,-0.8376445913308758,-0.10744248125079445,1.0,-0.4572263887123427,-0.40183678657683997,0.0
2018-10-10,-0.3732311508251979,-0.8393487455083155,-0.10617864979171304,1.0,-0.4574999205011606,-0.40369510605145165,0.0
2018-10-11,-0.33157993027888444,-0.8543326693227091,-0.041428037848605576,1.0,-0.455085906374502,-0.43012325697211157,0.0
2018-10-12,-0.3451327433628319,-0.8550152631741235,-0.03854336899879745,1.0,-0.4368351268847707,-0.4079430174832722,0.0
2018-10-15,-0.3386381826017361,-0.8660345995197931,-0.028750846518500277,1.0,-0.43624946130640896,-0.4086067844609986,0.0
2018-10-16,-0.3382479684806698,-0.8673664122137404,-0.027702536321103175,1.0,-0.43625338586555035,-0.40855084954444715,0.0
2018-10-17,-0.3323157701935405,-0.853806703705965,-0.023261493375663963,1.0,-0.4335124244459369,-0.40979302765736614,0.0
2018-10-18,-0.333720397249809,-0.8567456073338426,-0.02187929717341482,1.0,-0.4329106187929717,-0.4105118411000764,0.0
2018-10-19,-0.32562093884739174,-0.8517944980870832,-0.012631323252565736,1.0,-0.4357806522135179,-0.4105483694662051,0.0
2018-10-22,-0.32695810564663025,-0.8476624165148755,-0.009198542805100181,1.0,-0.4388281724347298,-0.41320582877959927,0.0
2018-10-23,-0.3285983123899715,-0.8471134583864506,-0.01302130759424513,1.0,-0.43537910520245254,-0.4111576519152553,0.0
2018-10-24,-0.33058202342659465,-0.844996055107119,-0.005553195363233598,1.0,-0.43827759907750197,-0.4151241123991018,0.0
2018-10-25,-0.3058677392641666,-0.8130545368508222,-0.0,1.0,-0.44720809180172727,-0.39139950313498173,0.0
2018-10-26,-0.28552113338428076,-0.804508847216507,-0.0,1.0,-0.4619070013520663,-0.3873376050790665,0.0
2018-10-29,-0.2747979857126127,-0.8095502986298161,-0.0,1.0,-0.4556154116407074,-0.38777959948471724,0.0
2018-10-30,-0.2731477415766517,-0.8094610813500774,-0.0,1.0,-0.455607271449899,-0.38906940663329526,0.0
