Date,IWF,IWM,MTUM,SPY,SRG,VLUE,VXX
2018-09-24,-0.4859166264284565,-1.087638821825205,-0.0,-0.75136809914695,1.0,-0.6988572348301948,0.0
2018-09-25,-0.48505719349121956,-1.0892540679877558,-0.0,-0.7526985661350089,1.0,-0.7007410987594651,0.0
2018-09-26,-0.4857821814080876,-1.0899387787981312,-0.0,-0.7526180119220235,1.0,-0.6993716771387143,0.0
2018-09-27,-0.4855887451122667,-1.0922723424839762,-0.0,-0.7532148183980327,1.0,-0.7000443423227315,0.0
2018-09-28,-0.4845626763401854,-1.0929866989117294,-0.0,-0.7530431277710601,1.0,-0.7000806126561872,0.0
2018-10-01,-0.4862673926194797,-1.0919136922766686,-0.0,-0.7543859649122807,1.0,-0.7004638031861262,0.0
2018-10-02,-0.4915021597836179,-1.0753300230107787,-0.0,-0.7619797343667999,1.0,-0.7081264381736708,0.0
2018-10-03,-0.4905804994150631,-1.0668038242768971,-0.0,-0.7640889104038081,1.0,-0.7125741256202347,0.0
2018-10-04,-0.4975769323964139,-1.0591228495275018,-0.0,-0.7734027946046361,1.0,-0.7083434294483483,0.0
2018-10-05,-0.48238319071150215,-1.051223333735085,-0.0,-0.7738138282913504,1.0,-0.7100558434775622,0.0
2018-10-08,-0.4781858318282159,-1.046919526389725,-0.0,-0.7791691751956652,1.0,-0.7094120008027293,0.0
2018-10-09,-0.4742822726360169,-1.0471391286890184,-0.0,-0.7810881349126682,1.0,-0.7127484440875327,0.0
2018-10-10,-0.47976669348350764,-1.0476669348350764,-0.0,-0.7859613837489945,1.0,-0.7091311343523733,0.0
2018-10-11,-0.43149132405815227,-1.0246599968735344,-0.0,-0.7561747694231671,1.0,-0.6956776614037831,0.0
2018-10-12,-0.42661014312383316,-1.0236465463596762,-0.0,-0.7507000622277535,1.0,-0.6883167392657125,0.0
2018-10-15,-0.38084249227519845,-1.0828411624359524,-0.0,-0.7496773184182736,1.0,-0.697930926585051,0.0
2018-10-16,-0.3694930000790952,-1.124574863560864,-0.0,-0.7565451237839121,1.0,-0.7041445859368822,0.0
2018-10-17,-0.33814077441605267,-1.0772064586925851,-0.0,-0.766499451324659,1.0,-0.7372628938705127,0.0
2018-10-18,-0.3377875308593597,-1.0768447039460796,-0.0,-0.7668012069438458,1.0,-0.7372154081272778,0.0
2018-10-19,-0.3200838444220169,-1.0643195404083532,-0.0,-0.7647309991460289,1.0,-0.7325518205108299,0.0
2018-10-22,-0.3216867469879518,-1.068869024485037,-0.0,-0.7639331519626896,1.0,-0.732063738826273,0.0
2018-10-23,-0.31660594664472913,-1.078270066987895,-0.0,-0.77886159752419,1.0,-0.7436831590081091,0.0
2018-10-24,-0.3139425710038338,-1.0751897347625379,-0.0,-0.7786949377982944,1.0,-0.7442297159846647,0.0
2018-10-25,-0.26881518015134975,-1.0142690410752606,-0.0,-0.7808817439102443,1.0,-0.7009525243778473,0.0
2018-10-26,-0.25069679289457064,-0.9960607975026943,-0.0,-0.7812999368241109,1.0,-0.6881712438217698,0.0
2018-10-29,-0.23403547671840352,-1.0001847745750185,-0.0,-0.772690317812269,1.0,-0.6886178861788618,0.0
2018-10-30,-0.22643321513002362,-1.000036938534279,-0.0,-0.7727541371158392,1.0,-0.6945921985815603,0.0
