Date,HIBB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.6456136284621623,-3.302931973577471,-0.555220767180438,-2.5058523583265733,-2.5790937536215086,0.0
2018-09-25,1.0,-1.6453293205232087,-3.2978353976154646,-0.5571246672068527,-2.5014469267276307,-2.573677508970946,0.0
2018-09-26,1.0,-1.647481181239143,-3.300521134916039,-0.5605095541401274,-2.501795020266358,-2.5705848291835554,0.0
2018-09-27,1.0,-1.6636078522476476,-3.2894645138808225,-0.5704495295620862,-2.512719247299338,-2.5795098153095597,0.0
2018-09-28,1.0,-1.6653051697981094,-3.3124051814680824,-0.5745127786206092,-2.525382191620959,-2.592251137822383,0.0
2018-10-01,1.0,-1.6755680487233544,-3.3210353712813308,-0.5762473647224174,-2.537713750292809,-2.6017802764113376,0.0
2018-10-02,1.0,-1.6850634100516673,-3.2992015030530766,-0.5904180366369187,-2.551784875528417,-2.6160169093471115,0.0
2018-10-03,1.0,-1.6904509596137995,-3.313905569292358,-0.5924879312374897,-2.5576356999882255,-2.6200400329683267,0.0
2018-10-04,1.0,-1.6922082500881421,-3.2981548948172525,-0.5936067693030909,-2.5584675049947116,-2.6098248912915736,0.0
2018-10-05,1.0,-1.6623055162659122,-3.3036303630363033,-0.5469118340405469,-2.607024988213107,-2.6671381423856673,0.0
2018-10-08,1.0,-1.6547507055503292,-3.292568203198495,-0.5331608654750705,-2.6142991533396045,-2.664393226716839,0.0
2018-10-09,1.0,-1.6536155202821867,-3.2933568489124045,-0.5305114638447972,-2.615049970605526,-2.6652557319223984,0.0
2018-10-10,1.0,-1.6565549676660787,-3.291240446796002,-0.5333333333333333,-2.6169312169312167,-2.659729570840682,0.0
2018-10-11,1.0,-1.6013521819299323,-3.6022126613398893,-0.2583896742470805,-2.8363859864781804,-2.9942224953902885,0.0
2018-10-12,1.0,-1.597258956479923,-3.557105073334936,-0.21663861505169513,-2.7511421014666984,-2.8999759557585953,0.0
2018-10-15,1.0,-1.5390877529031488,-3.6413264695319048,-0.1296540165210104,-2.7487130372321325,-2.9130851191188794,0.0
2018-10-16,1.0,-1.535701471115895,-3.64322449467767,-0.1252242554718335,-2.7458437985886857,-2.9101782083482837,0.0
2018-10-17,1.0,-1.4618079887876663,-3.504788600794207,-0.04216304601728568,-2.73183835552441,-2.938916141088531,0.0
2018-10-18,1.0,-1.4622035284495853,-3.5071854188573433,-0.04065895548545391,-2.7330295595279823,-2.940530435798575,0.0
2018-10-19,1.0,-1.3956182610690526,-3.443679743060335,-0.0,-2.7135810965817853,-2.917641660931406,0.0
2018-10-22,1.0,-1.393131081854608,-3.4273611906124786,-0.0,-2.711963365769891,-2.9156267887807674,0.0
2018-10-23,1.0,-1.394601395402036,-3.4245682260093795,-0.0,-2.7069655724579667,-2.9115864119867325,0.0
2018-10-24,1.0,-1.3890414092884924,-3.416838252116221,-0.0,-2.711850835049188,-2.921299473804621,0.0
2018-10-25,1.0,-1.207194555471535,-3.188181916387599,-0.0,-2.653667494868748,-2.7534838500594145,0.0
2018-10-26,1.0,-1.154794076316074,-3.1841963031023677,-0.0,-2.7112744568154796,-2.759269268187223,0.0
2018-10-29,1.0,-1.1027472527472528,-3.2969230769230773,-0.0,-2.7436263736263737,-2.8456043956043957,0.0
2018-10-30,1.0,-1.0759366636931313,-3.348907225691347,-0.0,-2.793487957181089,-2.932314897413024,0.0
2018-10-31,1.0,-1.0508952794357027,-3.2260444926749865,-0.0,-2.720130222463375,-2.85491047205643,0.0
2018-11-01,1.0,-1.016163430239084,-3.4168818049163767,-0.0,-2.82759007744977,-2.964081266135369,0.0
2018-11-02,1.0,-0.9979184925503944,-3.2867002629272566,-0.0,-2.7783742331288344,-2.892309377738826,0.0
2018-11-05,1.0,-0.994596978718712,-3.349432131436762,-0.0,-2.8008600727753885,-2.8816848605138383,0.0
2018-11-06,1.0,-0.9979072585086464,-3.348276241876859,-0.0,-2.794360612402247,-2.8738847890736867,0.0
2018-11-07,1.0,-1.0003319685736416,-3.3689277415071373,-0.0,-2.8073475710966025,-2.8890118402124596,0.0
2018-11-08,1.0,-0.8939410540155581,-3.3784376027172125,-0.0,-2.776158650158869,-2.9078558124246743,0.0
2018-11-09,1.0,-0.8984263233190272,-3.39264883900077,-0.0,-2.793551227027622,-2.920105645427533,0.0
2018-11-12,1.0,-0.8822185970636215,-3.3200652528548122,-0.0,-2.784121805328983,-2.889070146818923,0.0
2018-11-13,1.0,-0.7835507168265603,-3.316050447342891,-0.0,-2.7937910962595667,-2.885954511156624,0.0
2018-11-14,1.0,-0.784698275862069,-3.313793103448276,-0.0,-2.7929956896551724,-2.8843750000000004,0.0
2018-11-15,1.0,-0.7737546866630959,-3.300696304231387,-0.0,-2.7823245848955547,-2.85570433851098,0.0
2018-11-16,1.0,-0.756673402105711,-3.259066255450388,-0.0,-2.7642241837711365,-2.8549399127937893,0.0
2018-11-19,1.0,-0.7772293164502628,-3.2856529670565515,-0.0,-2.7880673892048504,-2.879815430840219,0.0
2018-11-20,1.0,-0.6427819865319865,-3.2234848484848486,-0.0,-2.75736531986532,-2.8982533670033668,0.0
2018-11-21,1.0,-0.6260646485377117,-3.1563878912262697,-0.0,-2.696562339661365,-2.782657773217035,0.0
2018-11-23,1.0,-0.6251149484009401,-3.1214876877490547,-0.0,-2.6955144579544292,-2.775620721365076,0.0
2018-11-26,1.0,-0.6224218909536451,-3.1296712272820097,-0.0,-2.689095364508883,-2.7690422707780273,0.0
2018-11-27,1.0,-0.5816121916984159,-3.0930419089633046,-0.0,-2.6336474834569885,-2.7177661920994587,0.0
2018-11-28,1.0,-0.5838764664594405,-3.0885390554497145,-0.0,-2.6356161636418327,-2.7189411410809186,0.0
2018-11-29,1.0,-0.48476008449854135,-3.101498843174731,-0.0,-2.6832310632733125,-2.7899607685343524,0.0
2018-11-30,1.0,-0.5094923648369789,-3.1767437061494013,-0.0,-2.7576351630210483,-2.87391663227404,0.0
2018-12-03,1.0,-0.5019066268164485,-3.177058641657219,-0.0,-2.7556425847675974,-2.871379985571473,0.0
2018-12-04,1.0,-0.47008372472942617,-3.1664284255666737,-0.0,-2.72564835613641,-2.8482744537471922,0.0
2018-12-06,1.0,-0.39034873498095146,-2.941486763700303,-0.0,-2.6957116342678518,-2.7410374133046793,0.0
2018-12-07,1.0,-0.398005085077254,-2.943966360258165,-0.0,-2.6991981224330135,-2.737825151574418,0.0
2018-12-10,1.0,-0.29798850574712643,-2.9346743295019153,-0.0,-2.6727011494252872,-2.6731800766283524,0.0
2018-12-11,1.0,-0.29196240168808746,-2.9412046806061767,-0.0,-2.6744676769614424,-2.6837713408785726,0.0
2018-12-12,1.0,-0.2907692307692308,-2.9493269230769235,-0.0,-2.68125,-2.6940384615384616,0.0
2018-12-13,1.0,-0.28929428708593374,-2.936053768602976,-0.0,-2.6888142102736436,-2.687277964474316,0.0
2018-12-14,1.0,-0.2989641281411855,-2.907826587377709,-0.0,-2.6995012468827926,-2.685114137732591,0.0
