Date,FWRD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25469392805221314,-0.793343437780321,-0.10349840700300038,-0.45275139967212097,-0.48894181694453887,0.0
2018-09-25,1.0,-0.2543552928799084,-0.7940093449268186,-0.10273230807315036,-0.45341461150478074,-0.48980412785840266,0.0
2018-09-26,1.0,-0.254378364997834,-0.7941085463209355,-0.1028219568042577,-0.4533696392103472,-0.4896033170369454,0.0
2018-09-27,1.0,-0.2593727748366923,-0.7851150119191356,-0.10572428098201293,-0.4550323519395684,-0.490634964861769,0.0
2018-09-28,1.0,-0.2581653818767221,-0.7859818581468065,-0.10615770409584842,-0.4549394755580322,-0.490634964861769,0.0
2018-10-01,1.0,-0.26013227596150834,-0.8041250039181268,-0.10704322477509953,-0.4627777951916748,-0.5004545027113437,0.0
2018-10-02,1.0,-0.2612047890678869,-0.7952109321130821,-0.11023005077414906,-0.4648342004638626,-0.5026954177897575,0.0
2018-10-03,1.0,-0.2648208879919273,-0.8127838042381432,-0.11216574167507568,-0.46483980827447025,-0.4987386478304742,0.0
2018-10-04,1.0,-0.26509633273420996,-0.8121905843029672,-0.112509065682843,-0.4649197489988332,-0.4985652571500646,0.0
2018-10-05,1.0,-0.25512127686313935,-0.8091303254995601,-0.10339952243307779,-0.46933517657408574,-0.5049013447279126,0.0
2018-10-08,1.0,-0.2577804431538413,-0.815384129789786,-0.10504387349283505,-0.4701723376049492,-0.5080171706331671,0.0
2018-10-09,1.0,-0.25923703656919095,-0.8159540200846334,-0.10809701256868565,-0.4688625023684709,-0.5058106486452346,0.0
2018-10-10,1.0,-0.25887555274794694,-0.8167719519898926,-0.10739102969046116,-0.4689197725837019,-0.5066013897662666,0.0
2018-10-11,1.0,-0.22604665533755602,-0.8192491889386683,-0.06868530820330604,-0.45941603584118645,-0.5163602657191411,0.0
2018-10-12,1.0,-0.2258242431670548,-0.8184213751685256,-0.06514278710626303,-0.44895207746047316,-0.5057605098664053,0.0
2018-10-15,1.0,-0.2165534960543219,-0.832843946901572,-0.05285373463020738,-0.44864501131706125,-0.5077995962561938,0.0
