Date,AMOT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6801983934443906,-1.533344115585746,-0.1540783869750391,-1.0576311391449673,-0.9658202598522833,0.0
2018-09-25,1.0,-0.6803234501347709,-1.5329919137466308,-0.15439353099730457,-1.057466307277628,-0.9656603773584906,0.0
2018-09-26,1.0,-0.7185304939235143,-1.5984502174155422,-0.17744453116289438,-1.0991749358902887,-0.9811015720816144,0.0
2018-09-27,1.0,-0.7233272048582093,-1.586327929132542,-0.18106858320797817,-1.0996712908797146,-0.9809460137054988,0.0
2018-09-28,1.0,-0.7211142061281337,-1.587799442896936,-0.1818941504178273,-1.0992757660167132,-0.9809470752089137,0.0
2018-10-01,1.0,-0.7230312535006161,-1.6006497143497254,-0.1839363728016131,-1.1049064635375825,-0.9884619693065979,0.0
2018-10-02,1.0,-0.7314220834516038,-1.6628441669032075,-0.17399943230201534,-1.1134260573374963,-0.9952881067272211,0.0
2018-10-03,1.0,-0.7315923928470055,-1.6623332387170027,-0.17479420948055635,-1.1131422083451603,-0.9951177973318195,0.0
2018-10-04,1.0,-0.7411704487288858,-1.6530739919240176,-0.17653415230620487,-1.1260308252289144,-0.9905590627310471,0.0
2018-10-05,1.0,-0.7292232789855073,-1.650079257246377,-0.1612884963768116,-1.1284533514492754,-0.9921875,0.0
2018-10-08,1.0,-0.7261844259980801,-1.6453215878931617,-0.15805522615619177,-1.1280140041786662,-0.9893274606132475,0.0
2018-10-09,1.0,-0.7237384867491665,-1.6476238910549812,-0.15036446855399221,-1.1330168955190145,-0.9959315138159011,0.0
2018-10-10,1.0,-0.7238886064508839,-1.6471219567304978,-0.1503699937863639,-1.1330283002880868,-0.9943512399028414,0.0
2018-10-11,1.0,-0.641990028181227,-1.6322349880771734,-0.048937784522003036,-1.0995014090613484,-0.9968025146325603,0.0
2018-10-12,1.0,-0.653640828528721,-1.624332692718343,-0.038597053171044206,-1.0664104206705105,-0.9554772581678412,0.0
