Date,IWF,IWM,MTUM,ONB,SPY,VLUE,VXX
2018-09-24,-0.12985987763962897,-0.7768755814936987,-0.060503538301051624,1.0,-0.39795314218049566,-0.4541712481321718,0.0
2018-09-25,-0.12877673418580965,-0.7818829919655992,-0.05632567613443476,1.0,-0.40239900418694124,-0.45965825506393576,0.0
2018-09-26,-0.12838220310200382,-0.7817559153175592,-0.05490773236725914,1.0,-0.40314728857692744,-0.46207404052983125,0.0
2018-09-27,-0.12766681797548796,-0.787817748524739,-0.0536484339536995,1.0,-0.4045335905583295,-0.4634021788470268,0.0
2018-09-28,-0.1252626796160618,-0.7910490145964673,-0.054239790992219,1.0,-0.40509456466178223,-0.46410518543761003,0.0
2018-10-01,-0.12552182432624315,-0.790759094652543,-0.05438332434044245,1.0,-0.4051344673842047,-0.464061568170846,0.0
2018-10-02,-0.12577061848347962,-0.7931191227023494,-0.05392198642006875,1.0,-0.40469899713060026,-0.46347907611011674,0.0
2018-10-03,-0.12587054776997642,-0.7835072060035817,-0.05221865317376845,1.0,-0.40970465334432477,-0.4713039028966145,0.0
2018-10-04,-0.12484945804897632,-0.7995641452084647,-0.051499684578769286,1.0,-0.4090439869243563,-0.4825084590239147,0.0
2018-10-05,-0.10970826533825762,-0.7959575138137365,-0.03770505883363394,1.0,-0.42139769246185116,-0.4982106559019726,0.0
2018-10-08,-0.10831284660682636,-0.7943227945800697,-0.03590417929220742,1.0,-0.4224172431536219,-0.4976845234692127,0.0
2018-10-09,-0.10554536070650304,-0.7981419887601788,-0.02551898153457965,1.0,-0.4303819245326299,-0.5077130404862943,0.0
2018-10-10,-0.1059932930149904,-0.7974146579151022,-0.02628335578549113,1.0,-0.4306228324113618,-0.5059187709593281,0.0
2018-10-11,-0.06029181574239713,-0.7989154740608229,-0.0,1.0,-0.41810152057245076,-0.5178890876565295,0.0
2018-10-12,-0.05237736270486082,-0.8037803277773125,-0.0,1.0,-0.41723204065108743,-0.5185805623028171,0.0
2018-10-15,-0.014230780026384485,-0.8510960788166279,-0.0,1.0,-0.41552754933056396,-0.5260055575827323,0.0
2018-10-16,-0.01226494527083918,-0.8541959023294976,-0.0,1.0,-0.4148470390120685,-0.5253157451585743,0.0
2018-10-17,-0.0,-0.8264492553014784,-0.0,1.0,-0.4104147057195061,-0.5315597143015337,0.0
2018-10-18,-0.0,-0.8250388802488337,-0.0,1.0,-0.41757387247278377,-0.5345201066429682,0.0
2018-10-19,-0.0,-0.8184604340383236,-0.0,1.0,-0.41178419570379365,-0.5308134076978298,0.0
2018-10-22,-0.0,-0.8234074319840744,-0.0,1.0,-0.41133045786330463,-0.5301371378013714,0.0
2018-10-23,-0.0,-0.8317754393820663,-0.0,1.0,-0.42580879883577744,-0.5410276502854583,0.0
2018-10-24,-0.0,-0.8476830542456161,-0.0,1.0,-0.43170587072543976,-0.5444610736170333,0.0
2018-10-25,-0.0,-0.835442330791363,-0.0,1.0,-0.42478840191066797,-0.5331433838934049,0.0
2018-10-26,-0.0,-0.8288654060066741,-0.0,1.0,-0.4235261401557286,-0.528448275862069,0.0
2018-10-29,-0.0,-0.8319946823242674,-0.0,1.0,-0.41001495596299786,-0.5276408353182297,0.0
2018-10-30,-0.0,-0.8344104070499372,-0.0,1.0,-0.4087005175549028,-0.5544551685550427,0.0
2018-10-31,-0.0,-0.8262020168254499,-0.0,1.0,-0.4074043122179508,-0.5520641818485709,0.0
2018-11-01,-0.0,-0.8329761474018202,-0.0,1.0,-0.40159759525731303,-0.548693256144062,0.0
