Date,HMY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.6444055178454127,-3.1261221808627107,-0.06842566236041164,-2.6819575213488065,-2.427085614188745,0.0
2018-09-25,1.0,-1.6452529225390582,-3.11515350158418,-0.07549437342947668,-2.6730033868676935,-2.41647547252267,0.0
2018-09-26,1.0,-1.6452916757701552,-3.115140922001311,-0.07614157745247979,-2.672492899279004,-2.4150098317675335,0.0
2018-09-27,1.0,-1.6439756415832971,-3.0847107438016526,-0.08133971291866028,-2.660613310134841,-2.403653762505437,0.0
2018-09-28,1.0,-1.7005668934240363,-3.247052154195011,-0.1018140589569161,-2.7753968253968253,-2.5131519274376415,0.0
2018-10-01,1.0,-1.7030736078031075,-3.2454349552001815,-0.10275603946920722,-2.776908245434955,-2.5136667800839287,0.0
2018-10-02,1.0,-1.7032967032967035,-3.223178882972697,-0.11090970884785317,-2.7768211170273025,-2.514670896114195,0.0
2018-10-03,1.0,-1.7211351413205171,-3.2202769195560137,-0.10744936491589428,-2.8235496052179885,-2.570431399473624,0.0
2018-10-04,1.0,-1.7432479025399379,-3.213883461671072,-0.11228594414435121,-2.8539248362257212,-2.569589702333065,0.0
2018-10-05,1.0,-1.6925976696367373,-3.1849440255883024,-0.0511766049805803,-2.8870230751656383,-2.607722184144391,0.0
2018-10-08,1.0,-1.6824493512406102,-3.1674254495788756,-0.034714318233553386,-2.8952879581151834,-2.601866605964034,0.0
2018-10-09,1.0,-1.6899126838235292,-3.203814338235294,-0.011144301470588236,-2.93704044117647,-2.6469439338235294,0.0
2018-10-10,1.0,-1.6906837999082147,-3.1966498393758602,-0.013653051858650758,-2.935406149609913,-2.6368747131711796,0.0
2018-10-11,1.0,-1.3985227272727274,-3.262386363636364,-0.0,-2.931818181818182,-2.770909090909091,0.0
2018-10-12,1.0,-2.126182483979249,-4.546078730546231,-0.0,-3.910131217577052,-3.675617943240769,0.0
2018-10-15,1.0,-2.0041360294117645,-4.70297181372549,-0.0,-3.9099264705882355,-3.7017463235294117,0.0
2018-10-16,1.0,-2.0181335000781617,-4.856964201969673,-0.0,-3.9842113490698763,-3.7730186024699077,0.0
2018-10-17,1.0,-1.9177889132477293,-4.736924522392734,-0.0,-4.06686501722518,-3.9375195740682742,0.0
2018-10-18,1.0,-1.9150766343446983,-4.728495464497967,-0.0,-4.063340631842352,-3.932749452611824,0.0
2018-10-19,1.0,-1.8845780795344327,-4.876333656644035,-0.0,-4.279340446168768,-4.125121241513095,0.0
2018-10-22,1.0,-1.8756027000964322,-4.82272581163613,-0.0,-4.263741562198651,-4.1099324975892,0.0
2018-10-23,1.0,-1.8853564547206165,-4.818721901091843,-0.0,-4.2512845215157355,-4.101316634553628,0.0
2018-10-24,1.0,-1.8890506226750767,-4.838104480025877,-0.0,-4.295002426006793,-4.151221090085719,0.0
2018-10-25,1.0,-1.5204199022145528,-4.190825424216278,-0.0,-4.010066148979004,-3.659045153868277,0.0
2018-10-26,1.0,-1.493901520855293,-4.3943683180243935,-0.0,-4.321337148019877,-3.848366209908147,0.0
2018-10-29,1.0,-1.3532272325375772,-4.3664898320070735,-0.0,-4.204538756262894,-3.811818449749484,0.0
2018-10-30,1.0,-1.3150322959483265,-4.350117439812096,-0.0,-4.189958896065766,-3.8247210804462712,0.0
2018-10-31,1.0,-1.2823100644799552,-4.070787776843286,-0.0,-4.0161199887860946,-3.6483038968320716,0.0
2018-11-01,1.0,-1.252847721822542,-4.497002398081534,-0.0,-4.3087529976019185,-3.9292565947242206,0.0
2018-11-02,1.0,-1.230846629294236,-4.190743136409371,-0.0,-4.190599396291505,-3.7618226246945516,0.0
2018-11-05,1.0,-1.2148783977110156,-4.2,-0.0,-4.1712446351931325,-3.7201716738197423,0.0
