Date,IWF,IWM,MTUM,RGP,SPY,VLUE,VXX
2020-06-03,-0.14569708416951954,-0.5971431944280486,-0.06249557313186165,1.0,-0.37438318970605594,-0.18127729902018652,0.0
2020-06-04,-0.14470878157433298,-0.6049239372541586,-0.04822046348514288,1.0,-0.3799346002559121,-0.19176816264632007,0.0
2020-06-05,-0.13577555566086916,-0.6012274299796219,-0.04239135585991185,1.0,-0.3804559025638595,-0.20972939671105637,0.0
2020-06-08,-0.13529899348727056,-0.6004262877442272,-0.04369449378330373,1.0,-0.3801776198934281,-0.20864416814683243,0.0
2020-06-09,-0.1329520916878248,-0.6022589753933036,-0.04280663455378117,1.0,-0.38070379422442635,-0.2141280877013976,0.0
2020-06-10,-0.13318782472539206,-0.6026191549429433,-0.04298830395482907,1.0,-0.3810822993523285,-0.21254537258902517,0.0
2020-06-11,-0.12516926000712675,-0.6152037059033139,-0.025822544245159756,1.0,-0.3837985508967811,-0.22558498634042048,0.0
2020-06-12,-0.12752438765146326,-0.5959326357559581,-0.04204360252261615,1.0,-0.37666816260008973,-0.21983135318988117,0.0
2020-06-15,-0.12921666824151942,-0.5911839742984031,-0.047599924407067944,1.0,-0.37808277426060666,-0.21619578569403763,0.0
2020-06-16,-0.1313794487872848,-0.5839690149493423,-0.04477717686512529,1.0,-0.3813145029875068,-0.22022530288359352,0.0
2020-06-17,-0.1305219935812724,-0.5824287332452331,-0.04481310175571078,1.0,-0.3808051727392864,-0.22128091372474987,0.0
2020-06-18,-0.1310206489675516,-0.5815929203539822,-0.045451327433628314,1.0,-0.3808849557522124,-0.22093215339233035,0.0
2020-06-19,-0.13117152836779006,-0.5813744925894458,-0.04566694987255735,1.0,-0.3807703200226565,-0.22108939865949212,0.0
2020-06-22,-0.13083803365350577,-0.5813607721898378,-0.046798668963726905,1.0,-0.38012413565242015,-0.22089538149293184,0.0
2020-06-23,-0.13533514599834495,-0.5847026835323325,-0.04861094692043977,1.0,-0.381179808488001,-0.21454072585411987,0.0
2020-06-24,-0.13618842670324213,-0.5847187078771253,-0.0483836640102159,1.0,-0.3814647527608958,-0.214013763095041,0.0
2020-06-25,-0.1331791689280068,-0.5828358385049199,-0.05184171405649024,1.0,-0.38096698836687987,-0.21081195875315606,0.0
2020-06-26,-0.13321223844684013,-0.5815857139487155,-0.05147319006392866,1.0,-0.38090632445566275,-0.21179023849401996,0.0
