Date,IWF,IWM,LAMR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2630128518814227,-0.5618512890514333,1.0,-0.0,-0.4114662477142195,-0.33917119530223816,0.0
2018-09-25,-0.2638016273560614,-0.5614120918735195,1.0,-0.0,-0.4111648985477392,-0.33857760840457307,0.0
2018-09-26,-0.26512478429958536,-0.5627269683467689,1.0,-0.0,-0.41126020552708165,-0.3364153810492699,0.0
2018-09-27,-0.26434944046207004,-0.5656747975865092,1.0,-0.0,-0.4116084781599711,-0.3368830900933422,0.0
2018-09-28,-0.26710223897941787,-0.564909743563257,1.0,-0.0,-0.41267463781215297,-0.33775792164863255,0.0
2018-10-01,-0.2666459803997621,-0.5674243011920461,1.0,-0.0,-0.412923745248623,-0.3388151940630414,0.0
2018-10-02,-0.26582966606264563,-0.5741133833807922,1.0,-0.0,-0.4113901113124515,-0.33732850116489776,0.0
2018-10-03,-0.26517348524080786,-0.565639564992232,1.0,-0.0,-0.4149922320041429,-0.34350077679958574,0.0
2018-10-04,-0.269049469049469,-0.5603729603729604,1.0,-0.0,-0.42015022015022013,-0.3404040404040404,0.0
2018-10-05,-0.26547757528757915,-0.559932790487269,1.0,-0.0,-0.42011115419413203,-0.3394597389168928,0.0
2018-10-08,-0.2631307265453607,-0.5571557620338108,1.0,-0.0,-0.4221447928765002,-0.3385469092786166,0.0
2018-10-09,-0.260287056636894,-0.5570757395838711,1.0,-0.0,-0.423356910527131,-0.3407506840828128,0.0
2018-10-10,-0.25987504517994525,-0.5574430732689627,1.0,-0.0,-0.42329736149119634,-0.3410956782155212,0.0
2018-10-11,-0.22927520105204593,-0.5502250771331749,1.0,-0.0,-0.41044964847503923,-0.33900662586616764,0.0
2018-10-12,-0.23059194869610963,-0.5464064731080438,1.0,-0.0,-0.401087201583206,-0.3270121997044014,0.0
2018-10-15,-0.1974246768271214,-0.5862129671545697,1.0,-0.0,-0.3989738946733062,-0.33235249735928774,0.0
2018-10-16,-0.1906574568922053,-0.6001058787939901,1.0,-0.0,-0.39845719471614405,-0.33170313602904106,0.0
2018-10-17,-0.18516571543005905,-0.5899168919595474,1.0,-0.0,-0.3960398518073495,-0.3321568038449985,0.0
2018-10-18,-0.1862307576593291,-0.5931655217369503,1.0,-0.0,-0.39492553778268064,-0.33282354710926143,0.0
2018-10-19,-0.17169599400973418,-0.5854736053912393,1.0,-0.0,-0.4023961063272183,-0.33637838512417323,0.0
2018-10-22,-0.17158653124530945,-0.574823635362986,1.0,-0.0,-0.4109170961124731,-0.34427377795567116,0.0
2018-10-23,-0.168855252606255,-0.5760575380914194,1.0,-0.0,-0.41446972734562953,-0.3466319165998396,0.0
