Date,ADPT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-24,1.0,-1.8091500765696782,-2.713820826952527,-6.109877488514549,-5.002679938744257,-2.50708269525268,0.0
2020-02-25,1.0,-1.517538054268696,-2.543183322303111,-5.340172071475844,-4.014559894109861,-2.1298808735936468,0.0
2020-02-26,1.0,-1.4519395544477334,-2.2674871475307685,-5.1494002181025085,-3.8534039570026484,-1.856519707119489,0.0
2020-02-27,1.0,-1.5162292281410155,-2.219909923901227,-5.107780711290573,-3.8672154061189628,-1.8192265879794998,0.0
2020-02-28,1.0,-1.202374378796245,-2.3727222528989507,-4.414135836554389,-3.1852567642186633,-1.6300386526780783,0.0
2020-03-02,1.0,-1.2884668318194328,-2.2558491604734376,-4.3682906688687035,-3.2169006330856043,-1.6332232314891273,0.0
2020-03-03,1.0,-1.1564906490649063,-2.778327832783278,-4.0495049504950495,-3.1398514851485144,-1.6272002200220022,0.0
2020-03-04,1.0,-0.914372683959767,-2.8806246691371094,-4.111037586024351,-2.933033350979354,-1.395314981471678,0.0
2020-03-05,1.0,-0.7531645569620253,-2.8525550867323024,-3.4246366619784343,-2.4819503047351152,-1.2083919362400375,0.0
2020-03-06,1.0,-0.6661442006269592,-2.7456336766681595,-3.3674429019256604,-2.30564263322884,-1.1108374384236455,0.0
2020-03-09,1.0,-0.6470197208065588,-2.6905606027033016,-3.3810104143585193,-2.2841790383337024,-1.0764458231774872,0.0
2020-03-10,1.0,-1.2201224381155176,-1.4292431904888652,-2.7332978440244875,-1.8310708898944192,-0.6585041256321532,0.0
2020-03-11,1.0,-0.9515290910639748,-1.7533861487349862,-2.750234261862169,-1.6085697248487947,-0.4548939432660363,0.0
2020-03-12,1.0,-0.9436509794739718,-1.4283149925856553,-2.4773277140404275,-1.5190821821587452,-0.4361195660657145,0.0
2020-03-13,1.0,-0.9871679712562555,-0.9701655331707943,-1.900808417810856,-1.2459258308738612,-0.31201077890414475,0.0
2020-03-16,1.0,-0.7895474452554744,-1.1675328467153283,-1.7292846715328467,-1.0872992700729927,-0.06575182481751823,0.0
2020-03-17,1.0,-0.7485230800040052,-0.7780614799239011,-1.1490938219685591,-1.0324421748272754,-0.2983879042755582,0.0
2020-03-18,1.0,-0.717307785828916,-0.807080678889267,-1.0237805767640908,-1.0104556728103875,-0.30452754948207944,0.0
2020-03-19,1.0,-0.785205638715303,-0.6031584556508259,-1.0201521096739814,-1.0485878990456814,-0.3871530300828368,0.0
2020-03-20,1.0,-0.8378928099257602,-0.846588019932879,-1.0063561476660225,-1.0935624936438524,-0.30051866164954744,0.0
2020-03-23,1.0,-0.8399394856278367,-0.9609682299546143,-0.8843671205244579,-1.0802319717599598,-0.2773071104387292,0.0
2020-03-24,1.0,-0.8548184603023151,-0.9764475468287048,-0.8391000853713654,-1.0607643248129364,-0.29071460854718023,0.0
2020-03-25,1.0,-0.8595460361086101,-0.9628488840449226,-0.6396246979102497,-1.047102307728759,-0.22958821020707956,0.0
2020-03-26,1.0,-0.8557048573192156,-0.9627273158919329,-0.6482123355966004,-1.048430748777361,-0.23303736764636057,0.0
2020-03-27,1.0,-0.8518587274330534,-0.9406877987654895,-0.5939109852879751,-1.0484058105536733,-0.20606116860815893,0.0
