Date,IWF,IWM,MTUM,POST,SPY,VLUE,VXX
2018-09-24,-0.34119960668633237,-0.7035070468698787,-0.0,1.0,-0.6096361848574239,-0.6232710586692888,0.0
2018-09-25,-0.34245273745945415,-0.702729268372596,-0.0,1.0,-0.6090560597621311,-0.6221617902427837,0.0
2018-09-26,-0.3409799481474189,-0.7026681106625973,-0.0,1.0,-0.6106461881789244,-0.6275146860949755,0.0
2018-09-27,-0.3422312586082508,-0.6993506919393979,-0.0,1.0,-0.6105135436479308,-0.6272381452088935,0.0
2018-09-28,-0.3394224135098729,-0.7051286263429379,-0.0,1.0,-0.6120511219896837,-0.6288727535565266,0.0
2018-10-01,-0.3394775751601774,-0.7052735337604732,-0.0,1.0,-0.6119927714802037,-0.6289140791851486,0.0
2018-10-02,-0.34067017082785805,-0.701149802890933,-0.0,1.0,-0.6131734559789751,-0.6301576872536137,0.0
2018-10-03,-0.34009652319511474,-0.695886273351062,-0.0,1.0,-0.61439968482222,-0.6327193932827735,0.0
2018-10-04,-0.36044146577306524,-0.6950751892234337,-0.0,1.0,-0.6447600946950751,-0.634023540395452,0.0
2018-10-05,-0.34249759272171865,-0.6848623700899824,-0.0,1.0,-0.6504631935451738,-0.6425606800146096,0.0
2018-10-08,-0.33941168641022224,-0.6834154132836416,-0.0,1.0,-0.6600226274457607,-0.644782377212831,0.0
2018-10-09,-0.33923401989817986,-0.6834592220410608,-0.0,1.0,-0.660033940039264,-0.6447276478221807,0.0
2018-10-10,-0.3384057005860416,-0.6847029834842835,-0.0,1.0,-0.6602290889717636,-0.6464104954714971,0.0
2018-10-11,-0.27828894269572235,-0.6653753026634383,-0.0,1.0,-0.636093623890234,-0.6486521388216303,0.0
2018-10-12,-0.280039500509684,-0.6552624872579002,-0.0,1.0,-0.6196801732925586,-0.6305746687054027,0.0
2018-10-15,-0.27153349655018916,-0.6602969698896696,-0.0,1.0,-0.6176592159231821,-0.6300912530603161,0.0
2018-10-16,-0.26498312209413416,-0.673460289153557,-0.0,1.0,-0.6168715368447869,-0.6291955926374116,0.0
2018-10-17,-0.24817518248175183,-0.6410513455092259,-0.0,1.0,-0.6105698443031233,-0.6329375646126375,0.0
2018-10-18,-0.24752537276030573,-0.6398007768450068,-0.0,1.0,-0.6119533892995865,-0.6331600050119033,0.0
2018-10-19,-0.23343691733996275,-0.6282162834058422,-0.0,1.0,-0.6131137352392791,-0.6327532628962088,0.0
2018-10-22,-0.2333592414114721,-0.6187159956474428,-0.0,1.0,-0.6189336235038085,-0.6379916057826831,0.0
2018-10-23,-0.23015551469442455,-0.6209368279988781,-0.0,1.0,-0.6239598591329822,-0.6414747405491321,0.0
2018-10-24,-0.22881012500389664,-0.6220580442033729,-0.0,1.0,-0.6246142336107734,-0.6418217525483961,0.0
2018-10-25,-0.20082847035346052,-0.5813805823481389,-0.0,1.0,-0.6260091313155746,-0.6153962446708795,0.0
2018-10-26,-0.17959416461547698,-0.572101819055052,-0.0,1.0,-0.6402713573872846,-0.60980368613796,0.0
2018-10-29,-0.19313958447572047,-0.5776213976725766,-0.0,1.0,-0.6603606896971912,-0.6152440138914276,0.0
2018-10-30,-0.18441811591995858,-0.5778941918192062,-0.0,1.0,-0.6608595011116865,-0.6225748484756191,0.0
2018-10-31,-0.1863303252377203,-0.5658046151050815,-0.0,1.0,-0.6578038883168796,-0.6183453455272243,0.0
2018-11-01,-0.179626773130085,-0.5701841938118138,-0.0,1.0,-0.6568369476454042,-0.6178507697426125,0.0
2018-11-02,-0.17974875132435297,-0.5722112910549417,-0.0,1.0,-0.6566974421068564,-0.6184652641138187,0.0
2018-11-05,-0.1849296331195477,-0.5638165293777926,-0.0,1.0,-0.6593513480652907,-0.6314781604304082,0.0
2018-11-06,-0.18262060569167554,-0.5625627758332065,-0.0,1.0,-0.6626084309846294,-0.6358849490184142,0.0
2018-11-07,-0.18256794181198455,-0.5624942938007852,-0.0,1.0,-0.6624364709820749,-0.6358075413128823,0.0
2018-11-08,-0.1502132938008653,-0.56947932109037,-0.0,1.0,-0.6569751611048922,-0.6487762079085105,0.0
2018-11-09,-0.14975494645126158,-0.5694620923337569,-0.0,1.0,-0.6576208628305198,-0.6485145519453016,0.0
2018-11-12,-0.15010276870995043,-0.5501753113287389,-0.0,1.0,-0.6731350501753113,-0.6491959859750936,0.0
2018-11-13,-0.1273484553381476,-0.5446318880532166,-0.0,1.0,-0.6768046025229976,-0.6476492973361699,0.0
2018-11-14,-0.1279324085448063,-0.5440872457081224,-0.0,1.0,-0.6767534529766006,-0.6473020343350211,0.0
2018-11-15,-0.12701926528658608,-0.544064855809501,-0.0,1.0,-0.6785329663754935,-0.6418870408041163,0.0
2018-11-16,-0.1221866873897839,-0.5346564246644948,-0.0,1.0,-0.6800669516095287,-0.6520309651194071,0.0
2018-11-19,-0.11032914348935124,-0.567134822827991,-0.0,1.0,-0.716862841513261,-0.6789083868588462,0.0
2018-11-20,-0.11920366019537529,-0.5743168047483616,-0.0,1.0,-0.7214665512551008,-0.6763942129343391,0.0
2018-11-21,-0.12660246580383977,-0.5689136968656076,-0.0,1.0,-0.7224437220143531,-0.6489603140526283,0.0
2018-11-23,-0.12692036429425654,-0.5682438441016835,-0.0,1.0,-0.7224249486369629,-0.6488608138358223,0.0
2018-11-26,-0.12748379963760326,-0.5667516353920334,-0.0,1.0,-0.7253155615613771,-0.6516077516046804,0.0
2018-11-27,-0.12019436464763766,-0.5678748242772447,-0.0,1.0,-0.7209828250106961,-0.647026465374977,0.0
2018-11-28,-0.12162616536756839,-0.5636863823933975,-0.0,1.0,-0.7230322482041877,-0.6483570227724286,0.0
2018-11-29,-0.09943147453731704,-0.5532236603362768,-0.0,1.0,-0.7196685617515424,-0.651717672674489,0.0
2018-11-30,-0.09941343653625205,-0.5533954163391184,-0.0,1.0,-0.7206567091975571,-0.6500574469371713,0.0
2018-12-03,-0.10065711776640522,-0.5542500681343305,-0.0,1.0,-0.7219210853041819,-0.6513339187838779,0.0
2018-12-04,-0.08653524891413297,-0.5698144154542416,-0.0,1.0,-0.7246301977341069,-0.6564104121738602,0.0
2018-12-06,-0.07995385571035585,-0.51489336527938,-0.0,1.0,-0.7283402845564528,-0.6347501996627918,0.0
2018-12-07,-0.07729640151515152,-0.515625,-0.0,1.0,-0.7294034090909091,-0.6369258996212122,0.0
