Date,IWF,IWM,MQY,MTUM,SPY,VLUE,VXX
2018-09-24,-0.09880170336381343,-0.20758921202918165,1.0,-0.0,-0.1814610636120556,-0.1626943518304559,0.0
2018-09-25,-0.09766580704886596,-0.20887059445877137,1.0,-0.0,-0.1824208159756662,-0.16415393771077166,0.0
2018-09-26,-0.09710600297668265,-0.2085496940631718,1.0,-0.0,-0.18261948073424839,-0.16542086985281956,0.0
2018-09-27,-0.10105960264900662,-0.20349337748344373,1.0,-0.0,-0.18438741721854304,-0.16667218543046358,0.0
2018-09-28,-0.10391961468194652,-0.2033383158943697,1.0,-0.0,-0.18579970104633783,-0.16777943863145658,0.0
2018-10-01,-0.10361970636649319,-0.20481186505495236,1.0,-0.0,-0.18594017591407144,-0.1683321417288795,0.0
2018-10-02,-0.1033765455725483,-0.2075019553676923,1.0,-0.0,-0.18545206436904027,-0.16781215157011864,0.0
2018-10-03,-0.10325951315285935,-0.20623616911532253,1.0,-0.0,-0.18582053543202276,-0.168549608159598,0.0
2018-10-04,-0.10686908412211707,-0.20243967471003868,1.0,-0.0,-0.19087455005999202,-0.1662611651779763,0.0
2018-10-05,-0.11164853556485356,-0.20768200836820083,1.0,-0.0,-0.19029288702928868,-0.16401673640167364,0.0
2018-10-08,-0.11472588292864012,-0.2137252585930513,1.0,-0.0,-0.19165415183166562,-0.1672713159981776,0.0
2018-10-09,-0.11760233819330641,-0.21479616833640247,1.0,-0.0,-0.1912790795898025,-0.16576844452703957,0.0
2018-10-10,-0.11830262913493524,-0.2141470086624677,1.0,-0.0,-0.19160432954526266,-0.16453622870265613,0.0
2018-10-11,-0.09837306091562617,-0.2043132803632236,1.0,-0.0,-0.18032867788580167,-0.1620194443073582,0.0
2018-10-12,-0.10161520498183704,-0.19833290088220032,1.0,-0.0,-0.1706019719771666,-0.151141670991178,0.0
2018-10-15,-0.0997102575308762,-0.1988539795075997,1.0,-0.0,-0.169669305103676,-0.15043946972272132,0.0
2018-10-16,-0.10088102873060603,-0.1974540860946458,1.0,-0.0,-0.17021345512259903,-0.15098953778382404,0.0
2018-10-17,-0.0948431821456589,-0.1851875570355902,1.0,-0.0,-0.16813691743648038,-0.15284737676310017,0.0
2018-10-18,-0.09409253582834491,-0.1841889874981945,1.0,-0.0,-0.17218468649195165,-0.15438686588242845,0.0
2018-10-19,-0.08725589975192419,-0.17661090261433754,1.0,-0.0,-0.17277844920806565,-0.15360027988041475,0.0
2018-10-22,-0.08786777597143859,-0.18101112492429314,1.0,-0.0,-0.17197411622198847,-0.15297567817410984,0.0
2018-10-23,-0.08842746047934727,-0.18096634370219275,1.0,-0.0,-0.17148457419683835,-0.1526963284038756,0.0
2018-10-24,-0.0878348285296176,-0.17842145447604504,1.0,-0.0,-0.1712795062670993,-0.153082649360565,0.0
2018-10-25,-0.07474406430529527,-0.1586723868229901,1.0,-0.0,-0.17513590533864049,-0.1402109436709155,0.0
2018-10-26,-0.07129536872929028,-0.15576789704862448,1.0,-0.0,-0.17592663943900747,-0.13819835092856592,0.0
2018-10-29,-0.06441280593400867,-0.15736157300271258,1.0,-0.0,-0.1715989026988092,-0.13915495547960952,0.0
2018-10-30,-0.07051232813580152,-0.15830708963822107,1.0,-0.0,-0.17228665796144096,-0.135094861356479,0.0
2018-10-31,-0.0708896862636857,-0.15633146256938693,1.0,-0.0,-0.17178826632318214,-0.13440365565676082,0.0
2018-11-01,-0.06397450824192659,-0.1617286598443532,1.0,-0.0,-0.17164041914332986,-0.13461302775905387,0.0
2018-11-02,-0.06578385305425033,-0.15288033197046438,1.0,-0.0,-0.17404039787636544,-0.1329102337218527,0.0
2018-11-05,-0.06529597486387138,-0.15414181779357258,1.0,-0.0,-0.1740768421213184,-0.1317358876195415,0.0
2018-11-06,-0.06590909090909092,-0.1546217205613179,1.0,-0.0,-0.17365771812080538,-0.13113178767541186,0.0
2018-11-07,-0.06557102129800436,-0.15484884057750065,1.0,-0.0,-0.1730824935587639,-0.13105056942051743,0.0
2018-11-08,-0.0608629711079093,-0.15398498521270948,1.0,-0.0,-0.1705770834913172,-0.1312201410480018,0.0
2018-11-09,-0.05976955583254796,-0.15524579697808044,1.0,-0.0,-0.1731219408384763,-0.13195816739123825,0.0
2018-11-12,-0.05970737027051588,-0.1489352034170428,1.0,-0.0,-0.17533549422919634,-0.13063827209112114,0.0
2018-11-13,-0.04948697947917916,-0.14576083043321733,1.0,-0.0,-0.1763770550822033,-0.12843513740549622,0.0
2018-11-14,-0.04988975055124724,-0.145439272803636,1.0,-0.0,-0.17642911785441073,-0.12824935875320626,0.0
2018-11-15,-0.04977985443436068,-0.1456405187647887,1.0,-0.0,-0.1777038967262707,-0.1244795878635397,0.0
2018-11-16,-0.0503592805388458,-0.1471925113634659,1.0,-0.0,-0.17827515338803798,-0.12430056554807159,0.0
2018-11-19,-0.052055041190858485,-0.14687654747077625,1.0,-0.0,-0.17750333878543242,-0.1241427949760658,0.0
2018-11-20,-0.04585648563063871,-0.14432096552548246,1.0,-0.0,-0.1773615343251479,-0.12615761486526855,0.0
2018-11-21,-0.048221168099614596,-0.14123925289060185,1.0,-0.0,-0.1757930625555885,-0.11710643344203973,0.0
2018-11-23,-0.048685477301340443,-0.1370658372213582,1.0,-0.0,-0.1777234688587721,-0.11766274161297488,0.0
2018-11-26,-0.04850602623708134,-0.1380408066569931,1.0,-0.0,-0.17708549261156684,-0.11701560602919839,0.0
