Date,CMI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27829603825943205,-0.45796185865265393,-0.06719017535573006,-0.554318946684773,-0.5943496486981166,0.0
2018-09-25,1.0,-0.2775840671355121,-0.4596950534838367,-0.06548076354825365,-0.5557886649725193,-0.5963300041368713,0.0
2018-09-26,1.0,-0.2773722627737226,-0.459528945890836,-0.06480687963592305,-0.5560743520789622,-0.5974171813587872,0.0
2018-09-27,1.0,-0.27781388478581975,-0.45802067946824226,-0.06528803545051699,-0.5558936484490399,-0.5971935007385524,0.0
2018-09-28,1.0,-0.2774216419012732,-0.4583911848985259,-0.0656406014593365,-0.5556999793211427,-0.5969986115624354,0.0
2018-10-01,1.0,-0.27886150026600465,-0.45746881834840697,-0.06543713424366022,-0.5566885381568836,-0.5971212389903647,0.0
2018-10-02,1.0,-0.2817947731375973,-0.4394293663243259,-0.07227631929440317,-0.5627312279870956,-0.6034865480806227,0.0
2018-10-03,1.0,-0.28164594434576673,-0.43040260509177025,-0.07078152753108348,-0.5670515097690941,-0.6104499703966845,0.0
2018-10-04,1.0,-0.2810240606850776,-0.4331515941685433,-0.07096716842479554,-0.565959464264549,-0.6120362688159299,0.0
2018-10-05,1.0,-0.2661983520066394,-0.4261070602881024,-0.05480467129053292,-0.5837334756061414,-0.6331732764242101,0.0
2018-10-08,1.0,-0.26494613472238665,-0.4238782999881614,-0.05279981058363917,-0.5851781697644134,-0.6328282230377649,0.0
2018-10-09,1.0,-0.262391794142061,-0.42621249851772797,-0.04443851535633819,-0.5910707933119886,-0.640460097237045,0.0
2018-10-10,1.0,-0.26179595228203456,-0.428066947593329,-0.04279185708350644,-0.591637485904208,-0.6432725977802837,0.0
2018-10-11,1.0,-0.22574378008467205,-0.4215333758626689,-0.0,-0.5886736646755205,-0.66377660499913,0.0
2018-10-12,1.0,-0.22821814843503457,-0.4122557879335571,-0.0,-0.5766990848323149,-0.6516625068135525,0.0
2018-10-15,1.0,-0.20527582058772983,-0.43280632411067194,-0.0,-0.5728361115884746,-0.6532909434610757,0.0
2018-10-16,1.0,-0.19949538390962787,-0.44371810310224213,-0.0,-0.5717931074029474,-0.652101611330925,0.0
