Date,BP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25227376080036384,-0.541780354706685,-0.020492269213278763,-0.5102319236016372,-0.5173942701227832,0.0
2018-09-25,1.0,-0.257581366212022,-0.5407329365870327,-0.02682308721774538,-0.508812893305618,-0.5135112047609556,0.0
2018-09-26,1.0,-0.26423160794215544,-0.5520486629174796,-0.03394353265235855,-0.512452656949386,-0.5065993343280156,0.0
2018-09-27,1.0,-0.26577596834771644,-0.547464090140199,-0.03523610195246424,-0.5122853292812294,-0.5062931850110381,0.0
2018-09-28,1.0,-0.26911920967232417,-0.5468251916946669,-0.03509376525659803,-0.5135693977772033,-0.5072513712989288,0.0
2018-10-01,1.0,-0.2737206285137668,-0.5473259334006055,-0.03410696266397578,-0.5183220412281966,-0.5096439383018596,0.0
2018-10-02,1.0,-0.2770315163070168,-0.528093133431551,-0.04142473351243609,-0.5252332668919896,-0.5169714302221452,0.0
2018-10-03,1.0,-0.2767014119481419,-0.5227384286663009,-0.040799237721248514,-0.5269829353506771,-0.5201974994947015,0.0
2018-10-04,1.0,-0.27796698222119604,-0.5201166012468252,-0.04127222350496421,-0.5283421842530593,-0.5184714846455784,0.0
2018-10-05,1.0,-0.26919316809477256,-0.5144919201794238,-0.032175513255506355,-0.5341020185174536,-0.5254183679337513,0.0
2018-10-08,1.0,-0.26800838333668286,-0.5123883896528953,-0.030174270046797392,-0.5354712755878385,-0.5249346846200224,0.0
2018-10-09,1.0,-0.27229290196304184,-0.5143918024293362,-0.03753382073570894,-0.5334465488457775,-0.5206666282885268,0.0
2018-10-10,1.0,-0.2738026709647709,-0.5130670043748561,-0.03917223117660603,-0.5344519917107989,-0.5177008979967764,0.0
2018-10-11,1.0,-0.24038002079995505,-0.5085870084605223,-0.0,-0.5295275037243163,-0.5323102004103775,0.0
2018-10-12,1.0,-0.23978042187978932,-0.5025496697968623,-0.0,-0.5212193830635048,-0.5229748934154429,0.0
2018-10-15,1.0,-0.22840141256291188,-0.5108583822261769,-0.0,-0.5186719684119789,-0.522703890109279,0.0
2018-10-16,1.0,-0.2266029027414781,-0.5136795862759272,-0.0,-0.5180448201078798,-0.5220764054940777,0.0
2018-10-17,1.0,-0.209361024993827,-0.48319569809871327,-0.0,-0.5175450629646904,-0.5334302724354578,0.0
2018-10-18,1.0,-0.20986603711430768,-0.48481936971560335,-0.0,-0.5167728121225431,-0.5336828813000989,0.0
2018-10-19,1.0,-0.199323587169976,-0.47602552912939117,-0.0,-0.5182195068732272,-0.5339024656338642,0.0
2018-10-22,1.0,-0.1992309999727305,-0.4698535627607647,-0.0,-0.5212293092634507,-0.5366093098088408,0.0
2018-10-23,1.0,-0.19462848381974485,-0.47308766358210597,-0.0,-0.5284454908832065,-0.5416141926299075,0.0
2018-10-24,1.0,-0.19418595075352055,-0.4783551566060007,-0.0,-0.5302918004886217,-0.5422053858189904,0.0
2018-10-25,1.0,-0.175889115719351,-0.45234769528312024,-0.0,-0.5320189104974751,-0.5259213495218652,0.0
2018-10-26,1.0,-0.16632459951488657,-0.44454513953674335,-0.0,-0.53439773969134,-0.5202175013993656,0.0
2018-10-29,1.0,-0.15570897503983006,-0.4469729155602762,-0.0,-0.5299787573021774,-0.5226500265533723,0.0
2018-10-30,1.0,-0.1510180244750604,-0.4469751267553291,-0.0,-0.5301160043534815,-0.5264792545990284,0.0
2018-10-31,1.0,-0.1509028146574615,-0.44747742963356346,-0.0,-0.5302973977695168,-0.5266595857673925,0.0
2018-11-01,1.0,-0.1629414275045343,-0.441747572815534,-0.0,-0.5335804971727303,-0.5289661794516164,0.0
2018-11-02,1.0,-0.1730620516786219,-0.40926908615770247,-0.0,-0.5549718674168689,-0.529292552198608,0.0
2018-11-05,1.0,-0.1783217719688245,-0.3999517904491523,-0.0,-0.557302407799234,-0.5427591932935159,0.0
2018-11-06,1.0,-0.172243008263573,-0.39821269952356597,-0.0,-0.5666873031681515,-0.5545476568598423,0.0
2018-11-07,1.0,-0.17173755144863206,-0.3984343475102897,-0.0,-0.5656524897102736,-0.5543001640975977,0.0
2018-11-08,1.0,-0.15428586692309748,-0.39845607286908674,-0.0,-0.5599006330635468,-0.558511632876566,0.0
2018-11-09,1.0,-0.15821217016693592,-0.4056004308023694,-0.0,-0.5636510500807754,-0.5650511577813677,0.0
2018-11-12,1.0,-0.15791027154663517,-0.39215949339916284,-0.0,-0.5698722764838468,-0.5633251046474187,0.0
2018-11-13,1.0,-0.14059337381485032,-0.3869979759241504,-0.0,-0.5729998934696922,-0.5626398210290828,0.0
