Date,FAN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1978732416345275,-0.3092493925139889,-0.06578683371603095,-0.3547049512896538,-0.3016920436052344,0.0
2018-09-25,1.0,-0.19798029337019038,-0.30915332828035136,-0.06596370769985288,-0.3546078737348968,-0.30155156270899286,0.0
2018-09-26,1.0,-0.1975140587342676,-0.30904668392394896,-0.06384450593591003,-0.35588681603142014,-0.3052530572168169,0.0
2018-09-27,1.0,-0.19890278985749651,-0.30532325327267457,-0.06491826676479115,-0.35585736268147455,-0.3051002430811088,0.0
2018-09-28,1.0,-0.19855482950110395,-0.3056491001137403,-0.06514418251968153,-0.3557394232699213,-0.3051138517808158,0.0
2018-10-01,1.0,-0.19906767185618057,-0.30519248784404696,-0.06510683856002142,-0.35602444573314895,-0.30510326983985364,0.0
2018-10-02,1.0,-0.19886058981233246,-0.31418677390527255,-0.06262287756925826,-0.3548033958891868,-0.30368632707774795,0.0
2018-10-03,1.0,-0.19932908419993292,-0.3175220843117522,-0.06311081292631109,-0.35417645085541766,-0.3022475679302247,0.0
2018-10-04,1.0,-0.20027275369447115,-0.31570122292025304,-0.0633816986742382,-0.3552728654787721,-0.30105747948758077,0.0
2018-10-05,1.0,-0.19825989960959287,-0.31422197434467375,-0.06070273284997212,-0.35629670942554376,-0.3013943112102621,0.0
2018-10-08,1.0,-0.19837993439403748,-0.31464084082743843,-0.06071898779372058,-0.35625822863901097,-0.301541963269587,0.0
2018-10-09,1.0,-0.19970529793931818,-0.31481770891473737,-0.0634948985287223,-0.35504900538054524,-0.2995021321247572,0.0
2018-10-10,1.0,-0.19987054727256495,-0.3143915721810553,-0.06369966967235069,-0.3551468618873315,-0.2988126060173199,0.0
2018-10-11,1.0,-0.18396702188308556,-0.3096303118010788,-0.0440073674516511,-0.3519931587948954,-0.3030741569091786,0.0
2018-10-12,1.0,-0.18690411553914646,-0.3043761537626235,-0.043023129547182105,-0.34425019003149093,-0.29321316103811484,0.0
2018-10-15,1.0,-0.1753841479295078,-0.32526695025609864,-0.026109037242816217,-0.34599357583123536,-0.29755187082212,0.0
2018-10-16,1.0,-0.1735133020344288,-0.33576769257520434,-0.01875760737263085,-0.3472874282733438,-0.2982090071291949,0.0
