Date,IEX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3285538164665523,-0.5054138078902229,-0.10867817324185249,-0.4156839622641509,-0.32171955403087477,0.0
2018-09-25,1.0,-0.32784334763948497,-0.5069206008583691,-0.10708154506437767,-0.4170064377682403,-0.3235783261802575,0.0
2018-09-26,1.0,-0.3274381407331866,-0.5067092480274811,-0.10552305297622243,-0.4178519671515217,-0.32617680210402017,0.0
2018-09-27,1.0,-0.32793218156454557,-0.5049629788603928,-0.10601995922309261,-0.4177218585685159,-0.3260274707586651,0.0
2018-09-28,1.0,-0.32526917810058265,-0.5083102864967913,-0.1065703622157184,-0.41814569180785655,-0.32677281636817657,0.0
2018-10-01,1.0,-0.32766827117003255,-0.5074891763250599,-0.10600478661897975,-0.4203350633285826,-0.327614488934305,0.0
2018-10-02,1.0,-0.32839472976606615,-0.5001075557945683,-0.10871201936004302,-0.42202204893788653,-0.32965851035224525,0.0
2018-10-03,1.0,-0.3284834467364118,-0.5007933733157626,-0.10894763736115966,-0.42183255788935803,-0.32934405507893394,0.0
2018-10-04,1.0,-0.3285998601473831,-0.5005109999462105,-0.10919262008498735,-0.4218707976978108,-0.3292991232316712,0.0
2018-10-05,1.0,-0.3225304918911674,-0.4965286154670956,-0.10237233614796945,-0.4259482643077336,-0.33319930304248757,0.0
2018-10-08,1.0,-0.32232047159699895,-0.49624866023579856,-0.10182207931404073,-0.42615219721329045,-0.3329849946409432,0.0
2018-10-09,1.0,-0.32613715697330975,-0.4977176306320821,-0.1086676333172225,-0.42392997153751144,-0.32866118898018365,0.0
2018-10-10,1.0,-0.3254241852949098,-0.5023161863722058,-0.10570966873148396,-0.4253433880958793,-0.3344465391866415,0.0
2018-10-11,1.0,-0.30225742574257425,-0.5014125412541255,-0.07215841584158417,-0.4211749174917492,-0.34326072607260727,0.0
2018-10-12,1.0,-0.30037982416531644,-0.5089643815240777,-0.06587160349544477,-0.4304231188079365,-0.3504741161783846,0.0
2018-10-15,1.0,-0.29962566702949534,-0.510367164892346,-0.06374279873629436,-0.43077494889425755,-0.3503331828921868,0.0
2018-10-16,1.0,-0.2998008761449622,-0.5097305190495155,-0.06430373025355104,-0.4307712730651799,-0.3503783353245719,0.0
2018-10-17,1.0,-0.2908036019007114,-0.4877267596020057,-0.054448557402010975,-0.43238560289832245,-0.35990128901840324,0.0
2018-10-18,1.0,-0.2897390117103398,-0.48608412540040963,-0.05537467835950219,-0.4342540566087277,-0.360158588457701,0.0
2018-10-19,1.0,-0.28736715355217,-0.48413695618030467,-0.05109680121459609,-0.43568399560232446,-0.35940526673996126,0.0
2018-10-22,1.0,-0.2867358164387867,-0.4865629420084866,-0.05390539053905391,-0.4339148200534339,-0.35816438786735816,0.0
2018-10-23,1.0,-0.2885879672071034,-0.4862096964299745,-0.058016186909033755,-0.43031509468556006,-0.3561381911522041,0.0
2018-10-24,1.0,-0.28837675879728625,-0.49869327631266336,-0.062221166283889025,-0.4337266703624509,-0.35680156278873315,0.0
2018-10-25,1.0,-0.26947607612260177,-0.4719962816639554,-0.058486327368502594,-0.44320499909623773,-0.3390141245126139,0.0
2018-10-26,1.0,-0.26035275089214654,-0.4681779671895458,-0.04112859746861441,-0.4590639521450027,-0.3386049138661395,0.0
2018-10-29,1.0,-0.24721403868323302,-0.4819777123094659,-0.028026130395798644,-0.45574484437043683,-0.348840783911874,0.0
2018-10-30,1.0,-0.25456178621840114,-0.48243295264981395,-0.03213139997433594,-0.4554343641729758,-0.34184524573335046,0.0
