Date,FWONA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.48061890563300824,-1.1421145942461115,-0.0,-0.7798775082601337,-0.6267225400918688,0.0
2018-09-25,1.0,-0.4791506882493037,-1.1451580349574133,-0.0,-0.7822629475638799,-0.6300811367214306,0.0
2018-09-26,1.0,-0.48084144224169256,-1.1468486292243711,-0.0,-0.782452456898292,-0.6275285662373319,0.0
2018-09-27,1.0,-0.4857557904930998,-1.1377612783471873,-0.0,-0.7835929303526753,-0.6281171818255185,0.0
2018-09-28,1.0,-0.48551484828921887,-1.1377098127824403,-0.0,-0.7834489993544222,-0.628187540348612,0.0
2018-10-01,1.0,-0.4854282715750384,-1.1387745216759506,-0.0,-0.7834826834584645,-0.6287640268022927,0.0
2018-10-02,1.0,-0.48556547018209717,-1.1406306779181974,-0.0,-0.7829369725844875,-0.6284975976097226,0.0
2018-10-03,1.0,-0.4846038984624077,-1.1306751684894465,-0.0,-0.7859881351144113,-0.6343678114532466,0.0
2018-10-04,1.0,-0.49085402786190185,-1.12287502523723,-0.0,-0.7941449626488997,-0.6300827781142742,0.0
2018-10-05,1.0,-0.48080328396651645,-1.1204523502897616,-0.0,-0.7943496458467482,-0.6289037347070187,0.0
2018-10-08,1.0,-0.4772572162672126,-1.115942028985507,-0.0,-0.7950138504155125,-0.6264402424826369,0.0
2018-10-09,1.0,-0.4770163394756915,-1.1162230519089487,-0.0,-0.7950539965474326,-0.626279657954956,0.0
2018-10-10,1.0,-0.47838998354669127,-1.1152132910630441,-0.0,-0.7958184517837794,-0.6235804004976123,0.0
2018-10-11,1.0,-0.4204629449523439,-1.095078778447773,-0.0,-0.7649484536082474,-0.6098035401672827,0.0
2018-10-12,1.0,-0.42558736729140323,-1.0865432524625351,-0.0,-0.7411367904641447,-0.5794718485301446,0.0
2018-10-15,1.0,-0.40145985401459855,-1.1073107348950968,-0.0,-0.735239041540872,-0.577597737608438,0.0
2018-10-16,1.0,-0.39831868551776844,-1.1121895299961788,-0.0,-0.7341612533435231,-0.576538020634314,0.0
2018-10-17,1.0,-0.3785649954968478,-1.073626538577004,-0.0,-0.7238441909336536,-0.5765911137796458,0.0
2018-10-18,1.0,-0.3775698124553689,-1.0719735407975346,-0.0,-0.7298831134663811,-0.5789453903108206,0.0
2018-10-19,1.0,-0.36180361468231786,-1.0617477175330725,-0.0,-0.7293087385876654,-0.5736165455561767,0.0
2018-10-22,1.0,-0.36164506034868127,-1.0528609745194457,-0.0,-0.7332737296975115,-0.5774847265683206,0.0
2018-10-23,1.0,-0.36420856610800745,-1.0528119180633146,-0.0,-0.7311359404096834,-0.5762756052141527,0.0
2018-10-24,1.0,-0.3625768013405325,-1.0540309067212807,-0.0,-0.7314838949916217,-0.5756097560975609,0.0
2018-10-25,1.0,-0.3236711501114867,-1.0016183557505574,-0.0,-0.7350212184420629,-0.536071351506869,0.0
