Date,BVXV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8825722883684417,-1.913842731911553,-0.06515766060447468,-1.4062540887086223,-1.2740416066989402,0.0
2018-09-25,1.0,-0.8879727784321423,-1.9107446669284123,-0.07296165423373903,-1.4034157832744403,-1.2684858002879202,0.0
2018-09-26,1.0,-0.890125720272394,-1.9136982713462547,-0.07654531168150865,-1.4034180199057098,-1.2640780513357779,0.0
2018-09-27,1.0,-0.8929855527227561,-1.900699483558868,-0.07975420016996798,-1.4017127541347978,-1.2620775315421326,0.0
2018-09-28,1.0,-0.8894712703924523,-1.9101094149249822,-0.08156980934285528,-1.4049007403524867,-1.265740680076001,0.0
2018-10-01,1.0,-0.8917660941392422,-1.909007473449587,-0.08174904942965779,-1.4066474367379047,-1.2664219221187885,0.0
2018-10-02,1.0,-0.8981469312656064,-1.8816533052963593,-0.09383624655013799,-1.418583256669733,-1.278945985017742,0.0
2018-10-03,1.0,-0.8968821791926485,-1.8731211027239907,-0.09353462422054479,-1.4189694781752542,-1.281325894322284,0.0
2018-10-04,1.0,-0.9210578643865579,-1.8720752966129781,-0.09703718433088089,-1.453569298071187,-1.2844170477894876,0.0
2018-10-05,1.0,-0.8965081476554705,-1.872098436980379,-0.06072497505819753,-1.4938476887263052,-1.32796807449285,0.0
2018-10-08,1.0,-0.8971245580092069,-1.8745746881046101,-0.04923610647808393,-1.5143772099539663,-1.336246580825939,0.0
2018-10-09,1.0,-0.8947263017356477,-1.8769025367156211,-0.041321762349799736,-1.5195594125500669,-1.3429906542056076,0.0
2018-10-10,1.0,-0.8949896590833277,-1.875375275201815,-0.04156381346320635,-1.5195810260857963,-1.340049369537661,0.0
2018-10-11,1.0,-0.7364683301343571,-1.846641074856046,-0.0,-1.4641074856046066,-1.3506717850287908,0.0
2018-10-12,1.0,-0.7486146095717884,-1.8315491183879093,-0.0,-1.4201511335012595,-1.2969143576826196,0.0
2018-10-15,1.0,-0.7253229650068983,-1.8429700238304276,-0.0,-1.4116392825787032,-1.2912956227267027,0.0
