Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WGO
2018-09-24,-0.7813519217241158,-1.8743365095606574,-0.06292767154825094,-1.3052375775404488,-1.3711709407175288,0.0,1.0
2018-09-25,-0.7810438680755682,-1.8781940441882803,-0.06071085494716619,-1.3086775536343258,-1.3754082612872236,0.0,1.0
2018-09-26,-0.7809914705316487,-1.8796254729686397,-0.056884499454883594,-1.3122554992624895,-1.3833771564163406,0.0,1.0
2018-09-27,-0.8047643707923355,-1.8705334023821854,-0.06706369756602795,-1.331693423096841,-1.39927498705334,0.0,1.0
2018-09-28,-0.8010005197505197,-1.884420478170478,-0.06951663201663201,-1.3371231808731807,-1.4048856548856548,0.0,1.0
2018-10-01,-0.8195375114965182,-1.899027723032453,-0.06989883063986337,-1.3597424779923795,-1.4211667323610564,0.0,1.0
2018-10-02,-0.8210991038481813,-1.923497627833421,-0.06589351607801792,-1.3591855561412758,-1.419741697416974,0.0,1.0
2018-10-03,-0.8200553068211747,-1.9104556228601528,-0.06459046615749275,-1.362588885962602,-1.4264550961285227,0.0,1.0
2018-10-04,-0.8199907755155829,-1.9128945114317721,-0.06575739605982737,-1.361995124201094,-1.428345522830599,0.0,1.0
2018-10-05,-0.7934796897594321,-1.9046930458787958,-0.033521756277113186,-1.3845142631786511,-1.4566846325752598,0.0,1.0
2018-10-08,-0.78916650272149,-1.898091678142829,-0.02550986949963932,-1.3897960522001445,-1.4552429667519182,0.0,1.0
2018-10-09,-0.7881311475409837,-1.898688524590164,-0.02281967213114754,-1.3909508196721312,-1.4567868852459016,0.0,1.0
2018-10-10,-0.7911384046487058,-1.917393026941363,-0.017036450079239304,-1.4015451664025358,-1.476162176439514,0.0,1.0
2018-10-11,-0.6306387353810564,-1.9174913250224905,-0.0,-1.3612646189435804,-1.516514586814034,0.0,1.0
2018-10-12,-0.6600934758947435,-1.9297010051859915,-0.0,-1.332031500096037,-1.4806325629041552,0.0,1.0
2018-10-15,-0.6297595509917724,-1.9490401173544227,-0.0,-1.3219593086293768,-1.4772625805217168,0.0,1.0
2018-10-16,-0.6202006005238613,-1.9706126621095,-0.0,-1.3212802657637515,-1.4764581869290232,0.0,1.0
2018-10-17,-0.5700081807312315,-1.891007488515512,-0.0,-1.3219432383109937,-1.50997419923227,0.0,1.0
2018-10-18,-0.5758675581025152,-1.90417064629099,-0.0,-1.3553645335880293,-1.5319961795606496,0.0,1.0
2018-10-19,-0.595113098710221,-1.948344027480718,-0.0,-1.3801931427830707,-1.5576511763562122,0.0,1.0
2018-10-22,-0.5972123176661264,-1.9491085899513776,-0.0,-1.379708265802269,-1.5569529983792545,0.0,1.0
2018-10-23,-0.5996759559300066,-1.9486714193130268,-0.0,-1.3771872974724564,-1.5553467271548933,0.0,1.0
2018-10-24,-0.5944476800621238,-1.942988416488708,-0.0,-1.3764317608231411,-1.557367501456028,0.0,1.0
2018-10-25,-0.5087094961603296,-1.8453518136979459,-0.0,-1.395579696572392,-1.4937254167447087,0.0,1.0
2018-10-26,-0.465984496124031,-1.8269767441860463,-0.0,-1.4246821705426356,-1.483906976744186,0.0,1.0
2018-10-29,-0.42793818875823436,-1.8364834082373946,-0.0,-1.404605060641507,-1.4874715261958997,0.0,1.0
2018-10-30,-0.42204036426285996,-1.8357125276889,-0.0,-1.404011813930593,-1.4913241447206498,0.0,1.0
2018-10-31,-0.42268104025823744,-1.8013277300688229,-0.0,-1.3907667945672695,-1.475729337962117,0.0,1.0
