Date,DOV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.33201650425774737,-0.49395721768647766,-0.09197319521259474,-0.5309747461446171,-0.4773651713340942,0.0
2018-09-25,1.0,-0.33151807934416627,-0.4949494949494949,-0.09090909090909091,-0.5318401405357926,-0.47858293075684377,0.0
2018-09-26,1.0,-0.3321230931396949,-0.4956811993089919,-0.09223201475712237,-0.5314906450385032,-0.4764735162357626,0.0
2018-09-27,1.0,-0.3339965473856687,-0.4905053105889926,-0.09371799748368786,-0.5314685314685315,-0.4762559616116101,0.0
2018-09-28,1.0,-0.33319679325882146,-0.4911346480191937,-0.09409561706360818,-0.5312481713382878,-0.476183509860144,0.0
2018-10-01,1.0,-0.3344065564173862,-0.49023854822186447,-0.09392653300160983,-0.5320649787794526,-0.47633543099663395,0.0
2018-10-02,1.0,-0.33432888264230504,-0.4933825251815414,-0.09334738814710705,-0.5313890840946358,-0.47566760365425165,0.0
2018-10-03,1.0,-0.333977229490444,-0.4883952351684374,-0.09275031463107679,-0.5329996780519215,-0.4786782567974947,0.0
2018-10-04,1.0,-0.3362200117027501,-0.4843183148039789,-0.09327091866588648,-0.5357811585722645,-0.4760678759508485,0.0
2018-10-05,1.0,-0.3257597853351222,-0.4774251881234323,-0.08219098174181882,-0.5449162923642303,-0.4863792801726652,0.0
2018-10-08,1.0,-0.32482740540068167,-0.4757202365347083,-0.08057327623874859,-0.5459815316496257,-0.48588656820763787,0.0
2018-10-09,1.0,-0.3242550464594681,-0.47580903556552384,-0.07908304447875099,-0.5467653141475634,-0.48690687716640935,0.0
2018-10-10,1.0,-0.3236635863843725,-0.48181073809802316,-0.07550590712364019,-0.5489823371154522,-0.4943560650368464,0.0
2018-10-11,1.0,-0.30119098866408384,-0.4761084804132587,-0.044281819486296455,-0.5458171904146937,-0.5024537236332329,0.0
2018-10-12,1.0,-0.30543790329457915,-0.46962676596833336,-0.041104067767702326,-0.5362574263054664,-0.4902072259018164,0.0
2018-10-15,1.0,-0.2978886429422782,-0.48095805664339625,-0.030052783926443043,-0.5368068562347466,-0.492167546398774,0.0
2018-10-16,1.0,-0.2969237754696634,-0.4847891480787786,-0.027186559963675576,-0.5368919915999772,-0.49205403257846636,0.0
2018-10-17,1.0,-0.28718840254605615,-0.46109413117236353,-0.017356924543644674,-0.5375599360681939,-0.5008271878417407,0.0
2018-10-18,1.0,-0.28897562619341793,-0.4646467482870943,-0.01561271481523082,-0.5369257553633606,-0.5018533078737504,0.0
2018-10-19,1.0,-0.27852612673289556,-0.45821406521861147,-0.00039288320143682996,-0.5548633327720717,-0.5143121737666274,0.0
2018-10-22,1.0,-0.27767475837266803,-0.4627444369521241,-0.004860642841087884,-0.5521184535850753,-0.5122218476062036,0.0
2018-10-23,1.0,-0.2794774546986936,-0.4623121224891137,-0.008933839022334598,-0.54850400337126,-0.5101559207753898,0.0
2018-10-24,1.0,-0.28014035087719297,-0.4598736842105263,-0.004435087719298246,-0.5502877192982456,-0.5123087719298246,0.0
2018-10-25,1.0,-0.25953947368421054,-0.4293311403508772,-0.0,-0.5584429824561403,-0.49377741228070177,0.0
2018-10-26,1.0,-0.24753202251774498,-0.42111990427238855,-0.0,-0.5628348426749341,-0.48804764624296326,0.0
2018-10-29,1.0,-0.22737133250176256,-0.43196485709637183,-0.0,-0.5556971636205869,-0.4966104452519117,0.0
2018-10-30,1.0,-0.22529483529890196,-0.43190999051104784,-0.0,-0.5557001491121052,-0.49822421038362474,0.0
2018-10-31,1.0,-0.226941354357922,-0.4233718544119235,-0.0,-0.5541095150664218,-0.49562587752457066,0.0
