Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZEAL
2018-09-24,-1.2676784249384743,-2.1389663658736673,-0.3692370795734209,-1.8368334700574243,-1.5908941755537325,0.0,1.0
2018-09-25,-1.2732567678424938,-2.134946677604594,-0.37776866283839217,-1.8331419196062346,-1.5843314191960625,0.0,1.0
2018-09-26,-1.2753385309807141,-2.1377102995486252,-0.38145260566270006,-1.832909314731227,-1.5794829708658185,0.0,1.0
2018-09-27,-1.2781646866038507,-2.1229004506349853,-0.3849242113887751,-1.830561245391233,-1.5768947152806225,0.0,1.0
2018-09-28,-1.273674708682094,-2.1323650090267523,-0.3870014771048745,-1.8330050878056787,-1.5800919087477434,0.0,1.0
2018-10-01,-1.2751743947476404,-2.1304883052933934,-0.3873615100533443,-1.8336479277800575,-1.5800574476815759,0.0,1.0
2018-10-02,-1.2757178014766204,-2.120262510254307,-0.3917145200984414,-1.8342904019688269,-1.5814602132895819,0.0,1.0
2018-10-03,-1.2748811280537793,-2.114936874897524,-0.3918675192654534,-1.8339891785538611,-1.5823905558288243,0.0,1.0
2018-10-04,-1.2756982553853713,-2.109017937587026,-0.3929068719796871,-1.8343025636825292,-1.5787533786550905,0.0,1.0
2018-10-05,-1.254091020109094,-2.0950907758690875,-0.36619718309859156,-1.8412439957665065,-1.584710575592282,0.0,1.0
2018-10-08,-1.2483766233766234,-2.084983766233766,-0.35722402597402597,-1.8452922077922076,-1.5809253246753245,0.0,1.0
2018-10-09,-1.2572056668295066,-2.0926559192313956,-0.36809965803615047,-1.846360527601368,-1.5776746458231559,0.0,1.0
2018-10-10,-1.2600944317811789,-2.0898730055356562,-0.371214588082058,-1.8480136763269293,-1.5714750895473786,0.0,1.0
2018-10-11,-1.134464956195244,-2.069931163954944,-0.20134543178973716,-1.8145337922403004,-1.6020025031289111,0.0,1.0
2018-10-12,-1.1429667715447778,-2.0402118026245106,-0.1860179571790346,-1.7646381705164604,-1.540250172665183,0.0,1.0
2018-10-15,-1.114119626740095,-2.082836163377696,-0.14280250879608383,-1.7642649533425119,-1.544745296007343,0.0,1.0
2018-10-16,-1.1102946804439342,-2.1020283199387677,-0.12973593570608496,-1.7660160734787602,-1.545885954841179,0.0,1.0
2018-10-17,-1.0746121831252364,-2.021642073401438,-0.07438516836927735,-1.7906167234203558,-1.6058267120696181,0.0,1.0
2018-10-18,-1.0726735374355867,-2.0193240375871477,-0.0771445892694756,-1.799408911791452,-1.6095028796605033,0.0,1.0
2018-10-19,-1.0450727463626819,-1.9916004199790014,-0.04574771261436929,-1.808759562021899,-1.6085195740212992,0.0,1.0
2018-10-22,-1.0476154485677576,-2.0254704859798958,-0.06688836822613559,-1.8076487038016777,-1.6103847025923965,0.0,1.0
2018-10-23,-1.0597071542371594,-2.0331537819588803,-0.08322585539792125,-1.8010773082467186,-1.6095136939534178,0.0,1.0
2018-10-24,-1.0613333333333332,-2.050742857142857,-0.08045714285714285,-1.8108952380952381,-1.6156190476190475,0.0,1.0
2018-10-25,-0.9835516522774634,-1.9626376897886273,-0.0402649598094671,-1.8874665078892525,-1.5687704674010121,0.0,1.0
2018-10-26,-0.9480825958702066,-1.942920353982301,-0.0,-1.9230825958702065,-1.56047197640118,0.0,1.0
2018-10-29,-0.9127286027798099,-1.9443306510607172,-0.0,-1.9023408924652525,-1.5559619604974397,0.0,1.0
2018-10-30,-0.9203163908012304,-1.9467555295151604,-0.0,-1.904423612128314,-1.5524388457594844,0.0,1.0
2018-10-31,-0.9261351292635239,-1.8913751900934177,-0.0,-1.891520023173293,-1.5326236512419438,0.0,1.0
2018-11-01,-0.9476023903221105,-1.8906864888500217,-0.0,-1.905407375018219,-1.5438711558081912,0.0,1.0
2018-11-02,-0.9486271676300577,-1.8485549132947978,-0.0,-1.9012283236994219,-1.5270231213872834,0.0,1.0
2018-11-05,-0.947417840375587,-1.8504875406283856,-0.0,-1.9006861682918021,-1.5243048031780428,0.0,1.0
2018-11-06,-0.9787001240061275,-1.894667736523452,-0.0,-1.9047341162739808,-1.5163031585090088,0.0,1.0
2018-11-07,-0.9881831610044314,-1.9208271787296898,-0.0,-1.9357459379615953,-1.5406942392909897,0.0,1.0
