Date,CANG,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-25,1.0,-0.0,-0.7617996135799062,-0.04140215291195142,-4.040482105069464,-3.3568865581010217,0.0
2019-03-26,1.0,-0.0,-0.8064366536820627,-0.04025227230569468,-4.0768874049341495,-3.3511407902058985,0.0
2019-03-27,1.0,-0.0,-0.7788069655427936,-0.05159318266024454,-4.089662838088181,-3.3426268988514267,0.0
2019-03-28,1.0,-0.0,-0.7758205080660115,-0.046263675134433524,-4.1006860745410725,-3.3485073243092898,0.0
2019-03-29,1.0,-0.0,-0.74667781804665,-0.05891645757829198,-4.111978440665366,-3.3753368646036614,0.0
2019-04-01,1.0,-0.0,-0.7869695270143952,-0.05169190502897738,-4.149373714713031,-3.3595064498037015,0.0
2019-04-02,1.0,-0.0,-0.7735085945399394,-0.13034286239544077,-4.063149186506113,-3.2251126022612375,0.0
2019-04-03,1.0,-0.0,-0.7743358764592334,-0.1308943836749701,-4.069124000367681,-3.2176670649875905,0.0
2019-04-04,1.0,-0.0,-0.7667370741114886,-0.14427403802002017,-4.073835981265497,-3.1988245017907984,0.0
2019-04-05,1.0,-0.0,-0.759079236977256,-0.16370139398385916,-4.066764490095378,-3.1814013206162874,0.0
2019-04-08,1.0,-0.0,-0.7487184181618455,-0.16523251556206517,-4.063804467228121,-3.176492127425851,0.0
2019-04-09,1.0,-0.0,-0.7499313501144165,-0.1665903890160183,-4.061327231121282,-3.1754691075514874,0.0
2019-04-10,1.0,-0.0,-0.7090178897407813,-0.19852135815991234,-4.076031398320555,-3.1437568455640745,0.0
2019-04-11,1.0,-0.0,-0.6694614052674748,-0.2127039095962818,-4.090130319876059,-3.141073544153832,0.0
2019-04-12,1.0,-0.0,-0.6707372641939305,-0.21370637018135424,-4.087760867584071,-3.1411646769342934,0.0
2019-04-15,1.0,-0.0,-0.6709448388858547,-0.2200072819952667,-4.067449481157838,-3.144092481339887,0.0
2019-04-16,1.0,-0.0,-0.6721878412813979,-0.22215143793228978,-4.0638878776847465,-3.142610120131052,0.0
2019-04-17,1.0,-0.0,-0.6703046839472487,-0.24693042291950887,-4.061755343337881,-3.1160527512505687,0.0
2019-04-18,1.0,-0.0,-0.6585698689956331,-0.23790029112081512,-4.069050218340611,-3.132005094614265,0.0
2019-04-22,1.0,-0.0,-0.6633618337274877,-0.2381298890303802,-4.065217391304348,-3.1292523194469712,0.0
