Date,CCJ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.48201075991930065,-1.1962844653665097,-0.06413920645595157,-0.7494956287827842,-0.7112054472091459,0.0
2018-09-25,1.0,-0.48264705882352943,-1.1951260504201682,-0.06546218487394959,-0.7485294117647059,-0.7099159663865546,0.0
2018-09-26,1.0,-0.4824137496323066,-1.1951086271378746,-0.06475606168844812,-0.7489179308316174,-0.7110139933605076,0.0
2018-09-27,1.0,-0.4866862662746745,-1.184922301553969,-0.06778664426711466,-0.7494330113397731,-0.711087778244435,0.0
2018-09-28,1.0,-0.6470791736680834,-1.3817337155283187,-0.07630720569338738,-0.9478600375605416,-0.8891964020954829,0.0
2018-10-01,1.0,-0.6471285954334289,-1.381437184936246,-0.07675200158149649,-0.9477117722645054,-0.8891469803301374,0.0
2018-10-02,1.0,-0.6471199011124845,-1.3856613102595796,-0.07648949320148331,-0.9467985166872681,-0.8883065512978985,0.0
2018-10-03,1.0,-0.6489783773060901,-1.3691727831779408,-0.07315016861733782,-0.9603749256099979,-0.9077068042055148,0.0
2018-10-04,1.0,-0.6491793524073983,-1.367977388803491,-0.07398224822730202,-0.9602816482372193,-0.9071750880150742,0.0
2018-10-05,1.0,-0.6335432111302935,-1.3913374631867572,-0.036610135066517724,-1.0324972072712502,-0.9837006194780137,0.0
2018-10-08,1.0,-0.6305713128038898,-1.3863452188006484,-0.032262965964343596,-1.034086304700162,-0.9816653160453808,0.0
2018-10-09,1.0,-0.6302674230145867,-1.386801053484603,-0.03114870340356564,-1.0345421393841168,-0.9820705024311183,0.0
2018-10-10,1.0,-0.6324132691820714,-1.385160800202583,-0.03332489237781717,-1.0359078247657636,-0.9778171689035199,0.0
2018-10-11,1.0,-0.5357911206727948,-1.368081361236065,-0.0,-0.9998044201056131,-0.9858204576569528,0.0
2018-10-12,1.0,-0.5465335070198292,-1.3598687702031167,-0.0,-0.9686881844936555,-0.9495344236985575,0.0
2018-10-15,1.0,-0.501761158021713,-1.4077201447527141,-0.0,-0.9622677925211098,-0.9532931242460796,0.0
2018-10-16,1.0,-0.4963080932387433,-1.4171130736933546,-0.0,-0.9607644418705661,-0.951836301336808,0.0
2018-10-17,1.0,-0.4611050613133848,-1.355759670470148,-0.0,-0.9527957956536148,-0.964963780124047,0.0
2018-10-18,1.0,-0.46005966191581044,-1.3538046309010845,-0.0,-0.9555850182300298,-0.9655760215919315,0.0
2018-10-19,1.0,-0.43720973870619695,-1.3385560820002813,-0.0,-0.9539334803208707,-0.9613923159919314,0.0
2018-10-22,1.0,-0.43745897796530714,-1.3313642756680732,-0.0,-0.9560712611345523,-0.9633380215658697,0.0
2018-10-23,1.0,-0.44005436820397453,-1.331177352830896,-0.0,-0.9536932883389576,-0.9619422572178479,0.0
2018-10-24,1.0,-0.4381274040716765,-1.3353504081058258,-0.0,-0.9549207242705694,-0.9625199362041468,0.0
2018-10-25,1.0,-0.3823076923076923,-1.2649321266968327,-0.0,-0.9638009049773756,-0.9138461538461539,0.0
2018-10-26,1.0,-0.35360723236663083,-1.2456587898317222,-0.0,-0.9748925886143931,-0.9013157894736843,0.0
2018-10-29,1.0,-0.3400214018191546,-1.248840734795791,-0.0,-0.9689673622257893,-0.9009274121633671,0.0
2018-10-30,1.0,-0.3436830835117773,-1.2493754461099214,-0.0,-0.9693968593861527,-0.8986438258386867,0.0
2018-10-31,1.0,-0.35165662650602414,-1.2173990077958894,-0.0,-0.968284904323175,-0.8921420978029767,0.0
2018-11-01,1.0,-0.34694871000575295,-1.2198521927689516,-0.0,-0.967163782803027,-0.8914015134752401,0.0
2018-11-02,1.0,-0.3504483910673466,-1.1926762792333392,-0.0,-0.9693159838227537,-0.883506242307016,0.0
2018-11-05,1.0,-0.34493976962982503,-1.2091356722061022,-0.0,-0.9710278730326212,-0.8712301063923328,0.0
2018-11-06,1.0,-0.33336374834618365,-1.2367808750399196,-0.0,-1.0429764131575345,-0.9491308910078015,0.0
2018-11-07,1.0,-0.3344764517604024,-1.239323273891175,-0.0,-1.0468678555098307,-0.9517604023776863,0.0
2018-11-08,1.0,-0.2859090289453356,-1.250420320807016,-0.0,-1.0379424728495479,-0.9697369018948516,0.0
2018-11-09,1.0,-0.2894388987647568,-1.254569488126168,-0.0,-1.040111217466612,-0.9740188705045808,0.0
2018-11-12,1.0,-0.28771595701265135,-1.2328934838797443,-0.0,-1.0453906497982133,-0.9685303586813585,0.0
2018-11-13,1.0,-0.25102141606429307,-1.2276747631661653,-0.0,-1.0481749203070982,-0.9628249450006734,0.0
2018-11-14,1.0,-0.25086435274572316,-1.2279646176642272,-0.0,-1.048269049436487,-0.9630461137802524,0.0
2018-11-15,1.0,-0.24937129513202805,-1.2288036644512303,-0.0,-1.0489940722112447,-0.9635800251481949,0.0
2018-11-16,1.0,-0.2520127738047047,-1.2318625466648676,-0.0,-1.050330589664013,-0.9636126478657852,0.0
2018-11-19,1.0,-0.25355279726569524,-1.2312016549739162,-0.0,-1.049289440546861,-0.9631678359417162,0.0
2018-11-20,1.0,-0.16185441236274906,-1.234196376123989,-0.0,-1.0854909403099724,-1.0370069133794226,0.0
2018-11-21,1.0,-0.16275220328367557,-1.2241309891289758,-0.0,-1.078289267659822,-1.0084999776316377,0.0
2018-11-23,1.0,-0.16447779862414008,-1.2086571964620745,-0.0,-1.0842044134727062,-1.0097829000268024,0.0
2018-11-26,1.0,-0.16504203183688068,-1.2075210159184404,-0.0,-1.0867465569665533,-1.0121624038633519,0.0
