Date,EQH,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-07,1.0,-0.0,-0.24180733452088105,-0.0,-0.7136313512596488,-0.8720558712924479,0.0
2019-01-08,1.0,-0.0,-0.22933009763530673,-0.0,-0.7243636774084317,-0.8681641176138608,0.0
2019-01-09,1.0,-0.0,-0.2250479305289275,-0.0,-0.723610014661103,-0.8707849328972596,0.0
2019-01-10,1.0,-0.0,-0.2257254857723004,-0.0,-0.7231168391663612,-0.8713161679686399,0.0
2019-01-11,1.0,-0.0,-0.22798746577082687,-0.0,-0.7237388137650679,-0.8712983090082715,0.0
2019-01-14,1.0,-0.0,-0.22634686555357797,-0.0,-0.7199197672119106,-0.878831539395994,0.0
2019-01-15,1.0,-0.0,-0.22011069068729883,-0.0,-0.7216637487999097,-0.8819675834415768,0.0
2019-01-16,1.0,-0.0,-0.2183259514204305,-0.0,-0.7130363641492933,-0.8897791068355573,0.0
2019-01-17,1.0,-0.0,-0.22468005763200272,-0.0,-0.711303217786818,-0.8891148967426618,0.0
2019-01-18,1.0,-0.0,-0.22532146389713154,-0.0,-0.711459658047195,-0.8892468560124347,0.0
2019-01-22,1.0,-0.0,-0.24018045960806428,-0.0,-0.7124206964612998,-0.8671084167489074,0.0
2019-01-23,1.0,-0.0,-0.2351202207331494,-0.0,-0.7126527394560505,-0.8677290387972295,0.0
2019-01-24,1.0,-0.0,-0.23441459706031426,-0.0,-0.714450639184547,-0.8669257194345891,0.0
2019-01-25,1.0,-0.0,-0.23120459537083968,-0.0,-0.7294869628878753,-0.8550993974207355,0.0
2019-01-28,1.0,-0.0,-0.22745042891295178,-0.0,-0.7313458022781606,-0.8537477148080439,0.0
2019-01-29,1.0,-0.0,-0.22539530696077878,-0.0,-0.7336390748973045,-0.854538292724101,0.0
2019-01-30,1.0,-0.0,-0.22495779403489025,-0.0,-0.7330332020258863,-0.855740011254924,0.0
2019-01-31,1.0,-0.0,-0.2253936179169824,-0.0,-0.7097751957565042,-0.8714041143947685,0.0
2019-02-01,1.0,-0.0,-0.22328137265896603,-0.0,-0.7055063362117303,-0.8748738364920937,0.0
2019-02-04,1.0,-0.0,-0.22406639004149378,-0.0,-0.7074408433329595,-0.8720982393181563,0.0
2019-02-05,1.0,-0.0,-0.21941992433795712,-0.0,-0.7058427910886927,-0.8770351688384476,0.0
2019-02-06,1.0,-0.0,-0.22015803631472766,-0.0,-0.7041302398565344,-0.8777740416946873,0.0
2019-02-07,1.0,-0.0,-0.2215558793857191,-0.0,-0.7070956170832866,-0.8737249187310839,0.0
2019-02-08,1.0,-0.0,-0.22311135982092895,-0.0,-0.7084219362059319,-0.8664521544487969,0.0
2019-02-11,1.0,-0.0,-0.2228502672300417,-0.0,-0.7073061532865097,-0.8680918935556985,0.0
2019-02-12,1.0,-0.0,-0.21746795768735658,-0.0,-0.7114792634465775,-0.8695080315665752,0.0
2019-02-13,1.0,-0.0,-0.21792317836199881,-0.0,-0.7142616649364496,-0.8735725709155187,0.0
2019-02-14,1.0,-0.0,-0.2177500842034355,-0.0,-0.7136521836757607,-0.8753789154597508,0.0
2019-02-15,1.0,-0.0,-0.2136778542339559,-0.0,-0.716697093104901,-0.8782474371577026,0.0
2019-02-19,1.0,-0.0,-0.21987934825506003,-0.0,-0.7160173648305802,-0.8830692901843603,0.0
2019-02-20,1.0,-0.0,-0.22004228329809725,-0.0,-0.7163354474982382,-0.8824806201550387,0.0
2019-02-21,1.0,-0.0,-0.22033038281558323,-0.0,-0.7162428821108416,-0.8823927383435757,0.0
2019-02-22,1.0,-0.0,-0.21986295575670417,-0.0,-0.7160138736147533,-0.8839635676620703,0.0
