Date,BLBD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5200865265760198,-1.601823238566131,-0.0,-1.0398640296662547,-0.9886176349402556,0.0
2018-09-25,1.0,-0.5216429049359206,-1.5999794122188484,-0.0,-1.038602089659787,-0.9867208811570333,0.0
2018-09-26,1.0,-0.5215131240349974,-1.5999999999999999,-0.0,-1.0385486361296963,-0.9865671641791045,0.0
2018-09-27,1.0,-0.5222663708137675,-1.60720367408019,-0.0,-1.0413334021363332,-0.9894215387790908,0.0
2018-09-28,1.0,-0.5204624038808897,-1.6091758270114052,-0.0,-1.0413892759457088,-0.9897816999535531,0.0
2018-10-01,1.0,-0.5206462269020337,-1.6094766181480333,-0.0,-1.0413956849385775,-0.9900381955197688,0.0
2018-10-02,1.0,-0.5219814241486068,-1.6051599587203305,-0.0,-1.041950464396285,-0.9908668730650155,0.0
2018-10-03,1.0,-0.5268140442132639,-1.5918855656697009,-0.0,-1.063667100130039,-1.0191937581274382,0.0
2018-10-04,1.0,-0.5279654849776484,-1.588626676369685,-0.0,-1.063987940534359,-1.017465432997193,0.0
2018-10-05,1.0,-0.4969787739503176,-1.5742395289986055,-0.0,-1.067964674895419,-1.0253576408614367,0.0
2018-10-08,1.0,-0.4925096525096525,-1.5678764478764478,-0.0,-1.066151866151866,-1.0214157014157015,0.0
2018-10-09,1.0,-0.5192689295039165,-1.5933681462140992,-0.0,-1.0810966057441254,-1.0281984334203655,0.0
2018-10-10,1.0,-0.5186444223628471,-1.5968830082108678,-0.0,-1.0824224674441714,-1.0319020971706503,0.0
2018-10-11,1.0,-0.3722505941244881,-1.59048389543409,-0.0,-1.0394903170349397,-1.05415381503767,0.0
2018-10-12,1.0,-0.38189603664608646,-1.5829516032662816,-0.0,-1.0026389165504879,-1.0116012746464849,0.0
2018-10-15,1.0,-0.3330841680370758,-1.6366173319380077,-0.0,-0.9969103503264066,-1.016694074849255,0.0
2018-10-16,1.0,-0.3238408918165695,-1.6976944514821384,-0.0,-1.0135799341271854,-1.0320749936660756,0.0
2018-10-17,1.0,-0.3048210682807688,-1.7138154401614103,-0.0,-1.1169693108208558,-1.1739407454603377,0.0
2018-10-18,1.0,-0.3415756500526695,-1.8022398403282143,-0.0,-1.1668237511781339,-1.2335754282863003,0.0
2018-10-19,1.0,-0.3036952131433874,-1.7728289940505428,-0.0,-1.1588341247748484,-1.2229135964194093,0.0
2018-10-22,1.0,-0.3077259794265704,-1.7809695775880936,-0.0,-1.1593893630991463,-1.2235718975705845,0.0
2018-10-23,1.0,-0.30759549086133303,-1.78100032833534,-0.0,-1.1597898653825105,-1.2238699792054284,0.0
2018-10-24,1.0,-0.30388885850243397,-1.7820926543783844,-0.0,-1.1596565115134279,-1.2239238636985177,0.0
2018-10-25,1.0,-0.2215106818539709,-1.6874704739908664,-0.0,-1.1800955330428848,-1.1599916014907352,0.0
2018-10-26,1.0,-0.18221780312941543,-1.6772201580407138,-0.0,-1.21654717672301,-1.1572034120048145,0.0
2018-10-29,1.0,-0.15363099554542628,-1.6769398114575778,-0.0,-1.1967782036672536,-1.1523878586967782,0.0
2018-10-30,1.0,-0.1610543247029523,-1.679188502049499,-0.0,-1.198879261142531,-1.1495356197789652,0.0
2018-10-31,1.0,-0.163405038066527,-1.6362986050789434,-0.0,-1.1807776812630932,-1.1291196157580095,0.0
2018-11-01,1.0,-0.1502215883042127,-1.6417401049360705,-0.0,-1.1762009067291528,-1.1258214049207886,0.0
2018-11-02,1.0,-0.15583173996175909,-1.5903190097614974,-0.0,-1.1765120257623025,-1.1090369326758578,0.0
2018-11-05,1.0,-0.15161874120249344,-1.6002413030363964,-0.0,-1.1761009451035591,-1.0991856022521616,0.0
2018-11-06,1.0,-0.15949316170555108,-1.606446098149638,-0.0,-1.1710579243765085,-1.091110217216412,0.0
2018-11-07,1.0,-0.1580902655755811,-1.6051006576635374,-0.0,-1.1679301169737437,-1.0892113057884432,0.0
2018-11-08,1.0,-0.12140496275467416,-1.5905480736026836,-0.0,-1.1406442701396085,-1.080558433229737,0.0
2018-11-09,1.0,-0.12047003061123729,-1.5916855929692901,-0.0,-1.1438234422830058,-1.0813172706625853,0.0
2018-11-12,1.0,-0.11767298369325693,-1.566230840801136,-0.0,-1.1421575828803683,-1.0709073992458744,0.0
2018-11-13,1.0,-0.07077724706904039,-1.556665219279201,-0.0,-1.1386597192068315,-1.0585226998600858,0.0
2018-11-14,1.0,-0.07305649444712699,-1.5564461612747464,-0.0,-1.1402704007725737,-1.0588604538870112,0.0
2018-11-15,1.0,-0.0708433734939759,-1.558265060240964,-0.0,-1.144722891566265,-1.0453975903614459,0.0
2018-11-16,1.0,-0.0651443922095366,-1.540919121174326,-0.0,-1.1399309219994243,-1.050992996258275,0.0
2018-11-19,1.0,-0.06964577133531727,-1.5406067005855812,-0.0,-1.1386195641739463,-1.051022367284247,0.0
2018-11-20,1.0,-0.0,-1.5283576398818035,-0.0,-1.147602707082261,-1.0899818892383948,0.0
2018-11-21,1.0,-0.0,-1.5101543079592887,-0.0,-1.1312321185685472,-1.048872004127386,0.0
2018-11-23,1.0,-0.0,-1.4976835602976275,-0.0,-1.1336515513126493,-1.048341054799008,0.0
2018-11-26,1.0,-0.0,-1.5101237345331833,-0.0,-1.1313273340832397,-1.0454630671166105,0.0
2018-11-27,1.0,-0.0,-1.50681046906234,-0.0,-1.1127795081586165,-1.0291943656733764,0.0
2018-11-28,1.0,-0.0,-1.5205702837441177,-0.0,-1.110096445044961,-1.0285141872058892,0.0
2018-11-29,1.0,-0.0,-1.4811053161313936,-0.0,-1.0776832281087017,-1.0161954433159484,0.0
2018-11-30,1.0,-0.0,-1.4831378299120237,-0.0,-1.078858137829912,-1.0201612903225807,0.0
2018-12-03,1.0,-0.0,-1.4822344322344323,-0.0,-1.077518315018315,-1.0190018315018314,0.0
2018-12-04,1.0,-0.0,-1.4905556825977588,-0.0,-1.0679167619483192,-1.015046878573062,0.0
2018-12-06,1.0,-0.0,-1.3876650056823148,-0.0,-1.0320832240580469,-0.9512195121951219,0.0
2018-12-07,1.0,-0.0,-1.3981355261422101,-0.0,-1.0474473418055494,-0.9517611362736906,0.0
2018-12-10,1.0,-0.0,-1.3866643604600883,-0.0,-1.0223990313932372,-0.9150739427484217,0.0
