Date,CCD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2520568792504874,-0.42409758881438153,-0.09701811956056498,-0.3180672468730679,-0.28663147381937504,0.0
2018-09-25,1.0,-0.254149426927284,-0.4226946307128929,-0.10008560422314168,-0.31671184667332475,-0.28420602083036095,0.0
2018-09-26,1.0,-0.2554675043430666,-0.42454962994693135,-0.10252016848718498,-0.31648461483543944,-0.2807167844649104,0.0
2018-09-27,1.0,-0.2549836854264415,-0.42677495415247574,-0.10203158120370591,-0.31681234667873387,-0.28111082001571913,0.0
2018-09-28,1.0,-0.25458486162054017,-0.42704711094174247,-0.10222455104082313,-0.31674843995617585,-0.28114133282522746,0.0
2018-10-01,1.0,-0.25862769951928827,-0.4273551287876976,-0.1012364575610456,-0.32104847774615547,-0.28333293473321697,0.0
2018-10-02,1.0,-0.2603575788037625,-0.4147339699863574,-0.10578971302745267,-0.3249563198583088,-0.2875948397596994,0.0
2018-10-03,1.0,-0.2618144270483143,-0.4239986552684661,-0.10685813082316781,-0.3240802996830276,-0.28455479781000864,0.0
2018-10-04,1.0,-0.2659392948979837,-0.41868736632140546,-0.10725529307154359,-0.32988873134507707,-0.2814159717382423,0.0
2018-10-05,1.0,-0.2654937352983534,-0.41915894580192986,-0.10525178820027843,-0.3298209399452739,-0.28056742355143777,0.0
2018-10-08,1.0,-0.2676616675507547,-0.4239523556927231,-0.10674157303370786,-0.33003809615662827,-0.2827554612528331,0.0
2018-10-09,1.0,-0.27565597667638486,-0.42930029154518945,-0.11861030126336249,-0.3285228377065112,-0.27742954324586977,0.0
2018-10-10,1.0,-0.27655388501615213,-0.42833547885647666,-0.11969590245561194,-0.3289451312817274,-0.2753394379538996,0.0
2018-10-11,1.0,-0.2741514360313316,-0.42902040421622667,-0.11352867227540857,-0.3277729426554492,-0.2730635335073977,0.0
2018-10-12,1.0,-0.28372070756636425,-0.42542547334657826,-0.11353136893505997,-0.3143835124590086,-0.25660052181822535,0.0
2018-10-15,1.0,-0.28019981834695734,-0.4308762369138105,-0.10834647927721211,-0.31402074668961233,-0.2567522348104594,0.0
