Date,IWF,IWM,LTHM,MTUM,SPY,VLUE,VXX
2019-06-10,-0.0,-0.5777153558052435,1.0,-0.049833541406575116,-1.7156679151061174,-1.8586142322097379,0.0
2019-06-11,-0.0,-0.5783257895010665,1.0,-0.05010145153738099,-1.7152073253212632,-1.8589563498257116,0.0
2019-06-12,-0.0,-0.5568013539242649,1.0,-0.031891262957478315,-1.7733763486354983,-1.9266976940977365,0.0
2019-06-13,-0.0,-0.5331766214339139,1.0,-0.01378352388075649,-1.8117320226519924,-1.9837055240944543,0.0
2019-06-14,-0.0,-0.5572832307526185,1.0,-0.0,-1.8212935968038009,-2.0204081632653064,0.0
2019-06-17,-0.0,-0.5919618901604337,1.0,-0.0,-1.8292722991841428,-2.0543174724853532,0.0
2019-06-18,-0.0,-0.6529964943520116,1.0,-0.0,-1.865116020254855,-2.0464081019420175,0.0
2019-06-19,-0.0,-0.6567371937639198,1.0,-0.02243875278396436,-1.8828507795100222,-2.0058463251670378,0.0
2019-06-20,-0.0,-0.6573274661616443,1.0,-0.02578956163315323,-1.8813568762880857,-2.0056258007018326,0.0
2019-06-21,-0.0,-0.6796442356100016,1.0,-0.016054147787660122,-1.8708955641326843,-2.0271857694244,0.0
2019-06-24,-0.0,-0.6527668649680098,1.0,-0.0036479964081266134,-1.9027388034571782,-2.053204624536985,0.0
2019-06-25,-0.0,-0.6532158491413177,1.0,-0.004377595689751936,-1.9020092041755527,-2.0526995173420137,0.0
2019-06-26,-0.0,-0.653209051603122,1.0,-0.0,-1.8679319445224325,-2.0940535684204615,0.0
2019-06-27,-0.0,-0.6555306007860753,1.0,-0.0,-1.8688377316114544,-2.0904548006737786,0.0
2019-06-28,-0.0,-0.6438271604938272,1.0,-0.0,-1.8771604938271604,-2.090740740740741,0.0
2019-07-01,-0.0,-0.619704045462218,1.0,-0.012209531311539977,-1.9245484724019581,-2.0699938108366625,0.0
2019-07-02,-0.0,-0.6278298971967867,1.0,-0.0038200101117914728,-1.9151733048705128,-2.0708948935453066,0.0
2019-07-03,-0.0,-0.6001580849141825,1.0,-0.029471544715447155,-1.9428635953026197,-2.0733965672990062,0.0
2019-07-05,-0.0,-0.60069934013874,1.0,-0.026958434380463598,-1.9389205346568157,-2.0732615193728496,0.0
2019-07-08,-0.0,-0.601601714511308,1.0,-0.026958434380463598,-1.9382437538773898,-2.073035925779708,0.0
2019-07-09,-0.0,-0.6014795572622543,1.0,-0.02083803930426926,-1.9478766659137114,-2.076914388976734,0.0
2019-07-10,-0.0,-0.6003615614937009,1.0,-0.018981978419298346,-1.949155414948308,-2.080899384215581,0.0
2019-07-11,-0.0,-0.6038513666139598,1.0,-0.01807092839394624,-1.9451660266546194,-2.0800768014456743,0.0
2019-07-12,-0.0,-0.5947657000734836,1.0,-0.01972754507941891,-1.949635407834492,-2.0885195862302863,0.0
