Date,IWF,IWM,MTUM,PRA,SPY,VLUE,VXX
2018-09-24,-0.3728766907832652,-0.9738125196602705,-0.046162315193457065,1.0,-0.8044196288140926,-0.7347829506134005,0.0
2018-09-25,-0.37249566177630544,-0.9792554030604196,-0.04275122259031393,1.0,-0.8090392806436346,-0.7403375926802335,0.0
2018-09-26,-0.37587951616728593,-0.9844651751126572,-0.04723693572614437,1.0,-0.8100245078662345,-0.7352755158510555,0.0
2018-09-27,-0.3761163360467873,-0.9831265312574093,-0.047735714850233146,1.0,-0.8096498854026712,-0.7349640401485813,0.0
2018-09-28,-0.37600758653390226,-0.9829698119171802,-0.04824561403508772,1.0,-0.8093488225067172,-0.7348269321953531,0.0
2018-10-01,-0.3757561380619144,-0.9844225675087969,-0.04878820226940261,1.0,-0.8093148301901713,-0.735381330802989,0.0
2018-10-02,-0.3774950298210735,-1.01168986083499,-0.04258449304174951,1.0,-0.8095427435387674,-0.7347912524850895,0.0
2018-10-03,-0.37699185376515004,-1.0027419034373137,-0.041525928869461555,1.0,-0.8123981720643753,-0.7400755016888536,0.0
2018-10-04,-0.37980463786531127,-0.9966645489199492,-0.04240787801778907,1.0,-0.8155574968233799,-0.7363405336721728,0.0
2018-10-05,-0.3621180940319772,-0.9892749722969764,-0.023903751780908658,1.0,-0.8299034351749247,-0.7523745448788982,0.0
2018-10-08,-0.35947247887546396,-0.9849561715233358,-0.019308220800758117,1.0,-0.8334123035615574,-0.7514017215509753,0.0
2018-10-09,-0.35700720107620476,-0.9885653240484291,-0.00985202184062673,1.0,-0.840705863733481,-0.7605444330141647,0.0
2018-10-10,-0.3588810192695762,-0.9871404265421596,-0.011830807581213153,1.0,-0.8421240058560518,-0.7568155739326553,0.0
2018-10-11,-0.26880079362051207,-0.9692853599908429,-0.0,1.0,-0.8126216185279866,-0.7647754588118586,0.0
2018-10-12,-0.26241749952856874,-0.9604752027154442,-0.0,1.0,-0.7994342824816142,-0.7491608523477278,0.0
2018-10-15,-0.2281322986513976,-0.9936336924583743,-0.0,1.0,-0.7942439538913585,-0.7510359376177203,0.0
2018-10-16,-0.22541523859741627,-0.9977401981092989,-0.0,1.0,-0.7931904636360212,-0.7499905841587887,0.0
2018-10-17,-0.1991809931380506,-0.9496790378513981,-0.0,1.0,-0.7843281930199956,-0.7560318748616542,0.0
2018-10-18,-0.19829558031432154,-0.9480557810078948,-0.0,1.0,-0.786431048476352,-0.75643768907253,0.0
2018-10-19,-0.1746915162388781,-0.9341657207718502,-0.0,1.0,-0.7934898026436235,-0.7592178975504376,0.0
2018-10-22,-0.174925832326118,-0.9237446434457751,-0.0,1.0,-0.7993260813829982,-0.764641248214482,0.0
2018-10-23,-0.17733430977663858,-0.9236543390699377,-0.0,1.0,-0.7972171365800073,-0.7634566093006224,0.0
2018-10-24,-0.1745253685481216,-0.9222665252222263,-0.0,1.0,-0.7974905805318799,-0.7637633975930058,0.0
2018-10-25,-0.13260601794826674,-0.8646841456976948,-0.0,1.0,-0.7978180538448003,-0.7241597747668485,0.0
2018-10-26,-0.11774927883779933,-0.8484342960414277,-0.0,1.0,-0.7969276752511035,-0.7123692350467453,0.0
2018-10-29,-0.09505217331214152,-0.8559187340197636,-0.0,1.0,-0.7874023909888743,-0.716812936217262,0.0
2018-10-30,-0.07804608039853318,-0.8582993150211029,-0.0,1.0,-0.7901473742475611,-0.7329966097004083,0.0
2018-10-31,-0.07977736549165121,-0.8436061293204151,-0.0,1.0,-0.7853019995877139,-0.727032227032227,0.0
