Date,IP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.295860592014551,-0.41581834717047556,-0.05315809546161293,-0.5546982720685305,-0.6141344207469123,0.0
2018-09-25,1.0,-0.29475057059015325,-0.4305065654918932,-0.04383910839730859,-0.5667664581913033,-0.6282419895070693,0.0
2018-09-26,1.0,-0.29475566150178784,-0.43322407628128723,-0.03736591179976162,-0.5729439809296782,-0.6414481525625745,0.0
2018-09-27,1.0,-0.2963106333561623,-0.42878837507072026,-0.03865050769734687,-0.5728195813357949,-0.6411577286126909,0.0
2018-09-28,1.0,-0.29276227428741974,-0.43539770183554694,-0.039456797492911505,-0.5743023429338905,-0.6427398895687211,0.0
2018-10-01,1.0,-0.29811411267352267,-0.43636254609780234,-0.03840733966959494,-0.5798578838485293,-0.6454891613947771,0.0
2018-10-02,1.0,-0.3017938162915778,-0.41582284186172297,-0.0464228839277666,-0.587392205763048,-0.6532856584838196,0.0
2018-10-03,1.0,-0.30161973735613185,-0.4070679448267572,-0.04504612795624605,-0.5914295158818403,-0.6599152567839649,0.0
2018-10-04,1.0,-0.32343315082739427,-0.40589728688098375,-0.04548374269721347,-0.6238644358119475,-0.6600801394793993,0.0
2018-10-05,1.0,-0.30906589206543345,-0.39795138358049226,-0.02932273352698364,-0.6409111756612138,-0.6803546858278551,0.0
2018-10-08,1.0,-0.3075396219501023,-0.3950896265306746,-0.02549851894830061,-0.6449751122240206,-0.6806119644547592,0.0
2018-10-09,1.0,-0.3177032019704434,-0.40246305418719214,-0.039901477832512314,-0.6439347290640395,-0.6748152709359607,0.0
2018-10-10,1.0,-0.32454470461323687,-0.4413668379973349,-0.02744463481185354,-0.6664445713560504,-0.7129894028808934,0.0
2018-10-11,1.0,-0.2807436096049574,-0.4290007745933385,-0.0,-0.6585282726568552,-0.7301006971340046,0.0
2018-10-12,1.0,-0.28462410738913235,-0.4184621042630788,-0.0,-0.6453155168714946,-0.716356615280885,0.0
2018-10-15,1.0,-0.2581198151039275,-0.4431995591881715,-0.0,-0.641258762665687,-0.7186457281048152,0.0
2018-10-16,1.0,-0.25364404703576676,-0.4510044096031357,-0.0,-0.6401273885350318,-0.7174485546300833,0.0
2018-10-17,1.0,-0.238973366788597,-0.4236524683333837,-0.0,-0.6368693128570997,-0.7235406148916231,0.0
2018-10-18,1.0,-0.2387473171911369,-0.4233547958042381,-0.0,-0.6371330975484417,-0.723617786644902,0.0
2018-10-19,1.0,-0.23081092474931494,-0.41666415730675416,-0.0,-0.6383209370953657,-0.7254358758167967,0.0
2018-10-22,1.0,-0.23074375188196328,-0.4090635350797952,-0.0,-0.6423968684131286,-0.7289671785606745,0.0
2018-10-23,1.0,-0.22436480504517614,-0.4155600024255654,-0.0,-0.6544478806621793,-0.7376144563701412,0.0
2018-10-24,1.0,-0.22322729480330256,-0.40990772219524035,-0.0,-0.6581775133559981,-0.7441415735794075,0.0
2018-10-25,1.0,-0.20326991676575507,-0.38073721759809753,-0.0,-0.6599881093935791,-0.7286266349583829,0.0
2018-10-26,1.0,-0.2495080302164667,-0.4524535009204596,-0.0,-0.6933282549355678,-0.7786770773820859,0.0
2018-10-29,1.0,-0.21447960910803818,-0.4846868712675246,-0.0,-0.6892664388592596,-0.8051607958355954,0.0
2018-10-30,1.0,-0.2301378647002244,-0.4881372234690606,-0.0,-0.6919846104520679,-0.7958961205514588,0.0
2018-10-31,1.0,-0.22967936773115724,-0.49219302191094266,-0.0,-0.6933431857611001,-0.7975326093940757,0.0
2018-11-01,1.0,-0.21283903065318566,-0.5057294174289841,-0.0,-0.6930187770823303,-0.7981383405552881,0.0
2018-11-02,1.0,-0.21572387344199426,-0.4893576222435283,-0.0,-0.6963566634707574,-0.7944710770214126,0.0
2018-11-05,1.0,-0.21486995974183656,-0.49146910345709,-0.0,-0.6963703751038406,-0.7924468017125695,0.0
2018-11-06,1.0,-0.21312314136795318,-0.49035909570556063,-0.0,-0.6986537908099638,-0.7955424807341797,0.0
