Date,IWF,IWM,MTUM,SPY,VCEL,VLUE,VXX
2018-09-24,-2.1945917285259813,-3.2588812301166494,-1.3645281018027573,-2.7313096500530225,1.0,-2.7061240721102866,0.0
2018-09-25,-2.2139144342263095,-3.2752232440357187,-1.379714780754365,-2.744502199120352,1.0,-2.714514194322271,0.0
2018-09-26,-2.2144000000000004,-3.2757333333333336,-1.3790666666666667,-2.7462666666666666,1.0,-2.7178666666666667,0.0
2018-09-27,-2.2139243876464323,-3.2629126730564426,-1.3796592119275823,-2.7421458998935035,1.0,-2.71339190628328,0.0
2018-09-28,-2.214304777155057,-3.2759540966106213,-1.3844408860421669,-2.7487323191886843,1.0,-2.720576461168935,0.0
2018-10-01,-2.2145716573258603,-3.2755537763544167,-1.3845743261275687,-2.7488657592740857,1.0,-2.720443021083533,0.0
2018-10-02,-2.214705097411262,-3.2759540966106213,-1.3855084067253802,-2.748065118761676,1.0,-2.7196423805711234,0.0
2018-10-03,-2.2133902373966388,-3.2606028274206453,-1.383435582822086,-2.75206721792478,1.0,-2.7273939717257933,0.0
2018-10-04,-2.2145051422465607,-3.2720715907573124,-1.3787899024976626,-2.7570455456123946,1.0,-2.7342059569921195,0.0
2018-10-05,-2.1780840068901552,-3.243275473698158,-1.3417251888167485,-2.7524844308996954,1.0,-2.7348615343845237,0.0
2018-10-08,-2.1669305885457906,-3.22763262074426,-1.3293745051464765,-2.747294800738981,1.0,-2.72486144101346,0.0
2018-10-09,-2.1695721077654517,-3.2311146328578975,-1.3317485472794506,-2.748811410459588,1.0,-2.7253037506603275,0.0
2018-10-10,-2.1702970297029704,-3.2283828382838284,-1.3330693069306931,-2.7483828382838285,1.0,-2.721320132013201,0.0
2018-10-11,-1.9945665908516552,-3.166919383371241,-1.1130907252969422,-2.6599696739954513,1.0,-2.701162496841041,0.0
2018-10-12,-2.0051314142678347,-3.1505632040050062,-1.095369211514393,-2.615894868585732,1.0,-2.648560700876095,0.0
2018-10-15,-1.9614619592242666,-3.1884634510193934,-1.0355544505221284,-2.60206364992541,1.0,-2.644206862257583,0.0
2018-10-16,-1.9742660836976893,-3.195627732667083,-1.0457214241099315,-2.6172392254840724,1.0,-2.659337913803873,0.0
2018-10-17,-1.9153082485598725,-3.096948155411203,-0.9768353964946684,-2.5990930261061407,1.0,-2.668219144503003,0.0
2018-10-18,-1.9140931372549017,-3.094362745098039,-0.9779411764705881,-2.600490196078431,1.0,-2.6681372549019606,0.0
2018-10-19,-1.8701690821256038,-3.05,-0.9336956521739131,-2.5792270531400967,1.0,-2.6443236714975846,0.0
2018-10-22,-1.869974646867077,-3.0470843897138717,-0.9342025836049741,-2.578292889049861,1.0,-2.6433659302185197,0.0
2018-10-23,-1.8708509354254679,-3.0456246228123116,-0.9371152685576344,-2.575256487628244,1.0,-2.6410380205190105,0.0
2018-10-24,-1.8744264670369473,-3.041898092248249,-0.9238106737503018,-2.5829509780246314,1.0,-2.6514127022458345,0.0
2018-10-25,-1.7658905704307333,-2.9057043073341093,-0.8535506402793945,-2.561699650756694,1.0,-2.5547147846332945,0.0
2018-10-26,-1.7287920700783772,-2.8809359151682803,-0.797141539880129,-2.5786076532964497,1.0,-2.540571692023974,0.0
2018-10-29,-1.6932888991036543,-2.9120891749023214,-0.7582165019535738,-2.567111008963457,1.0,-2.560675706734084,0.0
2018-10-30,-1.6872919297440017,-2.9103432441740327,-0.7534152221329352,-2.565606704167145,1.0,-2.563081161749512,0.0
2018-10-31,-1.6876781032714008,-2.8602530491280063,-0.7468368858999201,-2.556936053801436,1.0,-2.5469052775561383,0.0
2018-11-01,-1.6597727272727274,-2.8867045454545455,-0.714090909090909,-2.555340909090909,1.0,-2.547840909090909,0.0
2018-11-02,-1.650073041914822,-2.8287448027868303,-0.6877177210922575,-2.5475896168108774,1.0,-2.522980110124733,0.0
