Date,EMIF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27590780550063815,-0.3231061838384344,-0.09782527090267525,-0.4303160739758252,-0.37540979503991595,0.0
2018-09-25,1.0,-0.2754519505233111,-0.3240022034152937,-0.09685011768240773,-0.43106815564124396,-0.37648354950172763,0.0
2018-09-26,1.0,-0.275966546474359,-0.324619391025641,-0.09803185096153845,-0.43076422275641024,-0.3746243990384615,0.0
2018-09-27,1.0,-0.2793189784677016,-0.3177766649974963,-0.10015022533800702,-0.43152228342513776,-0.37501251877816727,0.0
2018-09-28,1.0,-0.2804859719438878,-0.31735971943887775,-0.1001503006012024,-0.43176352705410825,-0.37522545090180365,0.0
2018-10-01,1.0,-0.2805932012324958,-0.3172925173476289,-0.10025301235000877,-0.4317492923169418,-0.3751847491169618,0.0
2018-10-02,1.0,-0.2813556774629894,-0.310212670023296,-0.10287818441421809,-0.43338092733147965,-0.3771198116279652,0.0
2018-10-03,1.0,-0.2815969524573319,-0.3121726272524498,-0.10323049547630385,-0.43294654269316557,-0.37625623417959453,0.0
2018-10-04,1.0,-0.28419654714475434,-0.3080007015961312,-0.10363577137988925,-0.4363426795960811,-0.37352476884913177,0.0
2018-10-05,1.0,-0.2809876049580168,-0.3044782087165134,-0.09958516593362654,-0.4385995601759296,-0.3753498600559776,0.0
2018-10-08,1.0,-0.27991906676991485,-0.3024254989633552,-0.09549621562211176,-0.4439337546524117,-0.3761396847600729,0.0
2018-10-09,1.0,-0.2777166299779868,-0.3041825095057034,-0.08842805683410046,-0.44876926155693414,-0.38240444266559936,0.0
2018-10-10,1.0,-0.279249530956848,-0.30288930581613505,-0.09010631644777987,-0.44980612883051907,-0.3795121951219513,0.0
2018-10-11,1.0,-0.2671782092719153,-0.2961436924822975,-0.07320322715945819,-0.44824948804618686,-0.3824973477091609,0.0
2018-10-12,1.0,-0.2714009921556169,-0.2889714327606852,-0.0718701889005645,-0.43996969771022215,-0.3715696097358324,0.0
2018-10-15,1.0,-0.273274007432036,-0.28593780559358495,-0.07314688050068452,-0.44093487189516917,-0.3714551144142382,0.0
2018-10-16,1.0,-0.272705048282606,-0.2881065884366214,-0.07153159760420487,-0.44097298618750763,-0.371372692824838,0.0
2018-10-17,1.0,-0.2672595536385005,-0.2741415659001139,-0.06697845736302616,-0.44018222793030753,-0.3746819492572758,0.0
2018-10-18,1.0,-0.2673936750272628,-0.27434872167696595,-0.06678783472676603,-0.4401066278928874,-0.3747243426632739,0.0
2018-10-19,1.0,-0.2600954124903624,-0.26503469545104086,-0.05912683114880493,-0.44711353122590597,-0.3780358519660756,0.0
