Date,IWF,IWM,MTUM,RMD,SPY,VLUE,VXX
2018-09-24,-0.32044669237317847,-0.3874004707296309,-0.1934248084531023,1.0,-0.33394261104712303,-0.26864139416094945,0.0
2018-09-25,-0.32140175219023775,-0.3864080100125156,-0.19504380475594493,1.0,-0.33304130162703377,-0.26723404255319144,0.0
2018-09-26,-0.32334879057526006,-0.3892969043739817,-0.19837072314826418,1.0,-0.3329489911016418,-0.26256423110665494,0.0
2018-09-27,-0.3250331922142338,-0.3848793807460107,-0.1996292492296901,1.0,-0.33302437435807514,-0.2624815250883038,0.0
2018-09-28,-0.32199392890293765,-0.38922756579112416,-0.20004515692029803,1.0,-0.33386016407014374,-0.2635658914728682,0.0
2018-10-01,-0.32146980573264394,-0.3904422468751569,-0.20026605090105917,1.0,-0.3337432859796195,-0.26396767230560714,0.0
2018-10-02,-0.3214258817622693,-0.39111334253796914,-0.20020082841722106,1.0,-0.33365131166059997,-0.2639638508849002,0.0
2018-10-03,-0.3220057810732688,-0.3958527083071509,-0.20080432323740105,1.0,-0.33281387457584516,-0.2620082945833857,0.0
2018-10-04,-0.3310013890642758,-0.38914004293471394,-0.2009344614218967,1.0,-0.3461548175274655,-0.2583406995832807,0.0
2018-10-05,-0.330810756268604,-0.3888804802986731,-0.1995610715907371,1.0,-0.34617325059280557,-0.25715150597850767,0.0
2018-10-08,-0.3297558763509939,-0.3867432544781196,-0.19693648754188398,1.0,-0.3489784092913108,-0.25692187539364625,0.0
2018-10-09,-0.33431025770591205,-0.3886306215260233,-0.20497726124305204,1.0,-0.34653865588681154,-0.25207175341081356,0.0
2018-10-10,-0.33357826990320777,-0.3928444737242183,-0.20219936147570058,1.0,-0.34769168398114836,-0.2575127958242538,0.0
2018-10-11,-0.3176620076238882,-0.3894660786805192,-0.1811047163465132,1.0,-0.34235244288312533,-0.2608814809278222,0.0
2018-10-12,-0.3226794447463321,-0.38467618436002565,-0.18142073803290026,1.0,-0.33268290273180856,-0.24853035617250407,0.0
2018-10-15,-0.31891171900051796,-0.39061690634172813,-0.17597000567326904,1.0,-0.3324288991391431,-0.2487358476603932,0.0
2018-10-16,-0.3186897215164895,-0.3913568979551565,-0.1754273451567549,1.0,-0.3324288991391431,-0.2487358476603932,0.0
2018-10-17,-0.31675064520093404,-0.38628487157429026,-0.17387243455819099,1.0,-0.33171930686985374,-0.24928106181639426,0.0
2018-10-18,-0.3155487804878049,-0.38449055861526354,-0.17493607395751376,1.0,-0.3340135719905586,-0.24968036978756883,0.0
