Date,IRM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3295744119973053,-0.5720980639114261,-0.0,-0.5441258311121525,-0.4832605957646232,0.0
2018-09-25,1.0,-0.3268535129253301,-0.5773314119342411,-0.0,-0.5480692880039997,-0.48866276505014267,0.0
2018-09-26,1.0,-0.32508552553969566,-0.5776807832959774,-0.0,-0.5504600684204318,-0.49590067240769137,0.0
2018-09-27,1.0,-0.3247469829748311,-0.579121300640288,-0.0,-0.5506181582130949,-0.4961199138414329,0.0
2018-09-28,1.0,-0.32252539570044886,-0.5824474368060477,-0.0,-0.5511457595086228,-0.4968698322702575,0.0
2018-10-01,1.0,-0.322157779487483,-0.5864946440196483,-0.0,-0.5518731135704562,-0.4985796295200331,0.0
2018-10-02,1.0,-0.3224030778336786,-0.5867416395383249,-0.0,-0.5517608759988163,-0.4985794613791063,0.0
2018-10-03,1.0,-0.32284233900814213,-0.5884233900814212,-0.0,-0.5515321983715766,-0.49797187268689863,0.0
2018-10-04,1.0,-0.328807328570158,-0.5820165426462305,-0.0,-0.5596039251726899,-0.4942041445554534,0.0
2018-10-05,1.0,-0.31635032618000414,-0.5742834371402427,-0.0,-0.5628007202526788,-0.49845027599846503,0.0
2018-10-08,1.0,-0.31432696841112684,-0.5716053748231966,-0.0,-0.5634724186704385,-0.49728901461574726,0.0
2018-10-09,1.0,-0.3066331063073734,-0.5752146875925378,-0.0,-0.5711578323956173,-0.5082321587207581,0.0
2018-10-10,1.0,-0.3056930326289897,-0.576564028094716,-0.0,-0.5712888599116853,-0.5100317102806508,0.0
2018-10-11,1.0,-0.2673826202744167,-0.5628437445724541,-0.0,-0.5558675389335959,-0.5086261795866381,0.0
2018-10-12,1.0,-0.26521051875269436,-0.5581836470757293,-0.0,-0.5498491162523351,-0.5007328639172295,0.0
2018-10-15,1.0,-0.24709694067723714,-0.5734438168420449,-0.0,-0.5460905467786793,-0.500559107721421,0.0
2018-10-16,1.0,-0.241431769906424,-0.584275790803146,-0.0,-0.5451518456857455,-0.4995407313852689,0.0
2018-10-17,1.0,-0.22493424215855418,-0.5539779958706904,-0.0,-0.5422405747093928,-0.5071131600531719,0.0
2018-10-18,1.0,-0.2260778426151493,-0.5574471701320038,-0.0,-0.541244122146054,-0.5079315619511642,0.0
2018-10-19,1.0,-0.2107351947759514,-0.5463859491105607,-0.0,-0.5470896194550777,-0.5104987615401937,0.0
2018-10-22,1.0,-0.21071478922881715,-0.5356830678133371,-0.0,-0.5552798533765684,-0.5180318623995488,0.0
2018-10-23,1.0,-0.20844155844155846,-0.5366741953698475,-0.0,-0.5581874647092038,-0.5199604743083004,0.0
2018-10-24,1.0,-0.20714971480205566,-0.5319365222793245,-0.0,-0.5605692663918225,-0.5241147568758118,0.0
2018-10-25,1.0,-0.1733542924905546,-0.4949946223215025,-0.0,-0.5859739113648272,-0.5034610187253523,0.0
2018-10-26,1.0,-0.16285870456408855,-0.48570647717955723,-0.0,-0.587646898059579,-0.4967750751571467,0.0
2018-10-29,1.0,-0.1926865968259376,-0.503023592538966,-0.0,-0.6312636629475059,-0.5121085654260001,0.0
