Date,EVBG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6575633826782371,-1.2775650842266462,-0.30768249106687084,-0.6043474561851284,-0.40671260847371105,0.0
2018-09-25,1.0,-0.6629055607596014,-1.2754832666269267,-0.3146555394703227,-0.6024440091969684,-0.4023673677935791,0.0
2018-09-26,1.0,-0.6688192276440149,-1.28469400846769,-0.3219860582474447,-0.6053970833511525,-0.3957148355642988,0.0
2018-09-27,1.0,-0.6679967391770713,-1.2948899472261552,-0.32016132492384264,-0.6084867207276784,-0.39902175312137983,0.0
2018-09-28,1.0,-0.6658227848101266,-1.2963741686333405,-0.32070371164986056,-0.6084960308946578,-0.3994850890366874,0.0
2018-10-01,1.0,-0.6656797116374871,-1.296258153106763,-0.3209749399244765,-0.608479231033299,-0.3997596979059389,0.0
2018-10-02,1.0,-0.6653776746584171,-1.3064793331614677,-0.31829509323708854,-0.6075448998882873,-0.3989430265532354,0.0
2018-10-03,1.0,-0.6673415758411234,-1.3168483177529833,-0.31986386938353506,-0.6073320983931417,-0.3966311980355835,0.0
2018-10-04,1.0,-0.6663359075024807,-1.321023340092325,-0.320031062599767,-0.6064972604512706,-0.40040553949695845,0.0
2018-10-05,1.0,-0.6607457743752957,-1.3224377446131348,-0.3120725990279988,-0.6068986280159994,-0.3987355382564191,0.0
2018-10-08,1.0,-0.6608999525432503,-1.3236550325725873,-0.3029897752275767,-0.6224599853315501,-0.4042883644678373,0.0
2018-10-09,1.0,-0.6815512708150745,-1.343207712532866,-0.32668711656441723,-0.6283961437335671,-0.40227870289219986,0.0
2018-10-10,1.0,-0.6815811385249134,-1.34401156930628,-0.3262193785880188,-0.6283798588895219,-0.40212103948463995,0.0
2018-10-11,1.0,-0.6739054748019844,-1.345896074506049,-0.3153451127165114,-0.6213334493863696,-0.3955522673861955,0.0
2018-10-12,1.0,-0.68131395648809,-1.343623699372259,-0.3126666093387222,-0.5976438214807809,-0.3643047553529968,0.0
2018-10-15,1.0,-0.7023649381644609,-1.3324799305706228,-0.33013668908656973,-0.6072466912562379,-0.3671512258624431,0.0
2018-10-16,1.0,-0.704686617730096,-1.3269773704556314,-0.33509968292576986,-0.6082613039134779,-0.3685010641532381,0.0
2018-10-17,1.0,-0.698468837610524,-1.3120552081086911,-0.331938753504421,-0.6034936381281,-0.3671339227949105,0.0
2018-10-18,1.0,-0.6966544355709043,-1.3094323332613858,-0.3337794085905461,-0.6083747032160587,-0.3685732786531405,0.0
2018-10-19,1.0,-0.6883573388203018,-1.3041409465020577,-0.3247170781893004,-0.6080246913580247,-0.36145404663923186,0.0
2018-10-22,1.0,-0.6867329299913569,-1.328694900605013,-0.34118409680207434,-0.6042783059636992,-0.3606741573033708,0.0
2018-10-23,1.0,-0.7052507012622721,-1.3459852734922861,-0.35983520336605895,-0.6035676718092566,-0.36825035063113604,0.0
2018-10-24,1.0,-0.7078277629331114,-1.3437732708397214,-0.351657978886504,-0.6061150291296158,-0.3710193175347146,0.0
2018-10-25,1.0,-0.6745154709282558,-1.29547772866372,-0.347160829649779,-0.6056188371302279,-0.32748214892893573,0.0
2018-10-26,1.0,-0.6632412398921833,-1.2825134770889488,-0.33490566037735847,-0.610343665768194,-0.3205862533692722,0.0
2018-10-29,1.0,-0.6470637583892618,-1.3002936241610739,-0.31950503355704696,-0.6013842281879195,-0.3264261744966443,0.0
2018-10-30,1.0,-0.6558114127237582,-1.301159761324481,-0.32443902848978906,-0.6016471972434658,-0.31897638457013194,0.0
2018-10-31,1.0,-0.6607262103505843,-1.2758347245409016,-0.3266277128547579,-0.5984974958263772,-0.31193656093489147,0.0
