Date,IWF,IWM,MTUM,SPY,VCRA,VLUE,VXX
2018-09-24,-0.6046114805740287,-1.340304515225761,-0.03885194259712986,-0.8042527126356318,1.0,-0.5872418620931047,0.0
2018-09-25,-0.6092990674663981,-1.3382076091239437,-0.04522569064401734,-0.802285364038352,1.0,-0.5830742962217066,0.0
2018-09-26,-0.6102377720366073,-1.3394053509655384,-0.04716031002320795,-0.8019004247493103,1.0,-0.5801988001926699,0.0
2018-09-27,-0.6117307439968509,-1.3328522066220532,-0.04885623059091108,-0.8011197130735248,1.0,-0.5793202991733369,0.0
2018-09-28,-0.6094146469507393,-1.3348499431271328,-0.049698136319888,-0.8010762096421383,1.0,-0.579753259252778,0.0
2018-10-01,-0.6096714687280393,-1.3429374560787068,-0.05108046380885453,-0.8039792691496838,1.0,-0.5844606465214336,0.0
2018-10-02,-0.6120109753938751,-1.3790051336519737,-0.04354753053637812,-0.8055408036820676,1.0,-0.5854576031155957,0.0
2018-10-03,-0.6180747613524846,-1.4027121063431174,-0.04692657685788206,-0.8085913105540191,1.0,-0.584396467124632,0.0
2018-10-04,-0.6201640221073276,-1.3968176145480478,-0.04786949545373507,-0.8110625779996434,1.0,-0.581208771617044,0.0
2018-10-05,-0.6038900484035703,-1.3922465473600072,-0.027399085216927927,-0.8236600204271949,1.0,-0.5935432301611973,0.0
2018-10-08,-0.6012672249545836,-1.3880544109176303,-0.022154282422792326,-0.8272852142319109,1.0,-0.5920953520315477,0.0
2018-10-09,-0.5999645515774548,-1.3889135058489899,-0.01838886919532081,-0.8292272243885147,1.0,-0.5945586671393123,0.0
2018-10-10,-0.5999822765740618,-1.389472284992689,-0.01781204306792503,-0.8294120253444991,1.0,-0.5942221631441358,0.0
2018-10-11,-0.5140390614983547,-1.3792897132356086,-0.0,-0.7923842899269199,1.0,-0.5879311081670157,0.0
2018-10-12,-0.5110117289680196,-1.373639355328664,-0.0,-0.7725508395915957,1.0,-0.5618513205636655,0.0
2018-10-15,-0.4684673260630653,-1.4241271451517457,-0.0,-0.76806999746386,1.0,-0.5662355228675289,0.0
2018-10-16,-0.46198756187333423,-1.4364767102424165,-0.0,-0.7669331979523628,1.0,-0.5652578584422727,0.0
2018-10-17,-0.44260659961765436,-1.397847227994348,-0.0,-0.7538857950295071,1.0,-0.5615493308951874,0.0
2018-10-18,-0.4425234810073976,-1.3982628210456323,-0.0,-0.7537611171141219,1.0,-0.5614246529798022,0.0
2018-10-19,-0.422212156152199,-1.387662658540603,-0.0,-0.753335529566793,1.0,-0.5547685718991929,0.0
2018-10-22,-0.42518285879581796,-1.3992313731972394,-0.0,-0.7527997024670441,1.0,-0.555188230918633,0.0
2018-10-23,-0.4315371572722385,-1.4006864893924982,-0.0,-0.7493900169554609,1.0,-0.5538646044415036,0.0
