Date,AC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.35842143429640083,-1.0748063051028587,-0.0,-0.7221861761001488,-0.661234304034197,0.0
2018-09-25,1.0,-0.3635773723184976,-1.073593404076647,-0.0,-0.7214672875792046,-0.6585235514161387,0.0
2018-09-26,1.0,-0.3621377089403466,-1.0758702652967336,-0.0,-0.7261923017942034,-0.6696058886673824,0.0
2018-09-27,1.0,-0.36277590435315754,-1.0739960147148988,-0.0,-0.7259350091968116,-0.6693362967504597,0.0
2018-09-28,1.0,-0.3599599059331508,-1.0878214271945716,-0.0,-0.7320251358957554,-0.6754308184586915,0.0
2018-10-01,1.0,-0.4268387767478125,-1.2601143550203586,-0.0,-0.8516416876028762,-0.7930347396690635,0.0
2018-10-02,1.0,-0.42647378252747725,-1.27668447803988,-0.0,-0.849950041270255,-0.7911290672922368,0.0
2018-10-03,1.0,-0.42588245522517826,-1.2632150930272996,-0.0,-0.8563293340288646,-0.8015997217875153,0.0
2018-10-04,1.0,-0.42598476605005436,-1.2665070729053318,-0.0,-0.8558433079434167,-0.804265505984766,0.0
2018-10-05,1.0,-0.3985164620656747,-1.256062117728712,-0.0,-0.8655706415650891,-0.8176809959658179,0.0
2018-10-08,1.0,-0.39372535424881916,-1.2514624951250162,-0.0,-0.8712137626207913,-0.8169172769424101,0.0
2018-10-09,1.0,-0.3858915741345526,-1.2569562377531027,-0.0,-0.8811234487263228,-0.8304376224689745,0.0
2018-10-10,1.0,-0.38549285963079066,-1.2570968303726924,-0.0,-0.8811389759665622,-0.8301549982584466,0.0
2018-10-11,1.0,-0.2890598862495818,-1.2311809969889596,-0.0,-0.8375292740046839,-0.8241886918701907,0.0
2018-10-12,1.0,-0.289590527873705,-1.2196595954612728,-0.0,-0.8094063476401907,-0.7925094556816312,0.0
2018-10-15,1.0,-0.2465618051552335,-1.268055669933295,-0.0,-0.8051552334678416,-0.7978259079304949,0.0
2018-10-16,1.0,-0.24319650870764542,-1.2732924369055951,-0.0,-0.8039441722590474,-0.7966569228869036,0.0
2018-10-17,1.0,-0.210624191461837,-1.2182244501940491,-0.0,-0.8003315006468306,-0.8135510996119018,0.0
2018-10-18,1.0,-0.21191999352174265,-1.2223661834966393,-0.0,-0.799781358814479,-0.8148028180419468,0.0
