Date,GLBS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-3.3047158403869408,-5.501813784764209,-1.569931479242241,-4.5312374042724715,-4.24546553808948,0.0
2018-09-25,1.0,-3.3018298813593403,-5.485220189020712,-1.5741001407601045,-4.517595013070581,-4.229841142167706,0.0
2018-09-26,1.0,-3.6615112682280158,-6.058550596553248,-1.7671232876712326,-4.976800707026071,-4.6303579319487405,0.0
2018-09-27,1.0,-3.7279033340792123,-6.104273886775565,-1.7952562094428282,-5.051465652271202,-4.697471470127545,0.0
2018-09-28,1.0,-3.738582677165354,-6.147806524184476,-1.8065241844769402,-5.079190101237345,-4.725309336332958,0.0
2018-10-01,1.0,-3.7591504744690463,-6.169905106190691,-1.8131495707184817,-5.104383190239494,-4.7469498418436515,0.0
2018-10-02,1.0,-3.7632173520108454,-6.142340713962946,-1.824672390420244,-5.11025756891098,-4.753502033438771,0.0
2018-10-03,1.0,-3.757787810383747,-6.139277652370203,-1.8137697516930025,-5.109932279909707,-4.752595936794583,0.0
2018-10-04,1.0,-3.746345851135597,-6.112435349673937,-1.7998650775803913,-5.0989431077130645,-4.729480548684506,0.0
2018-10-05,1.0,-3.7849065312716363,-6.2617124394184165,-1.7613662589429955,-5.316408954534964,-4.954304177244404,0.0
2018-10-08,1.0,-3.7754725680036882,-6.247349008759796,-1.7381281696634392,-5.33609958506224,-4.954817888427846,0.0
2018-10-09,1.0,-3.7848890942698707,-6.266866913123845,-1.7389094269870609,-5.349815157116451,-4.964879852125693,0.0
2018-10-10,1.0,-3.7865402405180384,-6.278677150786309,-1.7312673450508786,-5.358464384828862,-4.971785383903793,0.0
2018-10-11,1.0,-3.2791092258748678,-5.936373276776246,-1.2165429480381762,-4.996818663838813,-4.779851537645811,0.0
2018-10-12,1.0,-3.31766680654637,-5.912505245488879,-1.1798153587914393,-4.906630297943768,-4.665337809483844,0.0
2018-10-15,1.0,-3.210483042137718,-5.868653648509763,-1.076464542651593,-4.817471736896198,-4.58191161356629,0.0
