Date,EOS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2897701667417756,-0.30419107706173953,-0.1576812694196058,-0.3440857664666398,-0.27615568890680964,0.0
2018-09-25,1.0,-0.28989872637146313,-0.30403434290728837,-0.15791096458980622,-0.3439271399093992,-0.2759528496549107,0.0
2018-09-26,1.0,-0.2898681339531354,-0.3040034152357461,-0.15785978559908925,-0.34394269993359267,-0.2759937387344654,0.0
2018-09-27,1.0,-0.29251232928679816,-0.2982264795144158,-0.15959313353566007,-0.3444613050075872,-0.2762234446130501,0.0
2018-09-28,1.0,-0.29110742233815506,-0.29959686981266304,-0.15987668958975573,-0.3444154612283614,-0.2763813137301399,0.0
2018-10-01,1.0,-0.2913583760197306,-0.2993265035097704,-0.1598605577689243,-0.3445503699487763,-0.27637070764560806,0.0
2018-10-02,1.0,-0.29184254209153426,-0.294379890917714,-0.16165520512212472,-0.34569599241166704,-0.2777804126156035,0.0
2018-10-03,1.0,-0.29157974587521335,-0.2907026360705481,-0.16112744168405083,-0.3470036032619003,-0.2801536127441684,0.0
2018-10-04,1.0,-0.29336208735218144,-0.2875559873924687,-0.16140957888001517,-0.34936132900443156,-0.2781714339881982,0.0
2018-10-05,1.0,-0.2911278693175102,-0.28469776128223917,-0.15869601191461194,-0.35063000874683814,-0.27888229592681024,0.0
2018-10-08,1.0,-0.2958459737715883,-0.29500991328858417,-0.16147911043164606,-0.35224422521080667,-0.2841650144519026,0.0
2018-10-09,1.0,-0.2951223007834894,-0.2951461876552647,-0.15954041658704377,-0.3532868335562775,-0.2855914389451557,0.0
2018-10-10,1.0,-0.2962432232332641,-0.29399823266700104,-0.1608750686632753,-0.35389649160516823,-0.2832509374029758,0.0
2018-10-11,1.0,-0.28456739258387287,-0.2887580929958799,-0.14490876986462625,-0.3505120659211301,-0.2855562095350206,0.0
2018-10-12,1.0,-0.2838528781131453,-0.289295728187366,-0.142197403454207,-0.3536674442166773,-0.28717513724935795,0.0
2018-10-15,1.0,-0.2900330656589514,-0.28150684931506853,-0.1485356636750118,-0.3551724137931035,-0.2866084081247048,0.0
2018-10-16,1.0,-0.2894426074633916,-0.28375059045819556,-0.14685876239962212,-0.35521965044874826,-0.2865375531412376,0.0
2018-10-17,1.0,-0.2841385447647596,-0.2700405142736704,-0.14196388843352614,-0.35502681436031946,-0.29071918690428794,0.0
2018-10-18,1.0,-0.2828995150294028,-0.2682332544572781,-0.1430546119063796,-0.35749595857835675,-0.2911932150973455,0.0
2018-10-19,1.0,-0.27916734655819486,-0.26196414834844634,-0.13963029441245717,-0.35942562763700786,-0.2908692510314926,0.0
2018-10-22,1.0,-0.2803198060651267,-0.25901494137665787,-0.13626721987832452,-0.36211277126407304,-0.29323325796601474,0.0
