Date,CUK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2565565395095368,-0.4827145776566757,-0.10147025431425975,-0.49596957311534967,-0.501589464123524,0.0
2018-09-25,1.0,-0.2568039276896444,-0.48239066889916843,-0.1019383034878111,-0.49564378352300137,-0.5011493600476771,0.0
2018-09-26,1.0,-0.25674716916877144,-0.48233391037829554,-0.10179640718562874,-0.4957005420438743,-0.5013480148707324,0.0
2018-09-27,1.0,-0.26119297050222867,-0.47420719416290497,-0.1044204071203475,-0.49706157908185,-0.5021434857905346,0.0
2018-09-28,1.0,-0.26242008328934247,-0.5190627016247288,-0.10393571470467476,-0.5220834066514165,-0.5251920933779107,0.0
2018-10-01,1.0,-0.2631177592022291,-0.5184044581316909,-0.10391553013638365,-0.5224226426162194,-0.5251209854817422,0.0
2018-10-02,1.0,-0.2634110573397859,-0.5171432761401965,-0.10467810529403139,-0.5225106320574865,-0.5252676345505206,0.0
2018-10-03,1.0,-0.26347744471167944,-0.5170411216049744,-0.10482782894350912,-0.5224672962984689,-0.5252537103302634,0.0
2018-10-04,1.0,-0.2682554590279408,-0.5109767551068326,-0.10539445879314392,-0.5288213195585818,-0.5215132660248883,0.0
2018-10-05,1.0,-0.26276517922457937,-0.507710314557425,-0.0998390636430139,-0.531353328456474,-0.5244184345281638,0.0
2018-10-08,1.0,-0.2623051501769368,-0.5071798321293831,-0.09920159096891176,-0.5316000350949024,-0.524288597081274,0.0
2018-10-09,1.0,-0.26057059253840525,-0.5081492318946599,-0.09427944403803949,-0.5346891002194587,-0.5284272128749086,0.0
2018-10-10,1.0,-0.26022304832713755,-0.5089424230893071,-0.09346368878611364,-0.5349354564880133,-0.5295787840646313,0.0
2018-10-11,1.0,-0.22656851836001024,-0.5022397215327112,-0.05315415561071642,-0.5286313446888641,-0.5426117720905018,0.0
2018-10-12,1.0,-0.22812711673063896,-0.4948351772409122,-0.05066041995935877,-0.5179780988936554,-0.5307067058026642,0.0
2018-10-15,1.0,-0.21990929832962453,-0.5061829244246641,-0.03971719106504042,-0.5182389228472437,-0.5327737246838118,0.0
2018-10-16,1.0,-0.2203346855983773,-0.5049583051611449,-0.04076515663736759,-0.5182555780933064,-0.5328769438810007,0.0
2018-10-17,1.0,-0.21264383828815023,-0.4867794154523418,-0.03549636399097267,-0.5156724527040205,-0.5356217436126048,0.0
