Date,EGO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.4045741324921135,-2.93493690851735,-0.06802050473186119,-2.286179022082019,-2.164333596214511,0.0
2018-09-25,1.0,-1.4104484967964515,-2.9303104977821586,-0.07727944800394283,-2.2820108427796946,-2.1571217348447513,0.0
2018-09-26,1.0,-1.411335633316905,-2.9313947757516017,-0.07934943321833415,-2.2814194184327254,-2.1535731887629375,0.0
2018-09-27,1.0,-1.415109187487704,-2.9101908321857173,-0.08410387566397796,-2.2777887074562266,-2.149518001180405,0.0
2018-09-28,1.0,-1.4122114815545472,-2.9246399684355886,-0.08749260209114224,-2.283685144999014,-2.1558492799368714,0.0
2018-10-01,1.0,-1.4165263053601507,-2.94174180124839,-0.09065689091449519,-2.292579015159021,-2.166352917863866,0.0
2018-10-02,1.0,-1.4563528105762438,-2.9224947017862553,-0.12312039559995964,-2.359067514380866,-2.230901200928449,0.0
2018-10-03,1.0,-1.4574457344775364,-2.9237758707723374,-0.1253912165572943,-2.358808682483594,-2.230489651691065,0.0
2018-10-04,1.0,-1.4600967351874246,-2.908101571946796,-0.12726723095526,-2.3607416364369205,-2.2204756146715035,0.0
2018-10-05,1.0,-1.4184603063369707,-2.8849734708178993,-0.07828611472619881,-2.382120332365602,-2.2471718890779857,0.0
2018-10-08,1.0,-1.4091724825523428,-2.8693918245264207,-0.06560319042871386,-2.3853439680957127,-2.240578265204387,0.0
2018-10-09,1.0,-1.4152141057934509,-2.9044836272040304,-0.04060453400503778,-2.4276070528967253,-2.2876574307304787,0.0
2018-10-10,1.0,-1.4151380770006048,-2.9065712557952024,-0.03850030235839549,-2.429046563192905,-2.2892561983471076,0.0
2018-10-11,1.0,-1.1756676557863501,-2.9367952522255196,-0.0,-2.4003956478733928,-2.3782393669634025,0.0
2018-10-12,1.0,-1.2937980522808814,-3.081394156842645,-0.0,-2.460481804202973,-2.4154792414146593,0.0
2018-10-15,1.0,-1.211818560133167,-3.243757802746567,-0.0,-2.48491468997087,-2.463171036204744,0.0
2018-10-16,1.0,-1.2102745424292845,-3.244280366056573,-0.0,-2.483257071547421,-2.461522462562396,0.0
2018-10-17,1.0,-1.0994915761140465,-3.0393779284218922,-0.0,-2.4033496161898116,-2.4267769913268866,0.0
2018-10-18,1.0,-1.09785749875436,-3.0366716492277033,-0.0,-2.404384653712008,-2.4261086198305932,0.0
2018-10-19,1.0,-1.0352091781228365,-3.001879141529028,-0.0,-2.419543071901889,-2.4334882800909896,0.0
2018-10-22,1.0,-1.0355907068709835,-2.9797330696984674,-0.0,-2.428868017795353,-2.442016806722689,0.0
2018-10-23,1.0,-1.0430011862396205,-2.9801304863582447,-0.0,-2.4232898378805854,-2.438908659549229,0.0
2018-10-24,1.0,-1.0338264299802762,-2.9662721893491124,-0.0,-2.4214003944773173,-2.4404339250493097,0.0
2018-10-25,1.0,-0.8657003944592239,-2.711402623612513,-0.0,-2.3447390147692873,-2.2516282909824787,0.0
2018-10-26,1.0,-0.8211815292578051,-2.757711721817162,-0.0,-2.466442325668349,-2.3021125444008224,0.0
2018-10-29,1.0,-0.7662433278115222,-2.738450211669427,-0.0,-2.4185532854776364,-2.2797717651389653,0.0
2018-10-30,1.0,-0.9087739686228937,-2.877784233972496,-0.0,-2.548324617470463,-2.349506101104009,0.0
2018-10-31,1.0,-0.9012696607921168,-2.7792306234603,-0.0,-2.4990524919461814,-2.2955277619859773,0.0
2018-11-01,1.0,-0.8396280674846626,-2.880463957055215,-0.0,-2.5328796012269943,-2.3329179447852764,0.0
2018-11-02,1.0,-0.8352775164628409,-2.7812793979303856,-0.0,-2.5059266227657573,-2.284854186265287,0.0
2018-11-05,1.0,-0.8255769958380628,-2.8427922814982973,-0.0,-2.5247824441922058,-2.26579644343549,0.0
2018-11-06,1.0,-0.8293166997448256,-2.8430205084585576,-0.0,-2.519232586712031,-2.2592382572535676,0.0
2018-11-07,1.0,-0.8259392108740795,-2.842457995091561,-0.0,-2.5139701717953558,-2.256843496318671,0.0
2018-11-08,1.0,-0.727026774885717,-2.8471872376154495,-0.0,-2.481481481481482,-2.2735329788226517,0.0
2018-11-09,1.0,-0.7317688855646971,-2.8527486910994764,-0.0,-2.4856020942408374,-2.279263275991025,0.0
2018-11-12,1.0,-0.7201144650604634,-2.7941475122311457,-0.0,-2.4684759531062492,-2.24831533277947,0.0
2018-11-13,1.0,-0.6386085075702956,-2.74351117519827,-0.0,-2.4306056236481615,-2.1994412400865175,0.0
