Date,IWF,IWM,MTUM,SILV,SPY,VLUE,VXX
2018-11-02,-0.47752558967512243,-3.502596053997923,-0.0,1.0,-5.373980121643673,-4.480492508529892,0.0
2018-11-05,-0.45543093270366,-3.5200708382526567,-0.0,1.0,-5.354781582054309,-4.427685950413223,0.0
2018-11-06,-0.4782224838140082,-3.5272218952324894,-0.0,1.0,-5.3204826368452025,-4.388463802236609,0.0
2018-11-07,-0.4732644017725259,-3.552584933530281,-0.0,1.0,-5.335745937961596,-4.409453471196455,0.0
2018-11-08,-0.22352235223522354,-3.7233723372337235,-0.0,1.0,-5.425592559255926,-4.629012901290129,0.0
2018-11-09,-0.22213900539245057,-3.7173457159976033,-0.0,1.0,-5.419263031755542,-4.620281605751948,0.0
2018-11-12,-0.21742983751846384,-3.5531757754800597,-0.0,1.0,-5.4395864106351555,-4.560709010339734,0.0
2018-11-13,-0.019116397621070518,-3.4105069385443216,-0.0,1.0,-5.326394789011611,-4.404418011894647,0.0
2018-11-14,-0.002454873646209386,-3.495451263537906,-0.0,1.0,-5.436245487364621,-4.506281588447653,0.0
2018-11-15,-0.0,-3.563376168224299,-0.0,1.0,-5.5579731308411215,-4.481308411214953,0.0
2018-11-16,-0.0,-3.4572951173844158,-0.0,1.0,-5.479331700993806,-4.466224974794756,0.0
2018-11-19,-0.0,-3.4842593935876973,-0.0,1.0,-5.524590163934426,-4.498766864935441,0.0
2018-11-20,-0.0,-3.267847105115233,-0.0,1.0,-5.322372119168072,-4.462619449128724,0.0
2018-11-21,-0.0,-3.276361610252124,-0.0,1.0,-5.392673074244323,-4.260481961275944,0.0
2018-11-23,-0.0,-3.235799390412857,-0.0,1.0,-5.37780548628429,-4.240648379052369,0.0
2018-11-26,-0.0,-3.4448674769365937,-0.0,1.0,-5.658808024600966,-4.539756919021818,0.0
2018-11-27,-0.0,-3.3353606789250354,-0.0,1.0,-5.446817538896747,-4.362093352192362,0.0
2018-11-28,-0.0,-3.351259552787999,-0.0,1.0,-5.4409849985847725,-4.360175488253608,0.0
2018-11-29,-0.0,-3.3525169479301886,-0.0,1.0,-5.530362036636376,-4.5408913890090865,0.0
2018-11-30,-0.0,-3.4147768836869057,-0.0,1.0,-5.634235552304316,-4.581565471836138,0.0
2018-12-03,-0.0,-3.4077315827862873,-0.0,1.0,-5.615463165572574,-4.564697301239971,0.0
2018-12-04,-0.0,-3.4814814814814814,-0.0,1.0,-5.62389770723104,-4.591857730746619,0.0
