Date,HXL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.19694569254343816,-0.4781445601641431,-0.11622470976287562,-0.38794379658727896,-0.4179674311092642,0.0
2018-09-25,1.0,-0.19559379481162822,-0.48356146525876675,-0.11158910181201928,-0.39262156172598095,-0.42385608134532654,0.0
2018-09-26,1.0,-0.19696297649176822,-0.48550630104104153,-0.1141492942312208,-0.3923604769483654,-0.4201215853053983,0.0
2018-09-27,1.0,-0.19667423708460594,-0.48709113216905525,-0.11381731798365834,-0.3925653274858381,-0.4203670347456078,0.0
2018-09-28,1.0,-0.19594330018012374,-0.48769154462630854,-0.11410447176756205,-0.3924609079280549,-0.4203148249667162,0.0
2018-10-01,1.0,-0.195984753550543,-0.48772974101921474,-0.11424394319131162,-0.39241332497911446,-0.4202955304928989,0.0
2018-10-02,1.0,-0.19602465653241397,-0.49106723084156095,-0.11343572062895055,-0.39181424019223743,-0.41957895836598236,0.0
2018-10-03,1.0,-0.19578045850958276,-0.485299493446133,-0.11259073580865842,-0.39404146430623005,-0.42341636638988983,0.0
2018-10-04,1.0,-0.1962980367585631,-0.48430973266499583,-0.1128341687552214,-0.3944757727652465,-0.42277568922305764,0.0
2018-10-05,1.0,-0.18510998307952625,-0.47858909280229084,-0.10303266953013146,-0.4029155277886243,-0.4335285695691787,0.0
2018-10-08,1.0,-0.18375146236838685,-0.47635512803847657,-0.10003899649031588,-0.40608345248927596,-0.43353698167164956,0.0
2018-10-09,1.0,-0.1835291670999272,-0.47642196111053337,-0.09966725590100863,-0.40620775709680773,-0.43373713216179677,0.0
2018-10-10,1.0,-0.18481072805026136,-0.4944036745683966,-0.09181141439205955,-0.4153951744892033,-0.45332875772134523,0.0
2018-10-11,1.0,-0.16977884414771544,-0.49259336532443143,-0.07581368662633006,-0.41221573127477573,-0.4575422491132902,0.0
2018-10-12,1.0,-0.16876587363292386,-0.49017778468874723,-0.07342041154822994,-0.4069351578292645,-0.4523143108899601,0.0
2018-10-15,1.0,-0.15738392256327968,-0.5090066773642529,-0.05781872767741601,-0.40781096330037786,-0.45613126973445833,0.0
2018-10-16,1.0,-0.15469900840642323,-0.5335346016708742,-0.041954037946021906,-0.41285167738073547,-0.4595684876245998,0.0
2018-10-17,1.0,-0.15054458903577989,-0.5246423304788762,-0.03901378935658293,-0.41168861407911417,-0.46123198716787833,0.0
2018-10-18,1.0,-0.15105716725757615,-0.5257627908180431,-0.03840480318832329,-0.41127300018115476,-0.46145286095080357,0.0
2018-10-19,1.0,-0.1426292770774376,-0.5195009004373553,-0.031824028813995375,-0.4149472600977617,-0.4637766915358889,0.0
2018-10-22,1.0,-0.14450361451982197,-0.5152427259396466,-0.027321139152581615,-0.4186925985953539,-0.46682616860898873,0.0
2018-10-23,1.0,-0.14372167284713638,-0.5164039967037495,-0.024515863205603627,-0.42171405026782033,-0.4688401318500206,0.0
2018-10-24,1.0,-0.14301664373068834,-0.5292238984239088,-0.02861371484953133,-0.42538882974580017,-0.4702827616648924,0.0
2018-10-25,1.0,-0.13065493696135846,-0.5135923074955886,-0.026928880137073882,-0.4262844283047337,-0.4599135616193131,0.0
2018-10-26,1.0,-0.12157760814249365,-0.510559796437659,-0.007608142493638677,-0.4447073791348601,-0.46010178117048345,0.0
2018-10-29,1.0,-0.10281300027952127,-0.5262368815592204,-0.0,-0.43971234721622243,-0.47236551215917466,0.0
2018-10-30,1.0,-0.11968017166504881,-0.5298881111735555,-0.0,-0.4426761354927707,-0.4622949982118224,0.0
2018-10-31,1.0,-0.12013160915142705,-0.5270997525951999,-0.0,-0.4420129058586477,-0.46134618818068207,0.0
2018-11-01,1.0,-0.11185283326538932,-0.5332501019160212,-0.0,-0.44147472482674277,-0.461322869955157,0.0
2018-11-02,1.0,-0.1138931918027375,-0.5226897585007239,-0.0,-0.4438406257142132,-0.45902638462124484,0.0
