Date,CHD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3081092411810505,-0.6037312091992574,-0.0,-0.5559082469904773,-0.5267712762771756,0.0
2018-09-25,1.0,-0.3061831510635741,-0.6079798101189761,-0.0,-0.5591575531787044,-0.5310960221127268,0.0
2018-09-26,1.0,-0.3060329287345271,-0.6079197211873573,-0.0,-0.5591575531787044,-0.531336377839202,0.0
2018-09-27,1.0,-0.31075194520383337,-0.6004446180190465,-0.0,-0.5606993721272568,-0.5322798690179349,0.0
2018-09-28,1.0,-0.30821093185648935,-0.6057067180351553,-0.0,-0.5621237659523237,-0.53383096556706,0.0
2018-10-01,1.0,-0.3079819277108433,-0.6073493975903614,-0.0,-0.5622590361445783,-0.5344578313253011,0.0
2018-10-02,1.0,-0.30984218768823035,-0.6004095892061198,-0.0,-0.564540416817251,-0.5368931454041682,0.0
2018-10-03,1.0,-0.30933863869295236,-0.5901308253451498,-0.0,-0.5696931331765841,-0.5452462772050402,0.0
2018-10-04,1.0,-0.3200497376641494,-0.5849634549479877,-0.0,-0.585084766323962,-0.5426864404209504,0.0
2018-10-05,1.0,-0.31199395770392746,-0.5798791540785498,-0.0,-0.5856495468277945,-0.5436253776435045,0.0
2018-10-08,1.0,-0.3092677310873451,-0.5790589874875027,-0.0,-0.5952070772866362,-0.5461265792104706,0.0
2018-10-09,1.0,-0.3044322422109638,-0.579771258683979,-0.0,-0.5983678670023966,-0.551102751569942,0.0
2018-10-10,1.0,-0.3040444188233866,-0.5800843472192725,-0.0,-0.5984101459388937,-0.5515337237173458,0.0
2018-10-11,1.0,-0.2948686990642922,-0.5769393299124661,-0.0,-0.5965590099607607,-0.5500452761847269,0.0
2018-10-12,1.0,-0.2953550040222864,-0.5667848523671901,-0.0,-0.583112355868069,-0.5342192295086852,0.0
2018-10-15,1.0,-0.29459604385128696,-0.5664918970448046,-0.0,-0.583710676835081,-0.5342290276453765,0.0
2018-10-16,1.0,-0.2860136510597533,-0.5879834750329301,-0.0,-0.5846904562327865,-0.5349359358160699,0.0
2018-10-17,1.0,-0.27337068711294604,-0.5621645532291359,-0.0,-0.5780595694485402,-0.5353583013860218,0.0
2018-10-18,1.0,-0.27296851043755155,-0.5614164406179973,-0.0,-0.5786944215119707,-0.535381530840901,0.0
2018-10-19,1.0,-0.2556836516178239,-0.5497667869400685,-0.0,-0.5876969110270175,-0.5403502596145384,0.0
2018-10-22,1.0,-0.2563860539201227,-0.5380213556722317,-0.0,-0.6018229013037579,-0.5534481741490177,0.0
2018-10-23,1.0,-0.25545915958451365,-0.5383616619452313,-0.0,-0.6029567988668555,-0.5541784702549575,0.0
2018-10-24,1.0,-0.2540244118167345,-0.5367946223244295,-0.0,-0.6031310808420308,-0.5543369302435285,0.0
2018-10-25,1.0,-0.2182183330942476,-0.4946492612250753,-0.0,-0.6261081623870319,-0.5300530770334242,0.0
2018-10-26,1.0,-0.196376604850214,-0.4874179743223966,-0.0,-0.643052781740371,-0.5262482168330956,0.0
2018-10-29,1.0,-0.19029192511238832,-0.48719626700051216,-0.0,-0.6415808342343368,-0.5262334262789506,0.0
2018-10-30,1.0,-0.17157939791696392,-0.4911114281637895,-0.0,-0.6457411898987017,-0.5450420887430447,0.0
2018-10-31,1.0,-0.17271539728517066,-0.4825069574601011,-0.0,-0.6429545067302778,-0.5416027716249219,0.0
2018-11-01,1.0,-0.14564213646468677,-0.5101179957817933,-0.0,-0.6473522202587927,-0.5470273043379125,0.0
2018-11-02,1.0,-0.14863034779932285,-0.6300400123114804,-0.0,-0.6891351184979994,-0.6100646352723914,0.0
