Date,EURN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.37766414239987506,-1.1110937621984542,-0.0,-0.7253883987821063,-0.6893590444218909,0.0
2018-09-25,1.0,-0.3836301155888785,-1.1100437363323963,-0.0,-0.7248125585754452,-0.6865432677288348,0.0
2018-09-26,1.0,-0.391616625456258,-1.1208053691275166,-0.0020801444326700416,-0.7292279916794222,-0.6810706856627026,0.0
2018-09-27,1.0,-0.3911177605417536,-1.1298476317965274,-0.0007086893184771055,-0.73180046458522,-0.6836883341863853,0.0
2018-09-28,1.0,-0.3899846462737687,-1.1303885673792369,-0.0013778985079327584,-0.7315066335971024,-0.6835951340498405,0.0
2018-10-01,1.0,-0.389525948693699,-1.1327186034598258,-0.002127911100602908,-0.7316467667572999,-0.68455688221618,0.0
2018-10-02,1.0,-0.40883534136546185,-1.0966666666666667,-0.02244979919678715,-0.7678714859437752,-0.720281124497992,0.0
2018-10-03,1.0,-0.40837213035800285,-1.090423824048804,-0.021913629796114945,-0.7693851340504094,-0.7234307272435383,0.0
2018-10-04,1.0,-0.4087242666238613,-1.0893294273445966,-0.022593201974397046,-0.7694128977888359,-0.7229423331594366,0.0
2018-10-05,1.0,-0.3902037869062901,-1.084683889602054,-0.0010430038510911425,-0.7896341463414633,-0.745908215661104,0.0
2018-10-08,1.0,-0.38667840845408696,-1.080297814426387,-0.0,-0.7916900168121048,-0.7442158354014892,0.0
2018-10-09,1.0,-0.3894897060001602,-1.0817912360810702,-0.0,-0.7914363534406793,-0.7426900584795322,0.0
2018-10-10,1.0,-0.3986459256871121,-1.0853953413395665,-0.005682276134440235,-0.8013218344482953,-0.7389779962924156,0.0
2018-10-11,1.0,-0.3198688678140733,-1.070444522499317,-0.0,-0.7713772782265932,-0.7410139327947547,0.0
2018-10-12,1.0,-0.3239789044154444,-1.0629787889286677,-0.0,-0.7484698002078761,-0.7141317319166955,0.0
2018-10-15,1.0,-0.30403071017274474,-1.0785796545105566,-0.0,-0.7434165067178503,-0.7127447216890594,0.0
2018-10-16,1.0,-0.2972983359594174,-1.0918104607816763,-0.0,-0.7423619384343415,-0.7116175396794897,0.0
2018-10-17,1.0,-0.2726998150035867,-1.047834786876581,-0.0,-0.7355306376713104,-0.7193340129119946,0.0
2018-10-18,1.0,-0.2731359069275516,-1.0496336027800863,-0.0,-0.7349097227468461,-0.7196494674019793,0.0
2018-10-19,1.0,-0.2549173878835563,-1.0389269791315425,-0.0,-0.7353040350680005,-0.7173953767187442,0.0
2018-10-22,1.0,-0.25503707587446633,-1.0309340124335258,-0.0,-0.7385963598232343,-0.7204703767508053,0.0
2018-10-23,1.0,-0.25814423725005614,-1.031004268703662,-0.0,-0.7361641578671458,-0.7191642327566838,0.0
2018-10-24,1.0,-0.2570002252083177,-1.0379851362510322,-0.0,-0.7384580737181894,-0.7199909916672922,0.0
2018-10-25,1.0,-0.2170691846740512,-0.987252587615762,-0.0,-0.7433085164336299,-0.6841111312874524,0.0
2018-10-26,1.0,-0.20043823413197312,-0.9720535938790904,-0.0,-0.745896045116563,-0.6736951758324652,0.0
2018-10-29,1.0,-0.16123660584998553,-1.0122357370402548,-0.0,-0.7430857225600928,-0.7034824790037649,0.0
2018-10-30,1.0,-0.13527465735994476,-1.0187225069982189,-0.0,-0.750172683316974,-0.7312684044061512,0.0
2018-10-31,1.0,-0.1447554219921069,-0.9921792968608567,-0.0,-0.7542271624606249,-0.7295340164379595,0.0
