Date,GES,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.867485845078906,-3.2680399951813035,-0.8627876159498856,-2.484881339597639,-2.5636670280689073,0.0
2018-09-25,1.0,-1.8673886883273167,-3.26245487364621,-0.8653429602888087,-2.4803850782190136,-2.5580024067388694,0.0
2018-09-26,1.0,-1.8679903730445249,-3.26317689530686,-0.8664259927797834,-2.4800240673886886,-2.556077015643803,0.0
2018-09-27,1.0,-1.883041641520821,-3.255039227519614,-0.8755582377791189,-2.4911285455642727,-2.565359082679542,0.0
2018-09-28,1.0,-1.8811019816336396,-3.262203963267279,-0.8779603673272113,-2.4935959400676655,-2.568269695505075,0.0
2018-10-01,1.0,-1.8820686321894635,-3.2606331561140647,-0.8784436926051232,-2.4939584340260996,-2.5680280328661187,0.0
2018-10-02,1.0,-1.8820828802706295,-3.259393500060409,-0.8799081792920141,-2.4931738552615683,-2.5671136885344934,0.0
2018-10-03,1.0,-1.8922199296031073,-3.2811020754945988,-0.8865153538050733,-2.503095035805316,-2.5745842942104624,0.0
2018-10-04,1.0,-1.891701998788613,-3.268564506359782,-0.8858873410054513,-2.5017565112053304,-2.5660811629315567,0.0
2018-10-05,1.0,-1.8523603082851638,-3.248675337186898,-0.8400770712909441,-2.5143304431599227,-2.5869460500963393,0.0
2018-10-08,1.0,-1.8560038656680355,-3.2558589031166942,-0.8301522106789079,-2.538294273979222,-2.599782556172989,0.0
2018-10-09,1.0,-1.8526747977297429,-3.2561284868977176,-0.8232097572756913,-2.5403936722618043,-2.6035502958579886,0.0
2018-10-10,1.0,-1.8537115268557636,-3.2531080265540133,-0.8245021122510562,-2.5403741701870852,-2.59818949909475,0.0
2018-10-11,1.0,-1.63343540886923,-3.1719405693546556,-0.5522286492004083,-2.420097538845412,-2.5640240444595666,0.0
2018-10-12,1.0,-1.6206781914893615,-3.126440602836879,-0.512854609929078,-2.34197695035461,-2.479609929078014,0.0
2018-10-15,1.0,-1.5749067778021497,-3.1491555165606493,-0.45766615485852163,-2.3193682825180963,-2.4663303355999124,0.0
2018-10-16,1.0,-1.5706134094151214,-3.1699769559969275,-0.4437616591682212,-2.32107977614397,-2.467902995720399,0.0
2018-10-17,1.0,-1.5107457554266064,-3.0618955512572534,-0.37320008596604337,-2.309692671394799,-2.490328820116054,0.0
2018-10-18,1.0,-1.5117179101268543,-3.0640722425284883,-0.37260804128144487,-2.3104708664803266,-2.491507202752096,0.0
2018-10-19,1.0,-1.4636209813874788,-3.0180837563451774,-0.3239213197969543,-2.2954737732656514,-2.47419627749577,0.0
2018-10-22,1.0,-1.4633657094594597,-3.005489864864865,-0.31894003378378377,-2.2957136824324325,-2.4738175675675675,0.0
2018-10-23,1.0,-1.4806077993837,-3.024120709807672,-0.3350334714695569,-2.302305812347253,-2.483901817022633,0.0
2018-10-24,1.0,-1.4770029673590503,-3.0155786350148372,-0.3188851208139042,-2.3010809665112335,-2.4851632047477743,0.0
2018-10-25,1.0,-1.3745510518214472,-2.8997434581836843,-0.24997434581836842,-2.325602873268343,-2.4118009235505387,0.0
2018-10-26,1.0,-1.3142201834862386,-2.8199042680494615,-0.2004387714399681,-2.2890905464698843,-2.3484244116473874,0.0
2018-10-29,1.0,-1.2689382716049382,-2.8356543209876537,-0.15506172839506172,-2.262814814814815,-2.3540740740740738,0.0
2018-10-30,1.0,-1.25103734439834,-2.841039320292432,-0.1402884805374432,-2.2692155700454455,-2.3777909504050583,0.0
2018-10-31,1.0,-1.2366123399301512,-2.764260768335274,-0.13484672099340317,-2.2308886301901434,-2.334594489716725,0.0
2018-11-01,1.0,-1.2132079169116206,-2.8522437781697043,-0.0873015873015873,-2.2699392514207326,-2.375661375661376,0.0
2018-11-02,1.0,-1.2153429428267388,-2.7712102157299023,-0.07023314307826255,-2.268840089000677,-2.348360259262842,0.0
2018-11-05,1.0,-1.2100106702880977,-2.808807837811621,-0.06828984382578329,-2.2778155010185275,-2.335241051508391,0.0
2018-11-06,1.0,-1.2116130283055448,-2.8085498255137646,-0.06775882124854594,-2.2746219464908877,-2.33113609926328,0.0
2018-11-07,1.0,-1.2055179090029042,-2.8061955469506294,-0.07357212003872217,-2.268247821878025,-2.3270087124878995,0.0
2018-11-08,1.0,-1.1546182800887945,-2.8463468777145065,-0.0,-2.2776759000096516,-2.3728404594151145,0.0
2018-11-09,1.0,-1.1543812192058738,-2.849000096609023,-0.0,-2.28238817505555,-2.3750362283837307,0.0
