Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WMB
2018-09-24,-0.26551024064011464,-0.6891084970442467,-0.0,-0.5087478354332119,-0.5222427897533887,0.0,1.0
2018-09-25,-0.2646013204672422,-0.6900486959639112,-0.0,-0.5094553819496309,-0.5233770501598303,0.0,1.0
2018-09-26,-0.2631815055178395,-0.6896252654245297,-0.0,-0.5104524927475551,-0.5274695696384245,0.0,1.0
2018-09-27,-0.26461446503287506,-0.686252241482367,-0.0,-0.5104602510460251,-0.5273161984459056,0.0,1.0
2018-09-28,-0.265853439770383,-0.685681824976829,-0.0,-0.510748348132867,-0.5275211528687177,0.0,1.0
2018-10-01,-0.2665271341007624,-0.6849454328001195,-0.0,-0.5110778890716101,-0.5274330991179548,0.0,1.0
2018-10-02,-0.2752469895798925,-0.6626527731899944,-0.0,-0.5244587249632143,-0.5405543377075764,0.0,1.0
2018-10-03,-0.27464281426341697,-0.6562612558530435,-0.0,-0.526413735142274,-0.5442730219714251,0.0,1.0
2018-10-04,-0.27430837163197264,-0.6582259469526298,-0.0,-0.5256976359977171,-0.5456129284190923,0.0,1.0
2018-10-05,-0.26178151461655846,-0.651925436103049,-0.0,-0.5282008318123336,-0.550222913736872,0.0,1.0
2018-10-08,-0.2593864810776905,-0.6490337226320978,-0.0,-0.5293766241524538,-0.5491502135667136,0.0,1.0
2018-10-09,-0.2568108495638667,-0.6489126538415582,-0.0,-0.5303799737125104,-0.5511112438762098,0.0,1.0
2018-10-10,-0.2575924985815391,-0.6481918356377102,-0.0,-0.5308627228476722,-0.5495565443306357,0.0,1.0
2018-10-11,-0.20111764363467022,-0.6390069270621107,-0.0,-0.5123115431631644,-0.5580941847604634,0.0,1.0
2018-10-12,-0.2002190706791191,-0.633921365156232,-0.0,-0.5014412544678889,-0.5469272454744609,0.0,1.0
2018-10-15,-0.18440124237892558,-0.6468422868975038,-0.0,-0.4978143333716784,-0.5468192798803636,0.0,1.0
2018-10-16,-0.18056034978713614,-0.6533770567253481,-0.0,-0.4968070417673455,-0.5457657346680475,0.0,1.0
2018-10-17,-0.16302096632337504,-0.6227196640848867,-0.0,-0.49530456492751157,-0.5560756943853378,0.0,1.0
2018-10-18,-0.1626290706910246,-0.6221207307386815,-0.0,-0.4958583910132759,-0.5561386587995008,0.0,1.0
2018-10-19,-0.14934077079107505,-0.613280369619112,-0.0,-0.49760536398467436,-0.5569923371647509,0.0,1.0
