Date,DENN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4233678269049859,-0.929332079021637,-0.0710442144873001,-0.7102163687676387,-0.6289746001881468,0.0
2018-09-25,1.0,-0.4228053615253918,-0.9352841230885408,-0.06720785350198226,-0.7152727959222202,-0.635151972814801,0.0
2018-09-26,1.0,-0.42248413417951036,-0.9352901178603807,-0.06561650045330915,-0.7162662435781203,-0.6379193109700816,0.0
2018-09-27,1.0,-0.42832841914266273,-0.9251530959401225,-0.06910108112194753,-0.7183412716413398,-0.6392606033114085,0.0
2018-09-28,1.0,-0.43941934008991845,-0.929322563438238,-0.06865808123142574,-0.7264726053493865,-0.6462318067515049,0.0
2018-10-01,1.0,-0.4406200836498983,-0.9420590153869767,-0.06979778212654925,-0.7315528951306549,-0.6531215225816354,0.0
2018-10-02,1.0,-0.4429743113587125,-0.978180129990715,-0.061590838749613123,-0.7328226555246055,-0.6532033426183844,0.0
2018-10-03,1.0,-0.44658759478903365,-0.9939335018471709,-0.06365934279603344,-0.7336573984055998,-0.6509041415516236,0.0
2018-10-04,1.0,-0.4520873049838541,-0.9864218184647707,-0.06458390071197916,-0.7409640897949656,-0.6465782204411937,0.0
2018-10-05,1.0,-0.4401765662510648,-0.9804847827770464,-0.05138232788662588,-0.74699914814528,-0.653024084256176,0.0
2018-10-08,1.0,-0.43829309811203965,-0.9775998142989788,-0.0455354379449087,-0.7536366450015476,-0.6537062828845559,0.0
2018-10-09,1.0,-0.43585155216680926,-0.9858787831634637,-0.030809927643351744,-0.7673694857231774,-0.6701937290904847,0.0
2018-10-10,1.0,-0.43934260232893246,-0.9851228726097286,-0.03380457218522413,-0.770339214082642,-0.6659267048331191,0.0
2018-10-11,1.0,-0.35169523809523806,-0.9959238095238094,-0.0,-0.7605333333333334,-0.7013333333333334,0.0
2018-10-12,1.0,-0.35469476526173693,-0.9850007499625021,-0.0,-0.7367631618419079,-0.6733913304334783,0.0
2018-10-15,1.0,-0.3483129236415384,-0.9888776541961578,-0.0,-0.7353855372055574,-0.6723214620080141,0.0
2018-10-16,1.0,-0.34020657276995303,-1.0078497652582161,-0.0,-0.7355117370892019,-0.672300469483568,0.0
2018-10-17,1.0,-0.31226244510867557,-0.9594080962397136,-0.0,-0.73209343518211,-0.6864090925864423,0.0
2018-10-18,1.0,-0.31131308652922485,-0.9578068425330674,-0.0,-0.7371979605409,-0.6883174462425182,0.0
2018-10-19,1.0,-0.2938291486714003,-0.9448429836761583,-0.0,-0.7366591025547178,-0.6847229338994216,0.0
2018-10-22,1.0,-0.2938055687680656,-0.9363726171746368,-0.0,-0.740441257180491,-0.6882660714939081,0.0
2018-10-23,1.0,-0.3072901325478645,-0.9449926362297496,-0.0,-0.7391016200294551,-0.690500736377025,0.0
2018-10-24,1.0,-0.30533985941927644,-0.9450189526368086,-0.0,-0.7393000404813601,-0.6904647996172671,0.0
2018-10-25,1.0,-0.2694939895748378,-0.8913513705187759,-0.0,-0.7335910074110847,-0.6515017197971704,0.0
2018-10-26,1.0,-0.2572320207580911,-0.8766085767383148,-0.0,-0.731582453802728,-0.6410112556541253,0.0
2018-10-29,1.0,-0.23694303047207307,-0.8836552541663761,-0.0,-0.7217069939334774,-0.6442019384980127,0.0
