Date,GAB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18208785660186821,-0.2702600353446099,-0.08053521837919717,-0.29039383993940926,-0.28056887991248003,0.0
2018-09-25,1.0,-0.1823976103830539,-0.26990470981720277,-0.08111234986011485,-0.29005658511958604,-0.28004375354971706,0.0
2018-09-26,1.0,-0.18213759730696402,-0.269703345255628,-0.08028613507258574,-0.2904270986745213,-0.2814012202819272,0.0
2018-09-27,1.0,-0.18317737356744823,-0.26686994006939335,-0.08108505940489959,-0.29040058879192515,-0.2812743139522658,0.0
2018-09-28,1.0,-0.18164033740718147,-0.26855844674898505,-0.08142788026672838,-0.2904562569679632,-0.2814741580596984,0.0
2018-10-01,1.0,-0.18269635491202962,-0.26782557454331174,-0.08117265763111373,-0.2912492634060106,-0.2815893593736846,0.0
2018-10-02,1.0,-0.18346171654670201,-0.261186176705813,-0.08357536726017595,-0.29294523719324833,-0.28349539083217573,0.0
2018-10-03,1.0,-0.18338488731771985,-0.2595795719967174,-0.08341224249310861,-0.2934368621509585,-0.28445173915788147,0.0
2018-10-04,1.0,-0.18424706525855178,-0.2579837589935625,-0.08362435309462701,-0.2944839483317204,-0.28339714730508686,0.0
2018-10-05,1.0,-0.18538155652338573,-0.2591891266384733,-0.08331755349365651,-0.29396789328620426,-0.28214353342170045,0.0
2018-10-08,1.0,-0.18595293770671387,-0.26052792348690723,-0.08386525943247171,-0.29364427310455243,-0.28266868903916237,0.0
2018-10-09,1.0,-0.18475283408487503,-0.26092544987146526,-0.08063972354502928,-0.2955244637363564,-0.2852627586497535,0.0
2018-10-10,1.0,-0.18429818273812035,-0.26181641860269006,-0.07975291984652359,-0.2956107433486529,-0.28669308934519544,0.0
2018-10-11,1.0,-0.18348797576216624,-0.2605777525300343,-0.07725809505775422,-0.2964716278482611,-0.2861831723789686,0.0
2018-10-12,1.0,-0.183110105011633,-0.258420843027521,-0.07556226288540946,-0.2949129095139282,-0.2840344589071244,0.0
2018-10-15,1.0,-0.18180104712041886,-0.25962303664921466,-0.07369633507853403,-0.2949319371727749,-0.2841884816753927,0.0
2018-10-16,1.0,-0.1805840700548875,-0.2651778606444044,-0.06963589893995893,-0.29532408765240714,-0.2842418401977626,0.0
2018-10-17,1.0,-0.17688929589776675,-0.2560825858014028,-0.06645576206631007,-0.2949819967948051,-0.2868649447416072,0.0
2018-10-18,1.0,-0.17609840364642954,-0.25483380856244925,-0.0671425895477345,-0.2962515869877412,-0.28698982246550253,0.0
2018-10-19,1.0,-0.17412326208757004,-0.25231375804108735,-0.06503423946876946,-0.2967835650549907,-0.2868644947084457,0.0
2018-10-22,1.0,-0.17556602403137775,-0.248988316350883,-0.06113682113433083,-0.29999792475148895,-0.28955942474111274,0.0
2018-10-23,1.0,-0.17517490502190206,-0.24935124250036328,-0.05997633332641325,-0.3011895617513338,-0.2903111959974257,0.0
2018-10-24,1.0,-0.17493618875677022,-0.2491232438938347,-0.059453402228724396,-0.30133432941127647,-0.2903152171657432,0.0
2018-10-25,1.0,-0.17381849811539576,-0.24762871225614047,-0.05809137224040094,-0.3017023567907882,-0.2897527233566665,0.0
2018-10-26,1.0,-0.1710195156166192,-0.24514172546107194,-0.05448281552997483,-0.3041217972521352,-0.2881957337954367,0.0
2018-10-29,1.0,-0.1727064362262281,-0.2439240950670053,-0.05449214313737637,-0.30615953251151173,-0.28761692374403763,0.0
2018-10-30,1.0,-0.1773740129811071,-0.24393319277357478,-0.05721608995824549,-0.3056761337798173,-0.2828558435652569,0.0
2018-10-31,1.0,-0.17857069281638202,-0.23763416493273726,-0.05799221276858738,-0.30477328443995794,-0.2811643765064584,0.0
2018-11-01,1.0,-0.1818069306930693,-0.2341996699669967,-0.0611592409240924,-0.3045792079207921,-0.2809612211221122,0.0
2018-11-02,1.0,-0.18195128993009013,-0.2336309830690231,-0.061124744798003755,-0.3047163391144749,-0.2808356189808418,0.0
2018-11-05,1.0,-0.17711498315454413,-0.2513383352969141,-0.05992021661396002,-0.3085095388685641,-0.2700440255472189,0.0
2018-11-06,1.0,-0.17739101676347174,-0.25153475681597387,-0.059922693730750945,-0.30833626160110794,-0.269848487980322,0.0
2018-11-07,1.0,-0.17753705579558846,-0.25160730159386435,-0.05968205403840986,-0.30849854257540366,-0.2699439770119695,0.0
2018-11-08,1.0,-0.17772310999937982,-0.25144192007938315,-0.059475327145308336,-0.30887065098298633,-0.2697579228081781,0.0
2018-11-09,1.0,-0.17705792367800885,-0.251395377682226,-0.059949559680820275,-0.309257038905197,-0.2695662959441022,0.0
2018-11-12,1.0,-0.17703842742517686,-0.24609640890245663,-0.059817247994059526,-0.3111940760297849,-0.2685175635816093,0.0
