Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WERN
2018-09-24,-0.483959708820044,-1.2201201963771797,-0.07622312510580669,-0.7255374978838667,-0.7264685965803285,0.0,1.0
2018-09-25,-0.48432276900943594,-1.2193966064401471,-0.07701095925189354,-0.724960859814666,-0.7256801929505353,0.0,1.0
2018-09-26,-0.48432276900943594,-1.2195235475817712,-0.07696864553801887,-0.724960859814666,-0.7255955655227859,0.0,1.0
2018-09-27,-0.49009565732667404,-1.2084991111487344,-0.08063150766105139,-0.7267840514687209,-0.7266147464657581,0.0,1.0
2018-09-28,-0.48929236499068907,-1.208650753343491,-0.08121719993228373,-0.7265109192483494,-0.7265109192483494,0.0,1.0
2018-10-01,-0.48956790384696774,-1.2080494307842058,-0.08151000888738415,-0.7265648144229548,-0.7264378517922891,0.0,1.0
2018-10-02,-0.4934723635130553,-1.1859528653780942,-0.09011529331976942,-0.7344438792811123,-0.7347405900305188,0.0,1.0
2018-10-03,-0.4939145922564777,-1.1879055171536406,-0.09079343539290106,-0.73415037530215,-0.7339383401891354,0.0,1.0
2018-10-04,-0.49393502417507845,-1.1878446008991432,-0.0914411739757401,-0.7338620748155059,-0.7342013741623549,0.0,1.0
2018-10-05,-0.4807399898631526,-1.1834347018077378,-0.07653319817536747,-0.7402432843385707,-0.7426930224700118,0.0,1.0
2018-10-08,-0.48051015667891384,-1.1838760082773767,-0.07572110308712361,-0.7403606571223447,-0.742683390345876,0.0,1.0
2018-10-09,-0.4786888015883074,-1.1849364254636083,-0.07071347104296034,-0.7432095636378998,-0.7466311832044945,0.0,1.0
2018-10-10,-0.47928719226384026,-1.1841560744900976,-0.07136522950888897,-0.7434229973396395,-0.7445631518939234,0.0,1.0
2018-10-11,-0.42171737882391536,-1.1874846223242845,-0.0,-0.7283687361600919,-0.763142786844911,0.0,1.0
2018-10-12,-0.4264670174018616,-1.1813435855928776,-0.0,-0.7033184945366249,-0.7358154593282072,0.0,1.0
2018-10-15,-0.3927734217120686,-1.215099830248161,-0.0,-0.6967504647967019,-0.737086735106297,0.0,1.0
2018-10-16,-0.3843130899809586,-1.2339666977271808,-0.0,-0.6964712555199936,-0.7366203459871167,0.0,1.0
2018-10-17,-0.3606498626209533,-1.1918130052164218,-0.0,-0.6878509138693106,-0.7416875721737746,0.0,1.0
2018-10-18,-0.36049058256679806,-1.191972285270577,-0.0,-0.6878509138693106,-0.7416875721737746,0.0,1.0
2018-10-19,-0.34507571264776815,-1.1849523583600206,-0.0,-0.6852488830901831,-0.7383861147353024,0.0,1.0
2018-10-22,-0.34874235214140037,-1.1699524133242691,-0.0,-0.7146798896309032,-0.7655456472187787,0.0,1.0
2018-10-23,-0.35761217948717955,-1.1729967948717948,-0.0,-0.7111378205128205,-0.7646233974358975,0.0,1.0
2018-10-24,-0.35527000520395496,-1.1687682638805492,-0.0,-0.7117409231015572,-0.7672631199711781,0.0,1.0
2018-10-25,-0.3171440753517578,-1.1189193379588356,-0.0,-0.7097174309081747,-0.7303771464010232,0.0,1.0
2018-10-26,-0.29682466635987115,-1.1029298972235007,-0.0,-0.7154471544715447,-0.7197422917625403,0.0,1.0
2018-10-29,-0.29157245238186486,-1.1063120377112634,-0.0,-0.714866056030353,-0.7196566128846817,0.0,1.0
2018-10-30,-0.28570334048421697,-1.106114005516396,-0.0,-0.7148712840943917,-0.7241802022678517,0.0,1.0
2018-10-31,-0.28630404036542945,-1.1010664729941515,-0.0,-0.7130843622185695,-0.7220289744275831,0.0,1.0
2018-11-01,-0.25492224009806175,-1.131578947368421,-0.0,-0.7167700911667816,-0.7272657626599249,0.0,1.0
2018-11-02,-0.2602223406685449,-1.101956902459453,-0.0,-0.7238254778040052,-0.7211985075763344,0.0,1.0
2018-11-05,-0.25666007002587915,-1.1116227736337343,-0.0,-0.7243492160146141,-0.7131222408281321,0.0,1.0
2018-11-06,-0.2561008109034149,-1.1107092549586934,-0.0,-0.7254730269920432,-0.7147371226253473,0.0,1.0
2018-11-07,-0.2553353368585232,-1.1106630653935405,-0.0,-0.7240080648229162,-0.7141552858827558,0.0,1.0
2018-11-08,-0.2226079082402656,-1.1145110172049502,-0.0,-0.713816782372472,-0.7220796860851192,0.0,1.0
2018-11-09,-0.22224318104651603,-1.1141962500471574,-0.0,-0.7143773342890558,-0.7217716074999058,0.0,1.0
2018-11-12,-0.22160821021766097,-1.0941693921281153,-0.0,-0.7242208939513551,-0.7192210819142136,0.0,1.0
2018-11-13,-0.19087926019837423,-1.0939294503691552,-0.0,-0.7277574763218735,-0.7162726526959506,0.0,1.0
2018-11-14,-0.1909165485867701,-1.0939294503691552,-0.0,-0.7277574763218735,-0.7162353643075547,0.0,1.0
2018-11-15,-0.19056857185494702,-1.0992016116997463,-0.0,-0.7362707058647963,-0.7047455603641248,0.0,1.0
2018-11-16,-0.18833029434748633,-1.0914672719830312,-0.0,-0.734194172589588,-0.7072526327540654,0.0,1.0
2018-11-19,-0.19059313834933395,-1.0907196546848255,-0.0,-0.7329761107390043,-0.7067797871548709,0.0,1.0
2018-11-20,-0.11493523461122102,-1.092052708201127,-0.0,-0.7603120683862779,-0.7656127515024823,0.0,1.0
2018-11-21,-0.11557119052027402,-1.0868728013330864,-0.0,-0.7554526939455656,-0.7450842436585817,0.0,1.0
2018-11-23,-0.11622571692876967,-1.0827012025901943,-0.0,-0.7563737280296022,-0.744976873265495,0.0,1.0
2018-11-26,-0.1158171191832507,-1.0839683361692682,-0.0,-0.7553081305023304,-0.7439520603684249,0.0,1.0
2018-11-27,-0.10651453809348546,-1.0863084284136917,-0.0,-0.7495767390504233,-0.7381670960618328,0.0,1.0
2018-11-28,-0.10455081870482372,-1.1000885086295913,-0.0,-0.7463490190293554,-0.7368712199439444,0.0,1.0
2018-11-29,-0.0820563339171045,-1.0870183887915936,-0.0,-0.7409880326911851,-0.7384705195563339,0.0,1.0
2018-11-30,-0.08086676898341007,-1.0887597749031643,-0.0,-0.7417963896806256,-0.7427464737265219,0.0,1.0
2018-12-03,-0.08102181778313781,-1.0888060519679859,-0.0,-0.7418777180864672,-0.7428644519972226,0.0,1.0
2018-12-04,-0.06668861574480539,-1.1030509218612818,-0.0,-0.7422446590576529,-0.7461589113257244,0.0,1.0
2018-12-06,-0.05519306877740935,-1.052768567048169,-0.0,-0.7377259599957215,-0.7197204692123935,0.0,1.0
2018-12-07,-0.06565873186074773,-1.0542569161484023,-0.0,-0.7404031739223677,-0.7138823361212382,0.0,1.0
2018-12-10,-0.05022895885840048,-1.0563345284157466,-0.0,-0.7383479464697738,-0.704873806396649,0.0,1.0
2018-12-11,-0.07002421997435532,-1.0530346203162844,-0.0,-0.7486465308448497,-0.690091181079926,0.0,1.0
2018-12-12,-0.07208523375142532,-1.0528435005701255,-0.0,-0.7497862029646523,-0.6885689851767388,0.0,1.0
2018-12-13,-0.0715735498344194,-1.0477869173521348,-0.0,-0.7552255813125378,-0.6862870775914254,0.0,1.0
2018-12-14,-0.06994827893704299,-1.0568574995541289,-0.0,-0.7523096129837703,-0.6878544676297486,0.0,1.0
2018-12-17,-0.06325644311547772,-1.0572760928378186,-0.0,-0.7483981204613414,-0.6907660543927097,0.0,1.0
2018-12-18,-0.038570151921358355,-1.0535478105451295,-0.0,-0.7655764075067024,-0.7168900804289544,0.0,1.0
2018-12-19,-0.03700260984591183,-1.0540917378713668,-0.0,-0.7665796718029387,-0.7174216152443601,0.0,1.0
2018-12-20,-0.03553263382536013,-1.0396941134625646,-0.0,-0.7703716877111861,-0.7111861995376133,0.0,1.0
2018-12-21,-0.02945236999539806,-1.0431165704980707,-0.0,-0.7754256787850897,-0.6919536974760169,0.0,1.0
2018-12-24,-0.01188550530979675,-1.026830297489275,-0.0,-0.771186440677966,-0.7065194458119417,0.0,1.0
2018-12-26,-0.011746253049843152,-1.0382363192750088,-0.0,-0.744719414430115,-0.6908678982223772,0.0,1.0
2018-12-27,-0.0,-0.9962691583759075,-0.0,-0.6705095455767679,-0.6943398763108363,0.0,1.0
2018-12-28,-0.0,-0.999160341237321,-0.0,-0.6683347887418553,-0.69117350708672,0.0,1.0
2018-12-31,-0.0,-0.9987573050312354,-0.0,-0.6685363068448983,-0.6913750251897629,0.0,1.0
2019-01-02,-0.0,-0.9992605290578468,-0.0,-0.6659944203556183,-0.6959429935128232,0.0,1.0
2019-01-03,-0.0,-1.0003028467595396,-0.0,-0.6627296587926509,-0.7019314893330642,0.0,1.0
