Date,AMH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21497452908423176,-0.48008529795047983,-0.0,-0.36912688070133876,-0.30520080559175455,0.0
2018-09-25,1.0,-0.21188137694288164,-0.48641174787832553,-0.0,-0.37396300181176695,-0.31167159340135403,0.0
2018-09-26,1.0,-0.21167187164755522,-0.4863041457076787,-0.0,-0.373995756549932,-0.31198893842229475,0.0
2018-09-27,1.0,-0.20974133583111176,-0.49948363234623044,-0.0,-0.37718855825347647,-0.31527247400148906,0.0
2018-09-28,1.0,-0.20694223635400105,-0.5055643879173292,-0.0,-0.37905284964108493,-0.31729055258467026,0.0
2018-10-01,1.0,-0.20665554185107257,-0.5112820140753102,-0.0,-0.3805412464630341,-0.31995937023869986,0.0
2018-10-02,1.0,-0.20503230193811628,-0.5284645650167582,-0.0,-0.37802982464662166,-0.3171904599990285,0.0
2018-10-03,1.0,-0.2060325954755534,-0.5332279250790561,-0.0,-0.3775966918024811,-0.3156409632692775,0.0
2018-10-04,1.0,-0.2143363394188235,-0.5274824645013075,-0.0,-0.38952024830754944,-0.31263289097441166,0.0
2018-10-05,1.0,-0.2029440389294404,-0.5214841849148418,-0.0,-0.3923844282238443,-0.31627737226277375,0.0
2018-10-08,1.0,-0.200908362276249,-0.5190051732931775,-0.0,-0.3936074612003012,-0.3152794306948729,0.0
2018-10-09,1.0,-0.19640077821011673,-0.5195282101167314,-0.0,-0.39632782101167313,-0.3196741245136187,0.0
2018-10-10,1.0,-0.19691260483772943,-0.5190227300352498,-0.0,-0.39662088246019206,-0.31846359547830316,0.0
2018-10-11,1.0,-0.15410294048013637,-0.5112694729864103,-0.0,-0.3814811307353568,-0.3206827974809413,0.0
2018-10-12,1.0,-0.14985461336611428,-0.5129193163282192,-0.0,-0.3818585849034302,-0.31937779248717524,0.0
2018-10-15,1.0,-0.13254859407435363,-0.5286138894130968,-0.0,-0.3784204566899415,-0.31932911870164177,0.0
2018-10-16,1.0,-0.1279072513045737,-0.5372718471818847,-0.0,-0.3775825836461949,-0.3184576515312507,0.0
2018-10-17,1.0,-0.11947305724896644,-0.5215004788265246,-0.0,-0.37455912923644685,-0.3202064793403872,0.0
2018-10-18,1.0,-0.11903872203278995,-0.5207389415666308,-0.0,-0.37540286795273015,-0.320285861086459,0.0
2018-10-19,1.0,-0.10701945597476983,-0.5130208937226074,-0.0,-0.37849871298379056,-0.3204322519305243,0.0
2018-10-22,1.0,-0.10706419678668305,-0.5086592632091439,-0.0,-0.38040479447290937,-0.32228224329399763,0.0
2018-10-23,1.0,-0.10374331550802139,-0.5105789351313648,-0.0,-0.38518949081608933,-0.3255521971634504,0.0
2018-10-24,1.0,-0.1031353520272477,-0.5072551672654318,-0.0,-0.38995940838893295,-0.3325012830681659,0.0
2018-10-25,1.0,-0.0783359854512389,-0.4785178449647647,-0.0,-0.4027051602636963,-0.3136621959536258,0.0
2018-10-26,1.0,-0.07499603973839644,-0.47434881984204214,-0.0,-0.40265676978433546,-0.31098237117834754,0.0
2018-10-29,1.0,-0.07294399710485841,-0.4749841671944268,-0.0,-0.40357821405953137,-0.31032298923369217,0.0
2018-10-30,1.0,-0.05834900636740613,-0.47721556275633914,-0.0,-0.4061317441254447,-0.32428451655298995,0.0
2018-10-31,1.0,-0.06081568273997297,-0.4663587201442091,-0.0,-0.4047093285263632,-0.3213609734114466,0.0
