Date,GSKY,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-24,1.0,-0.8281959609624118,-2.0672528746738816,-0.6793893129770993,-2.5467194898057786,-2.541018455889458,0.0
2019-01-25,1.0,-0.8253523846302374,-2.0612087275535815,-0.6860397760185364,-2.5493338482332497,-2.532438694728712,0.0
2019-01-28,1.0,-0.8092813220599538,-2.0408339738662566,-0.6930245964642582,-2.54467717140661,-2.5200807071483475,0.0
2019-01-29,1.0,-0.7967386091127098,-2.0428776978417265,-0.682589928057554,-2.545515587529976,-2.5246043165467627,0.0
2019-01-30,1.0,-0.7953956834532374,-2.0428776978417265,-0.6822062350119905,-2.545803357314149,-2.5260431654676263,0.0
2019-01-31,1.0,-0.7503586800573888,-2.061501673840268,-0.6502152080344332,-2.5385939741750354,-2.564131994261119,0.0
2019-02-01,1.0,-0.7372590188967361,-2.057930902844054,-0.6464974231723611,-2.5357892727619773,-2.5663294521855313,0.0
2019-02-04,1.0,-0.7390018131501097,-2.0577345166523524,-0.6461494417406242,-2.5359290008588604,-2.5640805420364536,0.0
2019-02-05,1.0,-0.7256713007046277,-2.041801561607313,-0.6554941915825557,-2.5303751666349266,-2.5686535897924205,0.0
2019-02-06,1.0,-0.7232057871692367,-2.041785646297354,-0.6567675613934895,-2.5282695602512852,-2.568341899866743,0.0
2019-02-07,1.0,-0.7234913382828859,-2.0415952788882543,-0.6573386636207881,-2.5276984580239863,-2.568246716162193,0.0
2019-02-08,1.0,-0.7080768866584604,-2.037023009184736,-0.6625319572010226,-2.517564624562068,-2.5436985133983523,0.0
2019-02-11,1.0,-0.7099099099099099,-2.0412517780938835,-0.6668563300142247,-2.523091512565197,-2.542152678994784,0.0
2019-02-12,1.0,-0.7089580565572214,-2.0455494401214653,-0.6658758777756689,-2.5247675080660468,-2.544315809451509,0.0
2019-02-13,1.0,-0.7129766479456103,-2.128682628830427,-0.7016454823135284,-2.6492265247807665,-2.66065622228791,0.0
2019-02-14,1.0,-0.7128089002658267,-2.12710445997834,-0.7028650191985822,-2.6465491779068624,-2.6560992419021368,0.0
2019-02-15,1.0,-0.7125135374618491,-2.1290735453381906,-0.7028650191985822,-2.64566308949493,-2.655410062026189,0.0
2019-02-19,1.0,-0.7335820162952783,-2.0969863551585353,-0.7012859526847943,-2.642485520761755,-2.641994699126337,0.0
2019-02-20,1.0,-0.7354268891069676,-2.095485770363101,-0.7023552502453385,-2.641315014720314,-2.638861629048086,0.0
2019-02-21,1.0,-0.7351844583987441,-2.0931122448979593,-0.7029042386185244,-2.641679748822606,-2.638736263736264,0.0
2019-02-22,1.0,-0.7313988824625036,-2.0908734437800214,-0.7098323693755514,-2.638564846583668,-2.6322909518674638,0.0
2019-02-25,1.0,-0.7227005870841486,-2.0837573385518593,-0.7071428571428572,-2.6380626223091976,-2.632876712328767,0.0
