Date,BXS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18809318377911993,-0.6511174817000195,-0.157672075482201,-0.39386011300064017,-0.3924963121712266,0.0
2018-09-25,1.0,-0.18681410739716847,-0.6560554019714614,-0.15336069922649465,-0.39822959425874727,-0.39797827483175563,0.0
2018-09-26,1.0,-0.18729405194079868,-0.6566880759564369,-0.15450991343200224,-0.39790561295727456,-0.39614632784138515,0.0
2018-09-27,1.0,-0.18636808957312806,-0.6630090972708187,-0.1531140657802659,-0.3991882435269419,-0.39748075577326797,0.0
2018-09-28,1.0,-0.18430043687689032,-0.6653411000336059,-0.15355102498039655,-0.3994062955080094,-0.39786602442029795,0.0
2018-10-01,1.0,-0.18519970869979271,-0.6645005882023416,-0.15340877261778052,-0.3999495826564338,-0.3979048792784718,0.0
2018-10-02,1.0,-0.18599114994678764,-0.6584607628969922,-0.15554808715622023,-0.40124908978883106,-0.39940066095334115,0.0
2018-10-03,1.0,-0.1861416087833296,-0.6584976473224289,-0.15566883262379563,-0.4012155500784225,-0.3993110015684517,0.0
2018-10-04,1.0,-0.18459502829312238,-0.6692379155992229,-0.1551195067706427,-0.39951014892598746,-0.40677345795444947,0.0
2018-10-05,1.0,-0.17631379590920568,-0.6668163070620914,-0.14904183384304592,-0.40259813136556216,-0.4109873460340619,0.0
2018-10-08,1.0,-0.17493136101305543,-0.6648176164061187,-0.1468033843222951,-0.4044657365383538,-0.4105451896677313,0.0
2018-10-09,1.0,-0.17435638849203014,-0.6650418802700507,-0.1456705045241897,-0.4049920161358097,-0.4112950668123372,0.0
2018-10-10,1.0,-0.17494679063515178,-0.6642209028789067,-0.1466338075501288,-0.4053153354990478,-0.40937605018483253,0.0
2018-10-11,1.0,-0.14117776011837888,-0.667826706491656,-0.10903460937714082,-0.3993094566081166,-0.42290302249746525,0.0
2018-10-12,1.0,-0.1370440303204444,-0.6717839257860604,-0.1056016200093041,-0.39933776646690206,-0.4227348603015626,0.0
2018-10-15,1.0,-0.11462319997797296,-0.7251025633965692,-0.06803601420743963,-0.4080784162559542,-0.4375395798342465,0.0
2018-10-16,1.0,-0.11225785087477234,-0.7405761907390033,-0.057398311165075336,-0.41039792483028864,-0.43890391301948234,0.0
2018-10-17,1.0,-0.10022922010587786,-0.7137204606232603,-0.0422692790481908,-0.41622550892321125,-0.4563663155596791,0.0
2018-10-18,1.0,-0.09864772572052999,-0.7116787324136048,-0.04370987570004098,-0.4202977735282065,-0.45756044256249145,0.0
2018-10-19,1.0,-0.10659630606860158,-0.7356200527704485,-0.041188723788362726,-0.4279127898902931,-0.4661019302874601,0.0
2018-10-22,1.0,-0.10538648218918241,-0.7475243381963235,-0.05062902730899049,-0.4233311947334654,-0.4625791514407655,0.0
2018-10-23,1.0,-0.10392162367010077,-0.7545125340369987,-0.040114532745698005,-0.4365718777194509,-0.47205457148471497,0.0
2018-10-24,1.0,-0.10480974295656079,-0.7523852284206982,-0.033673812998091815,-0.43933101358177123,-0.4759512852171961,0.0
2018-10-25,1.0,-0.0843102264927934,-0.7285380919698009,-0.031187371310912836,-0.442745367192862,-0.45855868222374746,0.0
2018-10-26,1.0,-0.08706782646994055,-0.7297401453424356,-0.033582911253027974,-0.4423309843646774,-0.4600033032371725,0.0
2018-10-29,1.0,-0.07336881962355266,-0.7418921143609725,-0.0225813532349229,-0.4377983866542282,-0.46817209021566153,0.0
2018-10-30,1.0,-0.052979582803076415,-0.7540253416698943,-0.0031815415260333093,-0.45252586731588557,-0.5038455154097272,0.0
2018-10-31,1.0,-0.05631361760660247,-0.7384594222833563,-0.004621733149931225,-0.45127922971114165,-0.5003576341127923,0.0
2018-11-01,1.0,-0.04112000440080314,-0.7538300739885029,-0.0,-0.45300767390048685,-0.5025167092994471,0.0
2018-11-02,1.0,-0.04281169436673798,-0.7446931051505677,-0.0,-0.45466513082112886,-0.5003839613844551,0.0
2018-11-05,1.0,-0.04261620732208968,-0.7451803098861923,-0.0,-0.45465514877279584,-0.49987659399424106,0.0
2018-11-06,1.0,-0.047227250287971034,-0.7487521255005211,-0.0,-0.4516208655586638,-0.4950085020020844,0.0
2018-11-07,1.0,-0.047137216189536035,-0.7486837775584073,-0.0,-0.45140945486453876,-0.4948996380388286,0.0
2018-11-08,1.0,-0.020611248943537174,-0.7547915701082363,-0.0,-0.44605905286403663,-0.5048665448894463,0.0
2018-11-09,1.0,-0.019827633229695087,-0.7550046364479355,-0.0,-0.44763541155293735,-0.5048546337206131,0.0
2018-11-12,1.0,-0.019055644657079946,-0.7451001712561504,-0.0,-0.4512735477206622,-0.5029494114768804,0.0
2018-11-13,1.0,-0.0,-0.7448646314141495,-0.0,-0.45301913785191783,-0.5013631333171377,0.0
2018-11-14,1.0,-0.0,-0.7445527445527446,-0.0,-0.454005454005454,-0.5014175014175014,0.0
2018-11-15,1.0,-0.0,-0.7447457169836774,-0.0,-0.4539862403885067,-0.49923108053419674,0.0
2018-11-16,1.0,-0.0,-0.7503925071734069,-0.0,-0.45728439174922847,-0.49916084673271616,0.0
2018-11-19,1.0,-0.0016782156777825899,-0.7498646600259853,-0.0,-0.45639346037245565,-0.4988360762234734,0.0
2018-11-20,1.0,-0.0,-0.734840504551225,-0.0,-0.4484779731518245,-0.5177052102746941,0.0
2018-11-21,1.0,-0.0,-0.7332385754130015,-0.0,-0.4487502681827934,-0.4998390903239648,0.0
2018-11-23,1.0,-0.0,-0.726261922623513,-0.0,-0.4521755438859715,-0.5008305647840532,0.0
2018-11-26,1.0,-0.0,-0.7289747160917077,-0.0,-0.4503696164559674,-0.49903578315834585,0.0
2018-11-27,1.0,-0.0,-0.7291560718396188,-0.0,-0.44921174486764276,-0.4981933031771098,0.0
2018-11-28,1.0,-0.0,-0.7339456911788335,-0.0,-0.4470301537143163,-0.49697391676932146,0.0
2018-11-29,1.0,-0.0,-0.7211747835785224,-0.0,-0.437941473259334,-0.4963619947952626,0.0
