Date,CAPL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.628912807346697,-1.314950133307001,-0.0,-1.039152759948652,-0.9543300088871334,0.0
2018-09-25,1.0,-0.6295162882527147,-1.3141658440276407,-0.0,-1.0385982230997037,-0.9535538005923001,0.0
2018-09-26,1.0,-0.6308125185112053,-1.3154803040774015,-0.0,-1.0386513969789712,-0.9513772336854576,0.0
2018-09-27,1.0,-0.63467415951888,-1.30553090801538,-0.0,-1.038499457754116,-0.95075421472937,0.0
2018-09-28,1.0,-0.6338770883642995,-1.3057513183184664,-0.0,-1.0380957074565078,-0.9505692178798482,0.0
2018-10-01,1.0,-0.6340801421239637,-1.309267666798263,-0.0,-1.0390840900118437,-0.9523786024476906,0.0
2018-10-02,1.0,-0.6424614166996439,-1.2884349030470912,-0.0,-1.0511970716264345,-0.9644835773644637,0.0
2018-10-03,1.0,-0.6411802500864924,-1.277368655167301,-0.0,-1.0537735382790492,-0.9700489299658972,0.0
2018-10-04,1.0,-0.644087879535917,-1.2704023697852382,-0.0,-1.0567267341397186,-0.965835596149099,0.0
2018-10-05,1.0,-0.6196547665751275,-1.255247155747352,-0.0,-1.0586994899960769,-0.9702824637112594,0.0
2018-10-08,1.0,-0.6146083378239356,-1.2498897761230587,-0.0,-1.0649096164209082,-0.9694802331847352,0.0
2018-10-09,1.0,-0.610419525583219,-1.2501960399921583,-0.0,-1.067143697314252,-0.9731915310723387,0.0
2018-10-10,1.0,-0.6134882125177671,-1.2490320050972898,-0.0,-1.06930353379405,-0.9694162623143655,0.0
2018-10-11,1.0,-0.48751295825087176,-1.2227876731693526,-0.0,-1.0239845443407785,-0.9778060503251343,0.0
2018-10-12,1.0,-0.4977973568281938,-1.209645258520751,-0.0,-0.9910039415719917,-0.9386969626709947,0.0
2018-10-15,1.0,-0.454768859832151,-1.2545092038762926,-0.0,-0.9852552510780359,-0.9421801826865117,0.0
2018-10-16,1.0,-0.45274185324247906,-1.2571269642608816,-0.0,-0.9842395587076438,-0.9412691790664256,0.0
2018-10-17,1.0,-0.41675312373133655,-1.1873787721593216,-0.0,-0.9653119220533177,-0.9413595561369479,0.0
2018-10-18,1.0,-0.41808981657178995,-1.1916960332520103,-0.0,-0.9652118912080961,-0.9429384657088642,0.0
2018-10-19,1.0,-0.39059634053594594,-1.1716995481590837,-0.0,-0.9689527132823335,-0.942379099002371,0.0
2018-10-22,1.0,-0.3906508611048983,-1.160277342876314,-0.0,-0.9746812793558488,-0.9477074479982107,0.0
2018-10-23,1.0,-0.3868234869992339,-1.170519580009914,-0.0,-0.9895002478482268,-0.9595331440674147,0.0
2018-10-24,1.0,-0.3834975480271742,-1.1666891618302064,-0.0,-0.9890673505196383,-0.9597786475907679,0.0
2018-10-25,1.0,-0.323023906956709,-1.084858927417618,-0.0,-0.9950463062674996,-0.9045875511522722,0.0
2018-10-26,1.0,-0.2950986632718014,-1.0611924464247826,-0.0,-0.9994058985784001,-0.8878845745809463,0.0
